"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2019","1,643.63","1,648.36","1,649.60","1,639.26","146.45M","0.14%"
"Mar 28, 2019","1,641.33","1,642.90","1,645.21","1,638.69","94.50M","-0.09%"
"Mar 27, 2019","1,642.73","1,649.17","1,650.22","1,641.89","100.60M","-0.44%"
"Mar 26, 2019","1,649.94","1,647.82","1,653.58","1,647.11","107.09M","0.05%"
"Mar 25, 2019","1,649.15","1,652.14","1,654.26","1,648.06","90.35M","-1.05%"
"Mar 22, 2019","1,666.66","1,669.58","1,673.45","1,657.01","99.17M","0.18%"
"Mar 21, 2019","1,663.66","1,687.64","1,689.61","1,663.66","122.64M","-1.22%"
"Mar 20, 2019","1,684.21","1,683.78","1,687.06","1,680.29","96.77M","-0.21%"
"Mar 19, 2019","1,687.68","1,692.48","1,694.89","1,687.68","72.91M","-0.19%"
"Mar 18, 2019","1,690.94","1,681.83","1,690.94","1,681.36","90.65M","0.62%"
"Mar 15, 2019","1,680.54","1,674.59","1,683.25","1,672.60","242.81M","0.36%"
"Mar 14, 2019","1,674.52","1,675.66","1,678.88","1,673.47","111.79M","-0.22%"
"Mar 13, 2019","1,678.24","1,671.13","1,678.24","1,669.92","109.37M","0.42%"
"Mar 12, 2019","1,671.28","1,667.96","1,672.94","1,666.84","103.63M","0.40%"
"Mar 11, 2019","1,664.63","1,680.14","1,680.18","1,664.63","126.19M","-0.91%"
"Mar 08, 2019","1,679.90","1,686.13","1,688.28","1,678.66","114.74M","-0.42%"
"Mar 07, 2019","1,686.95","1,682.33","1,690.23","1,682.33","110.67M","0.01%"
"Mar 06, 2019","1,686.82","1,684.98","1,688.33","1,684.08","124.22M","0.07%"
"Mar 05, 2019","1,685.62","1,682.19","1,691.28","1,682.19","109.52M","-0.49%"
"Mar 04, 2019","1,693.99","1,688.22","1,698.87","1,688.22","101.62M","-0.40%"
"Mar 01, 2019","1,700.76","1,700.45","1,701.05","1,696.71","132.88M","-0.41%"
"Feb 28, 2019","1,707.73","1,715.38","1,717.88","1,706.92","214.74M","-0.33%"
"Feb 27, 2019","1,713.45","1,717.14","1,717.59","1,709.30","120.55M","-0.32%"
"Feb 26, 2019","1,719.00","1,725.57","1,726.00","1,715.15","123.35M","-0.32%"
"Feb 25, 2019","1,724.58","1,722.34","1,724.58","1,717.41","111.66M","0.18%"
"Feb 22, 2019","1,721.42","1,730.51","1,732.27","1,716.17","134.82M","-0.54%"
"Feb 21, 2019","1,730.68","1,722.37","1,730.68","1,719.67","168.87M","0.26%"
"Feb 20, 2019","1,726.18","1,712.83","1,727.25","1,711.44","185.23M","1.15%"
"Feb 19, 2019","1,706.56","1,694.03","1,710.14","1,693.37","159.82M","0.82%"
"Feb 18, 2019","1,692.74","1,693.92","1,695.61","1,690.19","94.07M","0.23%"
"Feb 15, 2019","1,688.83","1,692.29","1,693.85","1,687.12","116.84M","-0.01%"
"Feb 14, 2019","1,689.06","1,684.49","1,689.06","1,682.81","100.89M","0.22%"
"Feb 13, 2019","1,685.30","1,687.73","1,688.46","1,683.61","104.80M","-0.13%"
"Feb 12, 2019","1,687.41","1,692.22","1,692.22","1,683.73","113.23M","-0.07%"
"Feb 11, 2019","1,688.56","1,688.70","1,689.74","1,681.64","88.50M","0.12%"
"Feb 08, 2019","1,686.52","1,688.51","1,690.43","1,683.71","115.54M","-0.41%"
"Feb 07, 2019","1,693.39","1,688.00","1,693.48","1,685.66","82.45M","0.58%"
"Feb 04, 2019","1,683.61","1,698.97","1,699.66","1,683.61","57.22M","0.00%"
"Jan 31, 2019","1,683.53","1,694.86","1,695.40","1,683.53","188.93M","-0.03%"
"Jan 30, 2019","1,684.11","1,689.69","1,691.23","1,681.57","114.62M","-0.37%"
"Jan 29, 2019","1,690.41","1,694.71","1,694.71","1,688.48","150.21M","-0.42%"
"Jan 28, 2019","1,697.50","1,705.41","1,705.50","1,693.63","117.68M","-0.21%"
"Jan 25, 2019","1,701.03","1,699.59","1,701.03","1,695.38","134.07M","0.44%"
"Jan 24, 2019","1,693.59","1,689.30","1,694.59","1,686.87","158.05M","0.32%"
"Jan 23, 2019","1,688.14","1,690.76","1,691.23","1,680.84","131.85M","-0.82%"
"Jan 22, 2019","1,702.12","1,698.88","1,702.12","1,688.19","132.80M","0.59%"
"Jan 18, 2019","1,692.22","1,682.08","1,692.22","1,681.89","137.84M","0.55%"
"Jan 17, 2019","1,682.97","1,680.21","1,684.24","1,674.36","144.49M","0.59%"
"Jan 16, 2019","1,673.08","1,675.78","1,676.34","1,668.43","115.06M","-0.38%"
"Jan 15, 2019","1,679.42","1,674.83","1,679.42","1,672.55","140.31M","0.19%"
"Jan 14, 2019","1,676.16","1,683.05","1,684.19","1,672.27","90.51M","-0.42%"
"Jan 11, 2019","1,683.22","1,684.99","1,684.99","1,676.75","143.69M","0.26%"
"Jan 10, 2019","1,678.88","1,677.38","1,681.23","1,669.28","161.03M","0.66%"
"Jan 09, 2019","1,667.83","1,679.06","1,684.08","1,667.83","181.73M","-0.29%"
"Jan 08, 2019","1,672.76","1,685.72","1,686.37","1,670.67","181.52M","-0.38%"
