"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","4.440","4.490","4.490","4.430","2.26M","-0.22%"
"Apr 25, 2019","4.450","4.450","4.490","4.430","1.94M","-1.11%"
"Apr 24, 2019","4.500","4.470","4.530","4.450","2.43M","0.90%"
"Apr 23, 2019","4.460","4.450","4.470","4.420","458.70K","0.22%"
"Apr 22, 2019","4.450","4.470","4.480","4.430","558.60K","-0.45%"
"Apr 19, 2019","4.470","4.450","4.500","4.450","490.40K","-0.45%"
"Apr 18, 2019","4.490","4.440","4.540","4.430","2.65M","1.13%"
"Apr 17, 2019","4.440","4.470","4.470","4.440","4.87M","-0.45%"
"Apr 16, 2019","4.460","4.470","4.490","4.440","2.22M","-0.22%"
"Apr 15, 2019","4.470","4.490","4.500","4.450","2.32M","0.45%"
"Apr 12, 2019","4.450","4.420","4.450","4.420","2.72M","0.45%"
"Apr 11, 2019","4.430","4.420","4.430","4.400","1.71M","-0.23%"
"Apr 10, 2019","4.440","4.460","4.470","4.430","2.86M","-0.22%"
"Apr 09, 2019","4.450","4.450","4.500","4.420","1.28M","0.00%"
"Apr 08, 2019","4.450","4.450","4.450","4.400","998.10K","0.45%"
"Apr 05, 2019","4.430","4.460","4.460","4.410","1.46M","-0.45%"
"Apr 04, 2019","4.450","4.470","4.480","4.430","2.43M","-0.22%"
"Apr 03, 2019","4.460","4.440","4.460","4.420","4.45M","0.22%"
"Apr 02, 2019","4.450","4.490","4.500","4.420","1.95M","0.00%"
"Apr 01, 2019","4.450","4.510","4.570","4.420","2.04M","-2.41%"
"Mar 29, 2019","4.560","4.530","4.570","4.500","4.67M","0.66%"
"Mar 28, 2019","4.530","4.560","4.560","4.500","1.88M","0.00%"
"Mar 27, 2019","4.530","4.530","4.580","4.500","5.58M","0.22%"
"Mar 26, 2019","4.520","4.500","4.590","4.500","3.53M","0.44%"
"Mar 25, 2019","4.500","4.460","4.550","4.460","1.88M","-0.44%"
"Mar 22, 2019","4.520","4.490","4.580","4.490","3.66M","1.12%"
"Mar 21, 2019","4.470","4.620","4.620","4.440","2.61M","-3.04%"
"Mar 20, 2019","4.610","4.590","4.640","4.570","5.93M","0.44%"
