"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.850","0.850","0.850","0.850","23.40K","0.00%"
"Apr 25, 2019","0.850","0.860","0.860","0.850","101.10K","0.00%"
"Apr 24, 2019","0.850","0.860","0.860","0.850","125.50K","-0.58%"
"Apr 23, 2019","0.855","0.855","0.855","0.855","60.00K","0.00%"
"Apr 22, 2019","0.855","0.855","0.860","0.855","53.60K","-0.58%"
"Apr 19, 2019","0.860","0.860","0.860","0.860","11.10K","0.58%"
"Apr 18, 2019","0.855","0.860","0.860","0.855","40.10K","-1.16%"
"Apr 17, 2019","0.865","0.860","0.865","0.850","19.00K","1.76%"
"Apr 16, 2019","0.850","0.850","0.855","0.845","41.20K","0.00%"
"Apr 15, 2019","0.850","0.840","0.850","0.840","37.00K","1.19%"
"Apr 12, 2019","0.840","0.850","0.850","0.840","110.00K","-0.59%"
"Apr 11, 2019","0.845","0.845","0.845","0.845","21.50K","0.00%"
"Apr 10, 2019","0.845","0.845","0.845","0.845","32.80K","-0.59%"
"Apr 09, 2019","0.850","0.850","0.850","0.845","69.10K","0.00%"
"Apr 08, 2019","0.850","0.850","0.850","0.845","15.70K","0.00%"
"Apr 05, 2019","0.850","0.850","0.850","0.845","45.80K","0.59%"
"Apr 04, 2019","0.845","0.845","0.845","0.840","17.40K","0.00%"
"Apr 03, 2019","0.845","0.845","0.845","0.845","17.90K","1.20%"
"Apr 02, 2019","0.835","0.845","0.845","0.835","45.60K","-1.76%"
"Apr 01, 2019","0.850","0.840","0.850","0.830","36.30K","1.19%"
"Mar 29, 2019","0.840","0.840","0.850","0.835","15.90K","0.00%"
"Mar 28, 2019","0.840","0.835","0.840","0.835","45.60K","0.00%"
"Mar 27, 2019","0.840","0.840","0.840","0.840","6.30K","0.60%"
"Mar 26, 2019","0.835","0.835","0.835","0.835","49.90K","0.60%"
"Mar 25, 2019","0.830","0.835","0.840","0.830","52.20K","-0.60%"
"Mar 22, 2019","0.835","0.835","0.835","0.835","23.60K","0.00%"
"Mar 21, 2019","0.835","0.840","0.840","0.830","99.70K","0.00%"
"Mar 20, 2019","0.835","0.840","0.840","0.835","15.50K","-0.60%"
"Mar 19, 2019","0.840","0.845","0.845","0.840","13.00K","-0.59%"
"Mar 18, 2019","0.845","0.835","0.845","0.835","13.50K","1.20%"
"Mar 15, 2019","0.835","0.840","0.840","0.835","71.70K","0.00%"
"Mar 14, 2019","0.835","0.840","0.840","0.835","58.30K","-0.60%"
"Mar 13, 2019","0.840","0.845","0.845","0.830","93.50K","-1.18%"
"Mar 12, 2019","0.850","0.850","0.860","0.850","90.70K","0.00%"
"Mar 11, 2019","0.850","0.850","0.850","0.845","21.40K","0.00%"
"Mar 08, 2019","0.850","0.850","0.850","0.845","6.90K","0.59%"
"Mar 07, 2019","0.845","0.850","0.850","0.845","16.60K","-0.59%"
"Mar 06, 2019","0.850","0.850","0.850","0.845","18.90K","0.00%"
"Mar 05, 2019","0.850","0.850","0.850","0.840","49.00K","0.00%"
"Mar 04, 2019","0.850","0.850","0.855","0.840","175.90K","1.19%"
"Mar 01, 2019","0.840","0.845","0.850","0.840","53.10K","-0.59%"
"Feb 28, 2019","0.845","0.845","0.845","0.840","36.90K","0.60%"
"Feb 27, 2019","0.840","0.845","0.850","0.840","166.50K","-0.59%"
"Feb 26, 2019","0.845","0.845","0.850","0.845","63.60K","0.60%"
"Feb 22, 2019","0.840","0.845","0.845","0.840","26.30K","0.00%"
"Feb 21, 2019","0.840","0.840","0.840","0.840","30.00K","-0.59%"
"Feb 20, 2019","0.845","0.840","0.845","0.840","54.20K","0.60%"
"Feb 19, 2019","0.840","0.840","0.840","0.840","38.80K","0.00%"
"Feb 18, 2019","0.840","0.840","0.840","0.840","118.90K","0.60%"
"Feb 15, 2019","0.835","0.835","0.840","0.835","146.50K","-0.60%"
"Feb 14, 2019","0.840","0.840","0.840","0.835","18.00K","0.60%"
"Feb 13, 2019","0.835","0.830","0.840","0.830","45.60K","-0.60%"
"Feb 12, 2019","0.840","0.850","0.850","0.840","112.10K","0.00%"
"Feb 11, 2019","0.840","0.840","0.850","0.840","46.80K","-1.18%"
"Feb 08, 2019","0.850","0.840","0.850","0.840","44.00K","1.80%"
"Feb 07, 2019","0.835","0.835","0.835","0.835","25.00K","0.60%"
"Feb 04, 2019","0.830","0.830","0.830","0.830","31.00K","-1.19%"
"Jan 31, 2019","0.840","0.830","0.840","0.830","18.80K","1.20%"
"Jan 30, 2019","0.830","0.830","0.835","0.830","48.00K","0.00%"
"Jan 29, 2019","0.830","0.835","0.835","0.830","37.00K","0.00%"
"Jan 28, 2019","0.830","0.830","0.835","0.830","52.00K","0.61%"
"Jan 25, 2019","0.825","0.825","0.825","0.825","2.00K","-0.60%"
"Jan 24, 2019","0.830","0.830","0.830","0.830","21.00K","0.00%"
"Jan 23, 2019","0.830","0.825","0.830","0.825","20.00K","0.61%"
"Jan 22, 2019","0.825","0.825","0.825","0.825","6.00K","0.61%"
"Jan 18, 2019","0.820","0.820","0.820","0.820","11.00K","-0.61%"
"Jan 17, 2019","0.825","0.825","0.830","0.820","86.50K","0.61%"
"Jan 16, 2019","0.820","0.820","0.820","0.820","30.00K","-0.61%"
"Jan 15, 2019","0.825","0.825","0.825","0.820","95.40K","1.23%"
