"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2019","0.655","0.655","0.655","0.655","2.10K","0.00%"
"Apr 18, 2019","0.655","0.655","0.655","0.655","20.00K","0.00%"
"Apr 17, 2019","0.655","0.655","0.655","0.655","40.00K","0.00%"
"Apr 16, 2019","0.655","0.655","0.655","0.655","30.10K","0.00%"
"Apr 10, 2019","0.655","0.665","0.665","0.655","10.00K","-1.50%"
"Apr 08, 2019","0.665","0.665","0.665","0.665","2.00K","0.00%"
"Apr 04, 2019","0.665","0.665","0.665","0.665","4.60K","0.00%"
"Apr 03, 2019","0.665","0.670","0.670","0.665","1.30K","0.00%"
"Mar 22, 2019","0.665","0.665","0.665","0.665","1.00K","0.00%"
"Mar 21, 2019","0.665","0.680","0.680","0.665","2.00K","0.00%"
"Mar 13, 2019","0.665","0.665","0.665","0.665","2.60K","0.00%"
"Mar 11, 2019","0.665","0.665","0.665","0.665","3.50K","0.00%"
"Mar 05, 2019","0.665","0.660","0.665","0.660","309.50K","1.53%"
"Feb 25, 2019","0.655","0.655","0.655","0.655","1.00K","0.00%"
"Feb 19, 2019","0.655","0.655","0.700","0.655","21.60K","0.00%"
"Feb 18, 2019","0.655","0.655","0.655","0.655","1.30K","0.00%"
"Feb 15, 2019","0.655","0.655","0.655","0.655","1.00K","0.00%"
"Feb 07, 2019","0.655","0.655","0.655","0.655","2.60K","0.00%"
"Feb 04, 2019","0.655","0.655","0.655","0.655","2.60K","0.00%"
"Jan 28, 2019","0.655","0.655","0.655","0.655","2.60K","0.00%"
"Jan 25, 2019","0.655","0.655","0.655","0.655","1.30K","0.00%"
"Jan 24, 2019","0.655","0.655","0.655","0.655","10.40K","0.00%"
"Jan 23, 2019","0.655","0.655","0.655","0.655","9.00K","-0.76%"
"Jan 09, 2019","0.660","0.660","0.660","0.660","5.00K","1.54%"
