"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","6.000","6.000","6.010","6.000","20.10K","-0.83%"
"Apr 25, 2019","6.050","6.030","6.050","6.000","4.60K","0.00%"
"Apr 24, 2019","6.050","6.050","6.100","6.050","8.10K","0.33%"
"Apr 23, 2019","6.030","6.060","6.060","6.000","3.50K","-0.50%"
"Apr 22, 2019","6.060","6.050","6.100","6.050","4.20K","-0.66%"
"Apr 19, 2019","6.100","6.000","6.100","6.000","47.50K","0.00%"
"Apr 18, 2019","6.100","6.100","6.100","6.000","3.00K","0.00%"
"Apr 17, 2019","6.100","6.150","6.150","5.980","57.00K","-0.81%"
"Apr 16, 2019","6.150","6.150","6.150","6.100","1.10K","0.82%"
"Apr 15, 2019","6.100","6.100","6.150","6.100","3.30K","1.67%"
"Apr 12, 2019","6.000","6.150","6.150","6.000","157.50K","-1.64%"
"Apr 11, 2019","6.100","6.140","6.140","6.030","2.90K","-0.81%"
"Apr 10, 2019","6.150","6.150","6.150","6.150","2.20K","0.00%"
"Apr 09, 2019","6.150","6.150","6.150","6.060","5.30K","1.32%"
"Apr 08, 2019","6.070","6.070","6.070","6.070","1.50K","0.33%"
"Apr 05, 2019","6.050","6.000","6.050","6.000","1.50K","0.83%"
"Apr 04, 2019","6.000","5.990","6.050","5.990","24.20K","-2.44%"
"Apr 03, 2019","6.150","5.960","6.150","5.960","2.20K","2.50%"
"Apr 02, 2019","6.000","6.050","6.050","6.000","3.80K","0.84%"
"Mar 29, 2019","5.950","6.000","6.120","5.920","10.50K","-0.83%"
"Mar 28, 2019","6.000","6.000","6.050","6.000","5.90K","0.00%"
"Mar 27, 2019","6.000","6.000","6.000","6.000","2.00K","0.00%"
"Mar 26, 2019","6.000","6.000","6.000","6.000","0.10K","0.00%"
"Mar 25, 2019","6.000","6.000","6.000","6.000","1.80K","1.35%"
"Mar 22, 2019","5.920","5.930","5.930","5.920","152.80K","0.00%"
"Mar 21, 2019","5.920","5.980","5.990","5.920","159.10K","-0.67%"
"Mar 20, 2019","5.960","5.970","5.970","5.960","1.50K","0.00%"
"Mar 19, 2019","5.960","6.000","6.000","5.950","15.60K","0.00%"
"Mar 18, 2019","5.960","6.120","6.120","5.940","10.50K","0.00%"
"Mar 15, 2019","5.960","5.960","5.960","5.960","3.00K","0.00%"
"Mar 14, 2019","5.960","6.100","6.100","5.960","4.30K","-2.30%"
"Mar 13, 2019","6.100","6.130","6.130","6.090","5.10K","0.58%"
"Mar 12, 2019","6.065","6.085","6.085","6.065","24.40K","0.00%"
"Mar 11, 2019","6.065","6.065","6.065","6.055","29.90K","0.00%"
"Mar 08, 2019","6.065","6.075","6.085","6.065","20.60K","-0.16%"
"Mar 07, 2019","6.075","6.223","6.223","6.065","72.90K","-1.60%"
"Mar 06, 2019","6.174","6.124","6.223","6.095","6.40K","1.63%"
"Mar 05, 2019","6.075","6.055","6.104","6.055","93.70K","0.00%"
"Mar 04, 2019","6.075","6.174","6.174","6.065","44.80K","-1.22%"
"Mar 01, 2019","6.150","6.270","6.270","6.150","182.30K","-1.60%"
"Feb 28, 2019","6.250","6.190","6.300","6.180","26.20K","0.00%"
"Feb 27, 2019","6.250","6.150","6.260","6.150","62.60K","2.63%"
"Feb 26, 2019","6.090","6.000","6.090","5.800","4.00K","1.50%"
"Feb 25, 2019","6.000","6.150","6.150","6.000","4.70K","-1.64%"
