"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.080","0.080","0.080","0.080","51.40K","0.00%"
"Apr 25, 2019","0.080","0.075","0.080","0.075","35.20K","0.00%"
"Apr 24, 2019","0.080","0.085","0.085","0.075","1.53M","-5.88%"
"Apr 23, 2019","0.085","0.085","0.085","0.085","373.00K","6.25%"
"Apr 22, 2019","0.080","0.080","0.080","0.080","750.00K","-11.11%"
"Apr 19, 2019","0.090","0.085","0.090","0.085","141.00K","12.50%"
"Apr 18, 2019","0.080","0.080","0.080","0.080","63.10K","0.00%"
"Apr 17, 2019","0.080","0.085","0.085","0.080","792.70K","0.00%"
"Apr 16, 2019","0.080","0.085","0.085","0.080","328.90K","-5.88%"
"Apr 15, 2019","0.085","0.090","0.090","0.085","251.00K","0.00%"
"Apr 12, 2019","0.085","0.085","0.085","0.085","25.00K","0.00%"
"Apr 11, 2019","0.085","0.090","0.090","0.085","190.00K","0.00%"
"Apr 10, 2019","0.085","0.085","0.085","0.085","42.90K","0.00%"
"Apr 09, 2019","0.085","0.085","0.085","0.085","163.00K","-5.56%"
"Apr 08, 2019","0.090","0.090","0.090","0.090","51.00K","5.88%"
"Apr 05, 2019","0.085","0.090","0.090","0.085","297.50K","-5.56%"
"Apr 04, 2019","0.090","0.090","0.090","0.090","280.00K","0.00%"
"Apr 03, 2019","0.090","0.095","0.095","0.090","49.90K","0.00%"
"Apr 02, 2019","0.090","0.095","0.095","0.090","254.00K","-5.26%"
"Apr 01, 2019","0.095","0.090","0.105","0.090","3.17M","18.75%"
"Mar 27, 2019","0.080","0.080","0.080","0.080","34.70K","-5.88%"
"Mar 26, 2019","0.085","0.085","0.085","0.085","419.50K","6.25%"
"Mar 25, 2019","0.080","0.080","0.080","0.080","3.00K","-5.88%"
"Mar 22, 2019","0.085","0.085","0.085","0.085","57.00K","0.00%"
"Mar 21, 2019","0.085","0.080","0.085","0.080","288.40K","0.00%"
"Mar 20, 2019","0.085","0.080","0.085","0.080","183.20K","0.00%"
"Mar 19, 2019","0.085","0.085","0.085","0.085","80.00K","0.00%"
"Mar 18, 2019","0.085","0.085","0.085","0.085","125.70K","0.00%"
"Mar 15, 2019","0.085","0.085","0.085","0.085","130.00K","-5.56%"
"Mar 14, 2019","0.090","0.090","0.090","0.090","30.00K","-5.26%"
"Mar 13, 2019","0.095","0.085","0.095","0.085","403.40K","18.75%"
"Mar 12, 2019","0.080","0.085","0.090","0.080","365.80K","-5.88%"
"Mar 11, 2019","0.085","0.085","0.085","0.085","47.60K","-10.53%"
"Mar 08, 2019","0.095","0.095","0.095","0.095","51.80K","5.56%"
"Mar 07, 2019","0.090","0.090","0.090","0.090","199.90K","-5.26%"
"Mar 06, 2019","0.095","0.105","0.105","0.095","904.40K","-5.00%"
"Mar 05, 2019","0.100","0.085","0.100","0.085","494.70K","17.65%"
"Mar 01, 2019","0.085","0.085","0.085","0.085","17.00K","0.00%"
"Feb 26, 2019","0.085","0.090","0.090","0.085","100.00K","-5.56%"
"Feb 25, 2019","0.090","0.090","0.090","0.090","30.00K","0.00%"
"Feb 21, 2019","0.090","0.100","0.100","0.090","25.60K","-5.26%"
"Feb 20, 2019","0.095","0.090","0.095","0.090","102.00K","0.00%"
"Feb 18, 2019","0.095","0.095","0.095","0.095","3.00K","5.56%"
"Feb 15, 2019","0.090","0.090","0.090","0.090","2.00K","0.00%"
"Feb 14, 2019","0.090","0.095","0.095","0.090","179.70K","-5.26%"
"Feb 13, 2019","0.095","0.095","0.095","0.095","32.00K","0.00%"
"Feb 12, 2019","0.095","0.095","0.095","0.095","200.00K","0.00%"
"Feb 11, 2019","0.095","0.090","0.095","0.090","101.10K","11.76%"
"Feb 08, 2019","0.085","0.100","0.100","0.085","38.80K","-15.00%"
"Feb 07, 2019","0.100","0.100","0.100","0.100","75.00K","0.00%"
"Feb 04, 2019","0.100","0.105","0.105","0.100","35.00K","-9.09%"
"Jan 31, 2019","0.110","0.085","0.110","0.085","5.36M","29.41%"
"Jan 28, 2019","0.085","0.085","0.085","0.085","0.30K","0.00%"
"Jan 25, 2019","0.085","0.075","0.085","0.075","62.00K","13.33%"
"Jan 24, 2019","0.075","0.075","0.075","0.075","0.40K","-16.67%"
"Jan 23, 2019","0.090","0.090","0.090","0.090","0.50K","20.00%"
"Jan 22, 2019","0.075","0.075","0.075","0.075","3.50K","-16.67%"
"Jan 17, 2019","0.090","0.080","0.090","0.080","30.10K","20.00%"
"Jan 16, 2019","0.075","0.075","0.075","0.075","0.90K","0.00%"
"Jan 15, 2019","0.075","0.075","0.075","0.075","4.60K","0.00%"
"Jan 14, 2019","0.075","0.080","0.080","0.075","128.40K","-11.76%"
"Jan 11, 2019","0.085","0.085","0.085","0.085","100.20K","0.00%"
"Jan 10, 2019","0.085","0.090","0.090","0.085","160.00K","-5.56%"
"Jan 09, 2019","0.090","0.090","0.090","0.090","158.10K","-5.26%"
"Jan 07, 2019","0.095","0.095","0.100","0.095","67.10K","0.00%"
"Jan 04, 2019","0.095","0.105","0.105","0.085","31.90K","-9.52%"
"Jan 03, 2019","0.105","0.100","0.105","0.100","100.90K","5.00%"
