"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","16.54","16.82","16.82","16.30","424.60K","-1.43%"
"Apr 25, 2019","16.78","16.78","16.82","16.74","67.60K","0.00%"
"Apr 24, 2019","16.78","16.90","16.90","16.78","138.40K","-0.71%"
"Apr 23, 2019","16.90","16.90","16.98","16.82","40.20K","0.00%"
"Apr 22, 2019","16.90","16.80","16.92","16.80","270.00K","0.00%"
"Apr 19, 2019","16.90","16.84","16.90","16.84","3.90K","0.36%"
"Apr 18, 2019","16.84","16.86","16.86","16.72","179.00K","-0.12%"
"Apr 17, 2019","16.86","16.84","16.94","16.82","183.90K","0.00%"
"Apr 16, 2019","16.86","16.94","17.10","16.86","220.90K","-0.35%"
"Apr 15, 2019","16.92","16.72","16.92","16.68","21.30K","1.20%"
"Apr 12, 2019","16.72","16.76","16.76","16.38","76.70K","-0.12%"
"Apr 11, 2019","16.74","16.70","16.90","16.66","54.20K","0.12%"
"Apr 10, 2019","16.72","16.70","16.74","16.66","183.40K","0.12%"
"Apr 09, 2019","16.70","16.72","16.72","16.68","178.40K","-0.12%"
"Apr 08, 2019","16.72","16.88","16.98","16.66","48.60K","-0.83%"
"Apr 05, 2019","16.86","16.96","16.96","16.84","66.60K","-0.24%"
"Apr 04, 2019","16.90","16.94","16.94","16.86","126.80K","-0.24%"
"Apr 03, 2019","16.94","16.84","16.98","16.84","70.10K","0.24%"
"Apr 02, 2019","16.90","16.94","16.98","16.90","247.70K","0.00%"
"Apr 01, 2019","16.90","16.82","17.00","16.82","58.40K","0.60%"
"Mar 29, 2019","16.80","16.80","16.82","16.78","312.80K","0.00%"
"Mar 28, 2019","16.80","16.70","16.80","16.70","280.30K","0.00%"
"Mar 27, 2019","16.80","16.92","16.92","16.76","164.70K","-0.94%"
"Mar 26, 2019","16.96","17.04","17.04","16.90","276.10K","-0.47%"
"Mar 25, 2019","17.04","17.10","17.36","16.98","139.70K","-0.47%"
"Mar 22, 2019","17.12","17.10","17.12","17.08","23.10K","0.12%"
"Mar 21, 2019","17.10","17.18","17.20","17.00","135.10K","-0.47%"
"Mar 20, 2019","17.18","17.16","17.24","17.02","27.60K","1.42%"
"Mar 19, 2019","16.94","17.16","17.18","16.94","131.20K","-1.28%"
"Mar 18, 2019","17.16","17.32","17.32","17.04","21.80K","0.70%"
"Mar 15, 2019","17.04","17.18","17.18","16.98","2.23M","-0.35%"
"Mar 14, 2019","17.10","17.18","17.30","16.98","254.60K","0.71%"
"Mar 13, 2019","16.98","17.24","17.24","16.84","326.10K","0.00%"
"Mar 12, 2019","16.98","17.28","17.28","16.86","201.70K","0.59%"
"Mar 11, 2019","16.88","17.12","17.16","16.76","252.90K","-1.86%"
"Mar 08, 2019","17.20","17.10","17.26","16.98","241.20K","0.00%"
"Mar 07, 2019","17.20","17.20","17.36","17.00","195.20K","0.00%"
"Mar 06, 2019","17.20","17.00","17.32","17.00","176.30K","1.30%"
"Mar 05, 2019","16.98","16.84","17.04","16.84","76.00K","1.07%"
"Mar 04, 2019","16.80","17.00","17.18","16.80","274.40K","0.60%"
"Mar 01, 2019","16.70","16.76","17.28","16.50","114.40K","0.97%"
"Feb 28, 2019","16.54","16.74","16.96","16.40","215.00K","-0.96%"
"Feb 27, 2019","16.70","16.80","16.80","16.50","115.70K","-0.60%"
