"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.780","1.770","1.780","1.740","1.07M","0.56%"
"Apr 25, 2019","1.770","1.790","1.790","1.770","373.50K","-1.12%"
"Apr 24, 2019","1.790","1.790","1.840","1.770","946.00K","0.00%"
"Apr 23, 2019","1.790","1.820","1.820","1.760","2.21M","-3.76%"
"Apr 22, 2019","1.860","1.690","1.870","1.670","7.44M","12.73%"
"Apr 19, 2019","1.650","1.650","1.700","1.630","3.05M","0.00%"
"Apr 18, 2019","1.650","1.650","1.660","1.600","3.92M","-1.20%"
"Apr 17, 2019","1.670","1.770","1.770","1.650","2.76M","-5.11%"
"Apr 16, 2019","1.760","1.760","1.760","1.710","1.12M","2.92%"
"Apr 15, 2019","1.710","1.810","1.820","1.710","1.65M","-4.47%"
"Apr 12, 2019","1.790","1.830","1.860","1.760","2.89M","-0.56%"
"Apr 11, 2019","1.800","1.840","1.840","1.710","3.72M","-2.17%"
"Apr 10, 2019","1.840","1.840","1.880","1.800","2.03M","0.00%"
"Apr 09, 2019","1.840","1.760","1.880","1.760","7.80M","4.55%"
"Apr 08, 2019","1.760","1.660","1.770","1.660","3.71M","7.98%"
"Apr 05, 2019","1.630","1.620","1.660","1.620","1.42M","0.62%"
"Apr 04, 2019","1.620","1.600","1.640","1.600","1.41M","0.62%"
"Apr 03, 2019","1.610","1.600","1.630","1.600","1.10M","0.62%"
"Apr 02, 2019","1.600","1.620","1.630","1.590","769.80K","-0.62%"
"Apr 01, 2019","1.610","1.570","1.630","1.570","1.06M","2.55%"
"Mar 29, 2019","1.570","1.570","1.610","1.570","472.10K","0.64%"
"Mar 28, 2019","1.560","1.570","1.580","1.550","182.40K","-0.64%"
"Mar 27, 2019","1.570","1.540","1.580","1.530","707.40K","2.61%"
"Mar 26, 2019","1.530","1.530","1.540","1.520","215.50K","0.00%"
"Mar 25, 2019","1.530","1.510","1.550","1.510","371.70K","0.00%"
"Mar 22, 2019","1.530","1.530","1.560","1.520","366.70K","0.66%"
"Mar 21, 2019","1.520","1.560","1.560","1.520","641.60K","-2.56%"
"Mar 20, 2019","1.560","1.540","1.570","1.530","651.20K","1.30%"
"Mar 19, 2019","1.540","1.530","1.540","1.530","364.30K","0.00%"
"Mar 18, 2019","1.540","1.580","1.590","1.530","536.10K","-1.28%"
"Mar 15, 2019","1.560","1.610","1.610","1.560","1.00M","-2.50%"
"Mar 14, 2019","1.600","1.570","1.610","1.570","816.60K","1.91%"
"Mar 13, 2019","1.570","1.580","1.590","1.570","302.60K","-0.63%"
"Mar 12, 2019","1.580","1.580","1.610","1.570","487.20K","0.00%"
"Mar 11, 2019","1.580","1.620","1.640","1.570","1.85M","-1.25%"
"Mar 08, 2019","1.600","1.590","1.640","1.580","2.13M","0.63%"
"Mar 07, 2019","1.590","1.570","1.620","1.550","2.41M","1.92%"
"Mar 06, 2019","1.560","1.500","1.570","1.490","1.16M","4.70%"
"Mar 05, 2019","1.490","1.490","1.510","1.480","489.90K","-1.32%"
"Mar 04, 2019","1.510","1.510","1.540","1.470","773.00K","-0.66%"
"Mar 01, 2019","1.520","1.440","1.530","1.420","2.87M","7.04%"
"Feb 28, 2019","1.420","1.480","1.510","1.410","1.77M","-4.05%"
"Feb 27, 2019","1.480","1.500","1.510","1.460","1.82M","-2.63%"
"Feb 26, 2019","1.520","1.590","1.590","1.500","1.52M","-4.40%"
"Feb 25, 2019","1.590","1.500","1.610","1.490","3.50M","6.71%"
"Feb 22, 2019","1.490","1.440","1.490","1.430","1.54M","3.47%"
"Feb 21, 2019","1.440","1.410","1.460","1.400","998.00K","2.13%"
"Feb 20, 2019","1.410","1.400","1.430","1.380","594.10K","0.71%"
"Feb 19, 2019","1.400","1.390","1.410","1.360","1.15M","-1.41%"
"Feb 18, 2019","1.420","1.430","1.440","1.400","523.70K","0.00%"
"Feb 15, 2019","1.420","1.440","1.470","1.420","464.00K","-1.39%"
"Feb 14, 2019","1.440","1.460","1.460","1.420","723.70K","-1.37%"
"Feb 13, 2019","1.460","1.440","1.480","1.440","1.31M","2.82%"
"Feb 12, 2019","1.420","1.390","1.440","1.380","2.03M","2.16%"
"Feb 11, 2019","1.390","1.410","1.420","1.390","310.80K","-1.42%"
"Feb 08, 2019","1.410","1.410","1.410","1.370","400.70K","0.00%"
"Feb 07, 2019","1.410","1.380","1.420","1.380","431.20K","2.17%"
"Feb 04, 2019","1.380","1.350","1.390","1.350","413.50K","2.22%"
"Jan 31, 2019","1.350","1.310","1.350","1.310","575.30K","4.65%"
"Jan 30, 2019","1.290","1.320","1.320","1.280","909.10K","-2.27%"
"Jan 29, 2019","1.320","1.360","1.360","1.300","907.10K","-4.35%"
"Jan 28, 2019","1.380","1.420","1.420","1.370","364.60K","-2.13%"
"Jan 25, 2019","1.410","1.410","1.420","1.390","163.60K","-1.40%"
"Jan 24, 2019","1.430","1.430","1.440","1.410","85.80K","0.00%"
"Jan 23, 2019","1.430","1.440","1.440","1.370","491.70K","-1.38%"
"Jan 22, 2019","1.450","1.440","1.460","1.440","326.40K","1.40%"
"Jan 18, 2019","1.430","1.420","1.460","1.420","373.30K","0.70%"
"Jan 17, 2019","1.420","1.470","1.470","1.410","459.40K","-2.74%"
"Jan 16, 2019","1.460","1.460","1.470","1.430","526.40K","0.00%"
"Jan 15, 2019","1.460","1.430","1.480","1.430","225.80K","1.39%"
"Jan 14, 2019","1.440","1.490","1.490","1.430","412.10K","-2.04%"
"Jan 11, 2019","1.470","1.430","1.490","1.430","646.30K","2.80%"
"Jan 10, 2019","1.430","1.410","1.460","1.400","911.40K","2.14%"
"Jan 09, 2019","1.400","1.380","1.430","1.380","799.20K","2.94%"
"Jan 08, 2019","1.360","1.390","1.390","1.360","285.20K","-0.73%"
"Jan 07, 2019","1.370","1.360","1.430","1.350","1.70M","3.01%"
"Jan 04, 2019","1.330","1.230","1.330","1.230","779.50K","8.13%"
"Jan 03, 2019","1.230","1.240","1.250","1.230","89.00K","-0.81%"
"Jan 02, 2019","1.240","1.240","1.240","1.220","49.30K","-0.80%"
