"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2019","0.550","0.570","0.570","0.550","20.00K","-3.51%"
"Apr 15, 2019","0.570","0.580","0.580","0.570","1.50K","-12.31%"
"Apr 12, 2019","0.650","0.650","0.650","0.650","2.00K","0.00%"
"Apr 11, 2019","0.650","0.650","0.650","0.650","1.50K","0.00%"
"Apr 09, 2019","0.650","0.600","0.650","0.600","34.10K","18.18%"
"Mar 27, 2019","0.550","0.550","0.550","0.550","5.50K","12.24%"
"Mar 20, 2019","0.490","0.460","0.500","0.460","17.90K","-10.91%"
"Mar 18, 2019","0.550","0.550","0.550","0.550","9.00K","0.92%"
"Mar 15, 2019","0.545","0.550","0.550","0.545","26.50K","-0.91%"
"Mar 14, 2019","0.550","0.550","0.550","0.550","8.50K","7.84%"
"Mar 12, 2019","0.510","0.510","0.510","0.510","10.00K","2.00%"
"Mar 11, 2019","0.500","0.500","0.500","0.500","14.10K","-9.09%"
"Mar 08, 2019","0.550","0.550","0.550","0.550","0.80K","0.00%"
"Mar 07, 2019","0.550","0.500","0.550","0.500","21.00K","10.00%"
"Mar 01, 2019","0.500","0.500","0.500","0.500","0.80K","6.38%"
"Feb 27, 2019","0.470","0.470","0.470","0.470","0.50K","9.30%"
"Feb 19, 2019","0.430","0.430","0.435","0.430","34.20K","-4.44%"
"Feb 15, 2019","0.450","0.450","0.450","0.450","18.10K","0.00%"
"Feb 14, 2019","0.450","0.450","0.450","0.450","20.00K","4.65%"
"Feb 12, 2019","0.430","0.430","0.430","0.430","9.00K","0.00%"
"Feb 11, 2019","0.430","0.450","0.450","0.430","1.20K","-12.24%"
"Jan 31, 2019","0.490","0.490","0.490","0.490","13.00K","11.36%"
"Jan 28, 2019","0.440","0.440","0.440","0.440","0.70K","2.33%"
"Jan 08, 2019","0.430","0.430","0.430","0.430","11.50K","-12.24%"
"Jan 07, 2019","0.490","0.500","0.500","0.490","10.00K","-2.00%"
"Jan 04, 2019","0.500","0.500","0.500","0.500","10.00K","6.38%"
