"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2019","1.120","1.120","1.120","1.120","1.00K","-2.61%"
"Apr 12, 2019","1.150","1.150","1.150","1.150","15.00K","0.00%"
"Apr 10, 2019","1.150","1.150","1.150","1.150","100.00K","0.00%"
"Apr 09, 2019","1.150","1.150","1.150","1.150","10.80K","0.00%"
"Apr 05, 2019","1.150","1.040","1.150","1.010","1.40K","9.52%"
"Apr 04, 2019","1.050","1.050","1.050","1.050","20.00K","-2.78%"
"Apr 01, 2019","1.080","1.080","1.080","1.080","2.00K","-0.92%"
"Mar 29, 2019","1.090","1.090","1.090","1.090","3.00K","-0.91%"
"Mar 27, 2019","1.100","1.100","1.100","1.100","0.80K","-0.90%"
"Mar 26, 2019","1.110","1.110","1.110","1.110","5.00K","-5.93%"
"Mar 21, 2019","1.180","1.180","1.180","1.180","0.10K","4.42%"
"Mar 20, 2019","1.130","1.150","1.150","1.130","6.00K","0.00%"
"Mar 19, 2019","1.130","1.130","1.130","1.130","52.90K","0.89%"
"Mar 15, 2019","1.120","1.120","1.120","1.120","7.00K","0.90%"
"Mar 14, 2019","1.110","1.110","1.110","1.110","5.00K","-0.89%"
"Mar 13, 2019","1.120","1.130","1.130","1.120","15.00K","-6.67%"
"Mar 11, 2019","1.200","1.200","1.200","1.200","0.10K","0.00%"
"Mar 08, 2019","1.200","1.200","1.200","1.200","4.00K","0.00%"
"Feb 26, 2019","1.200","1.200","1.200","1.200","2.00K","0.00%"
"Feb 25, 2019","1.200","1.200","1.200","1.200","2.00K","-3.23%"
"Jan 30, 2019","1.240","1.230","1.240","1.230","35.00K","0.81%"
"Jan 29, 2019","1.230","1.180","1.230","1.180","27.00K","4.24%"
"Jan 28, 2019","1.180","1.180","1.210","1.180","29.00K","1.72%"
"Jan 25, 2019","1.160","1.240","1.240","1.160","8.00K","-5.69%"
"Jan 24, 2019","1.230","1.230","1.240","1.230","26.80K","0.00%"
"Jan 23, 2019","1.230","1.210","1.230","1.180","25.40K","0.82%"
"Jan 22, 2019","1.220","1.200","1.220","1.200","24.50K","7.96%"
"Jan 18, 2019","1.130","1.150","1.160","1.130","11.00K","0.89%"
"Jan 15, 2019","1.120","1.100","1.120","1.100","23.40K","2.75%"
"Jan 14, 2019","1.090","1.090","1.090","1.080","21.50K","0.93%"
"Jan 11, 2019","1.080","1.070","1.080","1.010","69.00K","2.86%"
"Jan 10, 2019","1.050","1.070","1.070","1.050","15.00K","-9.48%"
"Jan 07, 2019","1.160","1.150","1.160","1.150","18.00K","5.45%"
"Jan 04, 2019","1.100","1.100","1.100","1.100","1.00K","1.85%"
"Jan 03, 2019","1.080","1.080","1.080","1.080","5.00K","-1.82%"
