"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.045","0.040","0.045","0.040","737.30K","0.00%"
"Apr 25, 2019","0.045","0.045","0.045","0.040","461.10K","12.50%"
"Apr 24, 2019","0.040","0.040","0.040","0.040","1.71M","-11.11%"
"Apr 23, 2019","0.045","0.040","0.045","0.040","1.10M","12.50%"
"Apr 22, 2019","0.040","0.040","0.040","0.040","216.00K","0.00%"
"Apr 19, 2019","0.040","0.040","0.040","0.040","512.00K","-11.11%"
"Apr 18, 2019","0.045","0.045","0.045","0.040","1.79M","12.50%"
"Apr 17, 2019","0.040","0.040","0.045","0.040","236.80K","0.00%"
"Apr 16, 2019","0.040","0.040","0.045","0.040","4.17M","0.00%"
"Apr 15, 2019","0.040","0.040","0.045","0.040","1.67M","0.00%"
"Apr 12, 2019","0.040","0.040","0.045","0.040","1.55M","-11.11%"
"Apr 11, 2019","0.045","0.040","0.050","0.040","6.29M","0.00%"
"Apr 10, 2019","0.045","0.040","0.045","0.040","744.00K","0.00%"
"Apr 09, 2019","0.045","0.045","0.050","0.040","6.50M","-10.00%"
"Apr 08, 2019","0.050","0.045","0.050","0.045","13.65M","11.11%"
"Apr 05, 2019","0.045","0.035","0.045","0.035","15.27M","12.50%"
"Apr 03, 2019","0.040","0.035","0.040","0.035","270.00K","14.29%"
"Apr 02, 2019","0.035","0.035","0.035","0.035","9.00K","0.00%"
"Apr 01, 2019","0.035","0.035","0.035","0.035","161.20K","-12.50%"
"Mar 29, 2019","0.040","0.035","0.040","0.035","181.20K","0.00%"
"Mar 28, 2019","0.040","0.035","0.040","0.035","1.04M","0.00%"
"Mar 27, 2019","0.040","0.040","0.040","0.035","2.07M","0.00%"
"Mar 26, 2019","0.040","0.035","0.040","0.035","399.00K","14.29%"
"Mar 25, 2019","0.035","0.035","0.040","0.035","2.72M","0.00%"
"Mar 22, 2019","0.035","0.035","0.040","0.035","4.46M","-12.50%"
"Mar 21, 2019","0.040","0.035","0.040","0.035","2.70M","14.29%"
"Mar 20, 2019","0.035","0.040","0.040","0.035","2.98M","-12.50%"
"Mar 19, 2019","0.040","0.035","0.040","0.035","68.80K","0.00%"
"Mar 18, 2019","0.040","0.040","0.040","0.040","100.00K","0.00%"
"Mar 15, 2019","0.040","0.035","0.040","0.035","260.00K","14.29%"
"Mar 14, 2019","0.035","0.035","0.035","0.035","515.00K","-12.50%"
"Mar 13, 2019","0.040","0.035","0.040","0.035","576.20K","14.29%"
"Mar 12, 2019","0.035","0.035","0.035","0.035","297.00K","-12.50%"
"Mar 11, 2019","0.040","0.040","0.040","0.035","2.16M","14.29%"
"Mar 08, 2019","0.035","0.040","0.040","0.035","228.00K","-12.50%"
"Mar 07, 2019","0.040","0.040","0.040","0.035","385.10K","0.00%"
"Mar 06, 2019","0.040","0.040","0.040","0.040","547.50K","14.29%"
"Mar 05, 2019","0.035","0.040","0.040","0.035","204.00K","-12.50%"
"Mar 04, 2019","0.040","0.035","0.040","0.035","438.00K","0.00%"
"Mar 01, 2019","0.040","0.040","0.040","0.035","93.00K","0.00%"
"Feb 28, 2019","0.040","0.040","0.040","0.035","670.00K","0.00%"
"Feb 27, 2019","0.040","0.040","0.040","0.040","2.20K","0.00%"
"Feb 26, 2019","0.040","0.035","0.040","0.035","360.00K","14.29%"
"Feb 25, 2019","0.035","0.040","0.040","0.035","797.50K","-12.50%"
"Feb 22, 2019","0.040","0.035","0.040","0.035","160.10K","14.29%"
"Feb 21, 2019","0.035","0.040","0.040","0.035","2.08M","-12.50%"
"Feb 20, 2019","0.040","0.040","0.045","0.040","1.28M","-11.11%"
"Feb 19, 2019","0.045","0.040","0.045","0.040","895.00K","12.50%"
"Feb 18, 2019","0.040","0.045","0.045","0.040","2.07M","-11.11%"
"Feb 15, 2019","0.045","0.045","0.045","0.045","30.00K","0.00%"
"Feb 14, 2019","0.045","0.040","0.045","0.040","650.00K","12.50%"
"Feb 13, 2019","0.040","0.040","0.045","0.035","5.84M","0.00%"
"Feb 12, 2019","0.040","0.040","0.045","0.040","9.54M","0.00%"
"Feb 11, 2019","0.040","0.040","0.040","0.040","254.00K","14.29%"
"Feb 08, 2019","0.035","0.040","0.040","0.035","530.10K","-12.50%"
"Feb 07, 2019","0.040","0.035","0.040","0.035","104.10K","14.29%"
"Feb 04, 2019","0.035","0.035","0.035","0.035","711.20K","-12.50%"
"Jan 31, 2019","0.040","0.035","0.040","0.035","1.15M","0.00%"
"Jan 30, 2019","0.040","0.035","0.040","0.035","1.69M","0.00%"
"Jan 28, 2019","0.040","0.035","0.040","0.035","1.21M","14.29%"
"Jan 25, 2019","0.035","0.040","0.040","0.035","3.11M","-12.50%"
"Jan 24, 2019","0.040","0.040","0.040","0.040","804.00K","0.00%"
"Jan 23, 2019","0.040","0.040","0.040","0.040","422.50K","0.00%"
"Jan 22, 2019","0.040","0.040","0.040","0.040","669.40K","-11.11%"
"Jan 18, 2019","0.045","0.045","0.045","0.040","150.20K","0.00%"
"Jan 17, 2019","0.045","0.040","0.045","0.040","185.20K","12.50%"
"Jan 16, 2019","0.040","0.040","0.045","0.040","50.80K","-11.11%"
"Jan 15, 2019","0.045","0.040","0.045","0.040","940.50K","0.00%"
"Jan 14, 2019","0.045","0.040","0.045","0.040","625.40K","0.00%"
"Jan 11, 2019","0.045","0.040","0.045","0.040","131.80K","0.00%"
"Jan 10, 2019","0.045","0.040","0.045","0.040","110.20K","0.00%"
"Jan 09, 2019","0.045","0.040","0.045","0.040","421.40K","12.50%"
"Jan 08, 2019","0.040","0.040","0.045","0.040","950.60K","-11.11%"
"Jan 07, 2019","0.045","0.045","0.045","0.040","135.20K","12.50%"
"Jan 04, 2019","0.040","0.040","0.040","0.040","206.40K","-11.11%"
"Jan 03, 2019","0.045","0.040","0.045","0.040","0.80K","0.00%"
"Jan 02, 2019","0.045","0.040","0.045","0.040","40.20K","0.00%"
