"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","4.650","4.600","4.740","4.570","7.33M","1.09%"
"Apr 25, 2019","4.600","4.610","4.720","4.590","5.02M","0.00%"
"Apr 24, 2019","4.600","4.510","4.700","4.510","1.39M","2.22%"
"Apr 23, 2019","4.500","4.600","4.600","4.490","688.20K","-0.88%"
"Apr 22, 2019","4.540","4.520","4.570","4.520","1.80M","0.22%"
"Apr 19, 2019","4.530","4.500","4.640","4.500","543.00K","-0.22%"
"Apr 18, 2019","4.540","4.470","4.640","4.470","955.60K","0.67%"
"Apr 17, 2019","4.510","4.510","4.540","4.480","2.60M","0.00%"
"Apr 16, 2019","4.510","4.540","4.540","4.500","3.39M","0.22%"
"Apr 15, 2019","4.500","4.480","4.550","4.480","2.90M","1.35%"
"Apr 12, 2019","4.440","4.440","4.450","4.430","6.28M","0.00%"
"Apr 11, 2019","4.440","4.400","4.440","4.380","2.46M","0.91%"
"Apr 10, 2019","4.400","4.430","4.430","4.390","2.81M","0.00%"
"Apr 09, 2019","4.400","4.380","4.400","4.380","950.80K","0.00%"
"Apr 08, 2019","4.400","4.390","4.410","4.380","332.70K","0.00%"
"Apr 05, 2019","4.400","4.430","4.430","4.390","1.10M","0.23%"
"Apr 04, 2019","4.390","4.440","4.440","4.390","1.77M","-0.23%"
"Apr 03, 2019","4.400","4.430","4.430","4.320","959.70K","0.00%"
"Apr 02, 2019","4.400","4.410","4.450","4.380","2.11M","-0.23%"
"Apr 01, 2019","4.410","4.320","4.440","4.300","1.32M","2.32%"
"Mar 29, 2019","4.310","4.250","4.320","4.240","960.30K","1.41%"
"Mar 28, 2019","4.250","4.220","4.320","4.220","660.20K","0.95%"
"Mar 27, 2019","4.210","4.210","4.240","4.200","826.20K","0.00%"
"Mar 26, 2019","4.210","4.150","4.250","4.150","86.00K","0.72%"
"Mar 25, 2019","4.180","4.170","4.250","4.150","222.00K","-0.24%"
"Mar 22, 2019","4.190","4.200","4.200","4.120","51.30K","-0.24%"
"Mar 21, 2019","4.200","4.250","4.250","4.170","245.10K","-0.47%"
"Mar 20, 2019","4.220","4.250","4.250","4.210","146.90K","-0.71%"
"Mar 19, 2019","4.250","4.210","4.250","4.210","678.60K","0.95%"
"Mar 18, 2019","4.210","4.250","4.250","4.200","301.90K","0.24%"
"Mar 15, 2019","4.200","4.250","4.250","4.200","191.70K","-0.94%"
"Mar 14, 2019","4.240","4.280","4.290","4.240","700.30K","-0.24%"
"Mar 13, 2019","4.250","4.200","4.290","4.200","1.16M","1.19%"
"Mar 12, 2019","4.200","4.220","4.220","4.190","2.76M","-0.47%"
