"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","24.34","24.70","24.72","24.30","71.00K","0.00%"
"Apr 25, 2019","24.34","24.94","24.94","24.18","201.00K","-1.46%"
"Apr 24, 2019","24.70","25.44","25.58","24.68","316.50K","-3.14%"
"Apr 23, 2019","25.50","25.42","25.58","25.42","72.00K","0.16%"
"Apr 22, 2019","25.46","25.52","25.82","25.28","177.30K","-0.24%"
"Apr 19, 2019","25.52","25.48","25.70","25.44","92.80K","0.16%"
"Apr 18, 2019","25.48","25.70","25.94","25.32","166.20K","-0.31%"
"Apr 17, 2019","25.56","26.18","26.26","25.54","60.90K","-2.67%"
"Apr 16, 2019","26.26","26.32","26.38","26.14","93.30K","-0.53%"
"Apr 15, 2019","26.40","26.54","26.82","26.14","46.50K","-1.57%"
"Apr 12, 2019","26.82","26.68","26.86","26.68","39.90K","0.45%"
"Apr 11, 2019","26.70","26.98","26.98","26.62","60.30K","-0.96%"
"Apr 10, 2019","26.96","27.10","27.10","26.30","140.20K","-0.30%"
"Apr 09, 2019","27.04","27.24","27.24","26.94","153.20K","-0.44%"
"Apr 08, 2019","27.16","26.18","27.26","26.10","373.50K","4.22%"
"Apr 05, 2019","26.06","25.96","26.24","25.94","403.60K","0.39%"
"Apr 04, 2019","25.96","26.32","26.42","25.68","251.80K","-1.29%"
"Apr 03, 2019","26.30","26.66","26.88","26.30","79.30K","-1.87%"
"Apr 02, 2019","26.80","26.88","26.88","26.58","30.60K","-0.15%"
"Apr 01, 2019","26.84","26.90","26.96","26.80","244.50K","0.37%"
"Mar 29, 2019","26.74","26.88","26.88","26.50","165.10K","0.75%"
"Mar 28, 2019","26.54","26.70","26.92","26.50","519.20K","-0.60%"
"Mar 27, 2019","26.70","26.54","27.38","26.42","738.80K","0.68%"
"Mar 26, 2019","26.52","26.20","26.60","26.20","38.20K","0.08%"
"Mar 25, 2019","26.50","26.48","26.60","25.82","340.10K","0.00%"
"Mar 22, 2019","26.50","25.58","26.50","25.36","386.30K","3.52%"
"Mar 21, 2019","25.60","25.76","25.76","25.38","237.50K","-0.16%"
"Mar 20, 2019","25.64","25.30","25.78","25.26","262.30K","1.34%"
"Mar 19, 2019","25.30","25.68","25.68","25.24","77.90K","-0.24%"
"Mar 18, 2019","25.36","25.96","25.96","25.12","213.20K","-1.48%"
"Mar 15, 2019","25.74","25.74","25.74","25.50","4.92M","-0.08%"
"Mar 14, 2019","25.76","26.00","26.00","25.60","242.50K","-0.16%"
"Mar 13, 2019","25.80","25.90","26.24","25.56","394.50K","0.00%"
"Mar 12, 2019","25.80","25.60","25.96","25.54","272.60K","0.23%"
"Mar 11, 2019","25.74","25.84","26.00","25.50","451.40K","-0.39%"
"Mar 08, 2019","25.84","26.00","26.08","25.60","389.90K","-0.62%"
"Mar 07, 2019","26.00","25.66","26.18","25.54","530.80K","1.56%"
"Mar 06, 2019","25.60","25.20","25.60","25.16","413.70K","0.16%"
"Mar 05, 2019","25.56","25.20","25.64","25.06","347.80K","2.24%"
"Mar 04, 2019","25.00","25.48","25.56","24.64","374.50K","-1.88%"
"Mar 01, 2019","25.48","24.50","25.50","24.50","528.10K","4.00%"
"Feb 28, 2019","24.50","24.30","24.80","24.30","370.10K","-1.21%"
"Feb 27, 2019","24.80","24.30","24.86","24.24","449.90K","2.06%"
"Feb 26, 2019","24.30","24.64","24.86","24.10","306.40K","-1.38%"
"Feb 25, 2019","24.64","24.98","25.00","24.62","151.90K","-1.36%"
"Feb 22, 2019","24.98","24.98","25.00","24.00","468.30K","0.24%"
"Feb 21, 2019","24.92","23.80","24.98","23.70","726.80K","4.97%"
"Feb 20, 2019","23.74","23.14","23.78","23.14","543.10K","2.59%"
"Feb 19, 2019","23.14","23.40","23.40","23.04","524.00K","0.52%"
"Feb 18, 2019","23.02","22.00","23.50","22.00","1.06M","5.02%"
"Feb 15, 2019","21.92","21.66","22.28","21.62","715.40K","1.58%"
"Feb 14, 2019","21.58","20.76","21.60","20.76","413.20K","3.95%"
