"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.410","1.410","1.420","1.400","1.31M","-0.70%"
"Apr 25, 2019","1.420","1.420","1.440","1.400","1.87M","0.00%"
"Apr 24, 2019","1.420","1.380","1.430","1.380","1.79M","3.65%"
"Apr 23, 2019","1.370","1.340","1.380","1.340","2.50M","3.01%"
"Apr 22, 2019","1.330","1.340","1.340","1.320","946.10K","0.76%"
"Apr 19, 2019","1.320","1.300","1.340","1.300","531.10K","0.76%"
"Apr 18, 2019","1.310","1.310","1.310","1.300","902.50K","-0.76%"
"Apr 17, 2019","1.320","1.340","1.340","1.310","1.18M","-2.22%"
"Apr 16, 2019","1.350","1.340","1.350","1.340","1.19M","0.75%"
"Apr 15, 2019","1.340","1.360","1.360","1.340","1.52M","-0.74%"
"Apr 12, 2019","1.350","1.370","1.380","1.340","2.99M","-0.74%"
"Apr 11, 2019","1.360","1.350","1.380","1.350","3.09M","0.74%"
"Apr 10, 2019","1.350","1.300","1.360","1.300","2.90M","3.85%"
"Apr 09, 2019","1.300","1.310","1.310","1.290","2.38M","0.00%"
"Apr 08, 2019","1.300","1.310","1.320","1.290","1.00M","-0.76%"
"Apr 05, 2019","1.310","1.270","1.320","1.270","2.04M","2.34%"
"Apr 04, 2019","1.280","1.280","1.290","1.260","1.24M","-0.78%"
"Apr 03, 2019","1.290","1.300","1.300","1.290","763.70K","-0.77%"
"Apr 02, 2019","1.300","1.290","1.330","1.270","1.85M","0.78%"
"Apr 01, 2019","1.290","1.280","1.290","1.260","684.90K","0.78%"
"Mar 29, 2019","1.280","1.280","1.280","1.250","981.30K","0.79%"
"Mar 28, 2019","1.270","1.200","1.290","1.190","3.15M","6.72%"
"Mar 27, 2019","1.190","1.190","1.200","1.190","815.00K","0.00%"
"Mar 26, 2019","1.190","1.190","1.210","1.180","1.35M","-0.83%"
"Mar 25, 2019","1.200","1.200","1.200","1.160","1.33M","0.00%"
"Mar 22, 2019","1.200","1.200","1.240","1.190","2.63M","0.00%"
"Mar 21, 2019","1.200","1.160","1.210","1.150","2.54M","3.45%"
"Mar 20, 2019","1.160","1.150","1.160","1.140","616.90K","1.75%"
