"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.235","0.220","0.235","0.220","42.00K","4.44%"
"Apr 24, 2019","0.225","0.225","0.225","0.225","54.00K","-2.17%"
"Apr 19, 2019","0.230","0.230","0.230","0.230","20.00K","4.55%"
"Apr 18, 2019","0.220","0.225","0.225","0.220","45.00K","-4.35%"
"Apr 15, 2019","0.230","0.235","0.235","0.230","60.00K","-4.17%"
"Apr 12, 2019","0.240","0.240","0.240","0.240","25.00K","0.00%"
"Apr 11, 2019","0.240","0.225","0.240","0.225","3.30K","6.67%"
"Apr 09, 2019","0.225","0.225","0.225","0.225","1.00K","-2.17%"
"Apr 08, 2019","0.230","0.230","0.240","0.225","22.00K","0.00%"
"Apr 05, 2019","0.230","0.235","0.235","0.230","33.00K","2.22%"
"Apr 04, 2019","0.225","0.235","0.235","0.225","20.10K","-4.26%"
"Apr 03, 2019","0.235","0.235","0.235","0.235","10.00K","0.00%"
"Apr 02, 2019","0.235","0.235","0.235","0.235","10.00K","-4.08%"
"Mar 29, 2019","0.245","0.245","0.245","0.245","29.00K","0.00%"
"Mar 27, 2019","0.245","0.230","0.245","0.230","36.10K","6.52%"
"Mar 26, 2019","0.230","0.215","0.230","0.215","149.00K","4.55%"
"Mar 25, 2019","0.220","0.220","0.220","0.220","72.70K","-4.35%"
"Mar 21, 2019","0.230","0.245","0.245","0.230","210.00K","-6.12%"
"Mar 20, 2019","0.245","0.220","0.245","0.220","272.00K","11.36%"
"Mar 19, 2019","0.220","0.220","0.225","0.215","70.00K","-4.35%"
"Mar 18, 2019","0.230","0.230","0.230","0.220","115.20K","2.22%"
"Mar 15, 2019","0.225","0.225","0.225","0.220","221.70K","4.65%"
"Mar 14, 2019","0.215","0.215","0.215","0.205","97.50K","-6.52%"
"Mar 13, 2019","0.230","0.220","0.230","0.220","18.10K","4.55%"
"Mar 12, 2019","0.220","0.220","0.220","0.215","93.60K","-6.38%"
"Mar 11, 2019","0.235","0.210","0.250","0.210","802.70K","14.63%"
"Mar 08, 2019","0.205","0.200","0.205","0.200","197.00K","-2.38%"
"Mar 07, 2019","0.210","0.210","0.215","0.210","79.00K","-4.55%"
"Feb 26, 2019","0.220","0.210","0.220","0.210","31.00K","4.76%"
"Feb 22, 2019","0.210","0.210","0.210","0.210","3.20K","0.00%"
"Feb 20, 2019","0.210","0.200","0.210","0.190","43.10K","0.00%"
"Feb 13, 2019","0.210","0.210","0.210","0.210","2.50K","10.53%"
"Feb 12, 2019","0.190","0.190","0.190","0.190","1.00K","0.00%"
"Feb 08, 2019","0.190","0.190","0.190","0.190","10.00K","-2.56%"
"Jan 29, 2019","0.195","0.195","0.195","0.195","7.30K","2.63%"
"Jan 25, 2019","0.190","0.190","0.190","0.190","10.00K","0.00%"
"Jan 24, 2019","0.190","0.190","0.190","0.190","28.00K","0.00%"
"Jan 23, 2019","0.190","0.190","0.195","0.190","32.00K","-2.56%"
"Jan 22, 2019","0.195","0.195","0.195","0.195","129.30K","0.00%"
"Jan 17, 2019","0.195","0.195","0.195","0.195","19.00K","0.00%"
"Jan 16, 2019","0.195","0.195","0.195","0.195","9.00K","0.00%"
"Jan 10, 2019","0.195","0.195","0.195","0.195","12.90K","-2.50%"
"Jan 09, 2019","0.200","0.200","0.205","0.200","70.00K","5.26%"
"Jan 07, 2019","0.190","0.185","0.190","0.185","23.00K","5.56%"
