"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2019","0.130","0.125","0.130","0.125","4.50K","4.00%"
"Apr 24, 2019","0.125","0.125","0.125","0.125","0.20K","-3.85%"
"Apr 23, 2019","0.130","0.125","0.130","0.125","1.70K","4.00%"
"Apr 22, 2019","0.125","0.125","0.125","0.125","35.00K","0.00%"
"Apr 18, 2019","0.125","0.125","0.125","0.125","20.00K","0.00%"
"Apr 17, 2019","0.125","0.130","0.130","0.125","297.30K","-7.41%"
"Apr 16, 2019","0.135","0.130","0.135","0.130","52.20K","0.00%"
"Apr 15, 2019","0.135","0.135","0.135","0.135","15.00K","0.00%"
"Apr 12, 2019","0.135","0.135","0.135","0.130","96.40K","3.85%"
"Apr 11, 2019","0.130","0.130","0.135","0.130","318.00K","0.00%"
"Apr 10, 2019","0.130","0.130","0.130","0.130","38.00K","4.00%"
"Apr 09, 2019","0.125","0.130","0.130","0.125","136.80K","0.00%"
"Apr 08, 2019","0.125","0.125","0.130","0.125","83.50K","0.00%"
"Apr 05, 2019","0.125","0.125","0.125","0.125","30.00K","0.00%"
"Apr 04, 2019","0.125","0.125","0.125","0.125","69.70K","0.00%"
"Apr 03, 2019","0.125","0.130","0.130","0.125","63.30K","-3.85%"
"Apr 02, 2019","0.130","0.130","0.135","0.125","152.60K","0.00%"
"Apr 01, 2019","0.130","0.130","0.135","0.130","272.30K","4.00%"
"Mar 29, 2019","0.125","0.135","0.135","0.125","397.00K","-10.71%"
"Mar 28, 2019","0.140","0.140","0.140","0.140","0.20K","3.70%"
"Mar 27, 2019","0.135","0.140","0.145","0.135","253.70K","-6.90%"
"Mar 26, 2019","0.145","0.145","0.145","0.140","97.50K","0.00%"
"Mar 25, 2019","0.145","0.130","0.145","0.130","648.50K","7.41%"
"Mar 22, 2019","0.135","0.130","0.135","0.125","362.00K","-3.57%"
"Mar 21, 2019","0.140","0.145","0.145","0.140","202.90K","-3.45%"
"Mar 20, 2019","0.145","0.130","0.145","0.130","368.00K","3.57%"
"Mar 19, 2019","0.140","0.145","0.145","0.135","145.10K","-3.45%"
"Mar 18, 2019","0.145","0.125","0.145","0.125","1.62M","11.54%"
"Mar 15, 2019","0.130","0.130","0.130","0.130","33.00K","0.00%"
"Mar 14, 2019","0.130","0.125","0.130","0.125","45.00K","4.00%"
"Mar 13, 2019","0.125","0.125","0.125","0.125","110.00K","0.00%"
"Mar 12, 2019","0.125","0.125","0.125","0.125","215.00K","0.00%"
"Mar 11, 2019","0.125","0.125","0.125","0.125","15.80K","-3.85%"
"Mar 08, 2019","0.130","0.125","0.135","0.125","213.50K","-3.70%"
"Mar 06, 2019","0.135","0.135","0.135","0.125","161.50K","12.50%"
"Mar 05, 2019","0.120","0.125","0.130","0.120","308.00K","-7.69%"
"Mar 04, 2019","0.130","0.125","0.130","0.125","11.20K","0.00%"
"Mar 01, 2019","0.130","0.125","0.130","0.125","160.50K","4.00%"
"Feb 28, 2019","0.125","0.130","0.135","0.125","229.70K","-7.41%"
"Feb 27, 2019","0.135","0.120","0.140","0.120","415.60K","12.50%"
"Feb 26, 2019","0.120","0.120","0.120","0.120","60.00K","-4.00%"
"Feb 25, 2019","0.125","0.125","0.125","0.125","30.00K","0.00%"
"Feb 22, 2019","0.125","0.130","0.130","0.125","61.50K","-7.41%"
"Feb 21, 2019","0.135","0.125","0.140","0.125","1.35M","3.85%"
"Feb 20, 2019","0.130","0.120","0.130","0.120","137.30K","8.33%"
"Feb 19, 2019","0.120","0.115","0.120","0.115","85.30K","4.35%"
"Feb 18, 2019","0.115","0.120","0.120","0.115","21.00K","-4.17%"
"Feb 15, 2019","0.120","0.120","0.120","0.120","87.50K","0.00%"
"Feb 14, 2019","0.120","0.120","0.125","0.120","92.10K","-7.69%"
"Feb 13, 2019","0.130","0.115","0.130","0.115","175.20K","13.04%"
"Feb 11, 2019","0.115","0.115","0.115","0.115","30.00K","0.00%"
"Feb 08, 2019","0.115","0.110","0.115","0.110","18.40K","0.00%"
"Jan 31, 2019","0.115","0.115","0.115","0.115","20.00K","0.00%"
"Jan 29, 2019","0.115","0.115","0.115","0.115","19.90K","0.00%"
"Jan 28, 2019","0.115","0.115","0.115","0.115","10.00K","0.00%"
"Jan 25, 2019","0.115","0.115","0.115","0.115","200.00K","0.00%"
"Jan 24, 2019","0.115","0.115","0.115","0.115","20.00K","0.00%"
"Jan 23, 2019","0.115","0.110","0.115","0.110","94.00K","-4.17%"
"Jan 22, 2019","0.120","0.120","0.120","0.115","216.00K","-4.00%"
"Jan 18, 2019","0.125","0.125","0.125","0.125","1.80K","0.00%"
"Jan 17, 2019","0.125","0.125","0.125","0.120","78.00K","0.00%"
"Jan 16, 2019","0.125","0.125","0.125","0.120","380.50K","4.17%"
"Jan 15, 2019","0.120","0.125","0.125","0.120","48.20K","-4.00%"
"Jan 14, 2019","0.125","0.125","0.125","0.125","140.00K","0.00%"
"Jan 11, 2019","0.125","0.125","0.125","0.125","50.00K","0.00%"
"Jan 10, 2019","0.125","0.125","0.125","0.125","11.50K","-3.85%"
"Jan 09, 2019","0.130","0.125","0.130","0.125","250.90K","4.00%"
"Jan 04, 2019","0.125","0.120","0.125","0.120","7.00K","8.70%"
