"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.190","0.185","0.190","0.185","603.10K","0.00%"
"Apr 25, 2019","0.190","0.190","0.190","0.190","319.20K","-2.56%"
"Apr 24, 2019","0.195","0.190","0.195","0.190","465.10K","0.00%"
"Apr 23, 2019","0.195","0.190","0.195","0.190","715.30K","0.00%"
"Apr 22, 2019","0.195","0.185","0.195","0.185","416.30K","2.63%"
"Apr 19, 2019","0.190","0.190","0.190","0.185","25.10K","0.00%"
"Apr 18, 2019","0.190","0.185","0.190","0.185","346.10K","0.00%"
"Apr 17, 2019","0.190","0.190","0.190","0.185","155.10K","0.00%"
"Apr 16, 2019","0.190","0.190","0.190","0.185","12.70K","0.00%"
"Apr 15, 2019","0.190","0.190","0.190","0.185","321.60K","0.00%"
"Apr 12, 2019","0.190","0.190","0.195","0.190","279.50K","-2.56%"
"Apr 11, 2019","0.195","0.190","0.195","0.185","1.42M","2.63%"
"Apr 10, 2019","0.190","0.190","0.195","0.190","369.00K","0.00%"
"Apr 09, 2019","0.190","0.190","0.195","0.190","252.40K","0.00%"
"Apr 08, 2019","0.190","0.195","0.195","0.190","290.50K","-2.56%"
"Apr 05, 2019","0.195","0.195","0.200","0.190","477.80K","-2.50%"
"Apr 04, 2019","0.200","0.190","0.200","0.190","510.50K","5.26%"
"Apr 03, 2019","0.190","0.195","0.195","0.190","307.00K","-2.56%"
"Apr 02, 2019","0.195","0.195","0.195","0.190","701.50K","0.00%"
"Apr 01, 2019","0.195","0.190","0.195","0.185","618.50K","2.63%"
"Mar 29, 2019","0.190","0.185","0.190","0.185","276.30K","2.70%"
"Mar 28, 2019","0.185","0.180","0.185","0.180","305.30K","0.00%"
"Mar 27, 2019","0.185","0.185","0.185","0.180","55.50K","0.00%"
"Mar 26, 2019","0.185","0.180","0.185","0.180","67.10K","-2.63%"
"Mar 25, 2019","0.190","0.180","0.190","0.180","1.37M","0.00%"
"Mar 22, 2019","0.190","0.190","0.190","0.185","371.50K","0.00%"
"Mar 21, 2019","0.190","0.190","0.190","0.180","740.00K","0.00%"
"Mar 20, 2019","0.190","0.185","0.190","0.185","108.00K","0.00%"
"Mar 19, 2019","0.190","0.190","0.195","0.185","1.31M","-2.56%"
"Mar 18, 2019","0.195","0.195","0.195","0.190","882.40K","0.00%"
"Mar 15, 2019","0.195","0.200","0.205","0.195","2.85M","-2.50%"
"Mar 14, 2019","0.200","0.195","0.200","0.190","692.30K","0.00%"
"Mar 13, 2019","0.200","0.205","0.205","0.190","1.99M","0.00%"
"Mar 12, 2019","0.200","0.205","0.210","0.200","2.06M","-2.44%"
"Mar 11, 2019","0.205","0.190","0.210","0.180","7.93M","7.89%"
"Mar 08, 2019","0.190","0.185","0.190","0.180","2.17M","5.56%"
"Mar 07, 2019","0.180","0.195","0.195","0.180","4.22M","-7.69%"
"Mar 06, 2019","0.195","0.190","0.200","0.190","2.36M","2.63%"
"Mar 05, 2019","0.190","0.205","0.210","0.190","3.46M","-5.00%"
"Mar 04, 2019","0.200","0.175","0.215","0.175","15.47M","21.21%"
"Mar 01, 2019","0.165","0.170","0.170","0.165","448.80K","-2.94%"
"Feb 28, 2019","0.170","0.170","0.175","0.170","482.10K","-2.86%"
"Feb 27, 2019","0.175","0.170","0.175","0.170","566.50K","2.94%"
"Feb 26, 2019","0.170","0.175","0.175","0.170","1.03M","-2.86%"
"Feb 25, 2019","0.175","0.170","0.175","0.170","500.70K","2.94%"
"Feb 22, 2019","0.170","0.170","0.170","0.170","293.10K","0.00%"
"Feb 21, 2019","0.170","0.170","0.175","0.165","1.29M","0.00%"
"Feb 20, 2019","0.170","0.165","0.170","0.165","174.40K","6.25%"
"Feb 19, 2019","0.160","0.160","0.165","0.160","224.40K","0.00%"
