"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.600","1.610","1.620","1.600","125.00K","-0.62%"
"Apr 25, 2019","1.610","1.640","1.640","1.610","103.50K","-2.42%"
"Apr 24, 2019","1.650","1.640","1.700","1.630","77.40K","1.85%"
"Apr 23, 2019","1.620","1.620","1.620","1.620","37.00K","-0.61%"
"Apr 22, 2019","1.630","1.640","1.640","1.630","75.00K","-1.21%"
"Apr 19, 2019","1.650","1.600","1.700","1.600","76.80K","2.48%"
"Apr 18, 2019","1.610","1.610","1.660","1.600","49.60K","-0.62%"
"Apr 17, 2019","1.620","1.620","1.620","1.620","17.00K","-1.22%"
"Apr 16, 2019","1.640","1.620","1.640","1.610","74.10K","1.23%"
"Apr 15, 2019","1.620","1.650","1.650","1.620","52.90K","-1.82%"
"Apr 12, 2019","1.650","1.650","1.650","1.640","16.00K","-0.60%"
"Apr 11, 2019","1.660","1.750","1.750","1.650","11.10K","-1.19%"
"Apr 10, 2019","1.680","1.660","1.680","1.660","19.50K","1.20%"
"Apr 09, 2019","1.660","1.660","1.660","1.650","29.00K","-0.60%"
"Apr 08, 2019","1.670","1.700","1.700","1.650","95.20K","-1.76%"
"Apr 05, 2019","1.700","1.710","1.730","1.700","97.00K","-2.30%"
"Apr 04, 2019","1.740","1.720","1.750","1.710","49.30K","-0.57%"
"Apr 03, 2019","1.750","1.710","1.750","1.710","54.20K","1.16%"
"Apr 02, 2019","1.730","1.770","1.770","1.730","54.80K","-0.57%"
"Apr 01, 2019","1.740","1.730","1.770","1.730","50.90K","0.58%"
"Mar 29, 2019","1.730","1.690","1.730","1.690","36.00K","1.76%"
"Mar 28, 2019","1.700","1.670","1.700","1.670","24.50K","0.00%"
"Mar 27, 2019","1.700","1.700","1.700","1.690","26.00K","0.59%"
"Mar 26, 2019","1.690","1.680","1.690","1.660","13.00K","1.81%"
"Mar 25, 2019","1.660","1.690","1.690","1.660","7.10K","-2.35%"
"Mar 22, 2019","1.700","1.650","1.700","1.650","49.00K","3.03%"
"Mar 21, 2019","1.650","1.650","1.680","1.650","17.40K","0.00%"
"Mar 20, 2019","1.650","1.680","1.690","1.650","11.50K","-2.37%"
"Mar 19, 2019","1.690","1.690","1.690","1.660","31.60K","-0.59%"
"Mar 18, 2019","1.700","1.740","1.740","1.700","65.70K","-1.73%"
"Mar 15, 2019","1.730","1.770","1.770","1.730","41.50K","-2.81%"
"Mar 14, 2019","1.780","1.790","1.790","1.730","45.50K","1.14%"
"Mar 13, 2019","1.760","1.770","1.810","1.760","33.00K","-0.56%"
"Mar 12, 2019","1.770","1.770","1.770","1.760","42.10K","0.00%"
"Mar 11, 2019","1.770","1.780","1.780","1.770","20.00K","0.00%"
"Mar 08, 2019","1.770","1.770","1.810","1.760","145.40K","0.00%"
"Mar 07, 2019","1.770","1.820","1.850","1.750","237.50K","-2.75%"
"Mar 06, 2019","1.820","1.870","1.870","1.800","217.80K","-2.67%"
"Mar 05, 2019","1.870","1.880","1.890","1.830","59.80K","-1.06%"
"Mar 04, 2019","1.890","1.890","1.890","1.850","125.20K","0.53%"
