"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.490","0.490","0.490","0.490","36.60K","-2.00%"
"Apr 24, 2019","0.500","0.480","0.500","0.480","62.30K","5.26%"
"Apr 23, 2019","0.475","0.480","0.480","0.475","35.00K","-1.04%"
"Apr 22, 2019","0.480","0.495","0.500","0.480","54.20K","0.00%"
"Apr 19, 2019","0.480","0.480","0.480","0.475","35.40K","0.00%"
"Apr 17, 2019","0.480","0.485","0.485","0.480","11.00K","-1.03%"
"Apr 16, 2019","0.485","0.485","0.485","0.485","10.00K","0.00%"
"Apr 15, 2019","0.485","0.485","0.485","0.480","29.10K","0.00%"
"Apr 11, 2019","0.485","0.485","0.485","0.485","1.90K","0.00%"
"Apr 09, 2019","0.485","0.485","0.485","0.485","6.30K","1.04%"
"Apr 08, 2019","0.480","0.500","0.500","0.480","23.80K","-7.69%"
"Apr 05, 2019","0.520","0.490","0.525","0.480","76.30K","8.33%"
"Apr 04, 2019","0.480","0.480","0.480","0.480","10.00K","0.00%"
"Apr 03, 2019","0.480","0.480","0.480","0.480","10.00K","0.00%"
"Mar 29, 2019","0.480","0.470","0.480","0.470","16.30K","0.00%"
"Mar 27, 2019","0.480","0.480","0.480","0.480","23.30K","2.13%"
"Mar 26, 2019","0.470","0.470","0.470","0.470","4.10K","0.00%"
"Mar 22, 2019","0.470","0.480","0.480","0.470","10.50K","-2.08%"
"Mar 21, 2019","0.480","0.480","0.480","0.480","25.10K","-4.00%"
"Mar 19, 2019","0.500","0.500","0.500","0.480","14.80K","-3.85%"
"Mar 15, 2019","0.520","0.500","0.520","0.500","12.60K","4.00%"
"Mar 13, 2019","0.500","0.490","0.500","0.490","8.00K","-1.96%"
"Mar 12, 2019","0.510","0.510","0.510","0.510","7.50K","0.00%"
"Mar 11, 2019","0.510","0.530","0.530","0.500","6.70K","0.00%"
"Mar 08, 2019","0.510","0.505","0.510","0.500","76.70K","-1.92%"
"Mar 07, 2019","0.520","0.510","0.520","0.500","42.10K","0.97%"
"Mar 06, 2019","0.515","0.495","0.515","0.495","190.00K","4.04%"
"Mar 05, 2019","0.495","0.490","0.495","0.470","59.70K","1.02%"
"Mar 01, 2019","0.490","0.490","0.495","0.470","115.30K","-2.00%"
"Feb 28, 2019","0.500","0.500","0.500","0.490","11.40K","1.01%"
"Feb 27, 2019","0.495","0.500","0.500","0.495","29.60K","-1.00%"
"Feb 26, 2019","0.500","0.500","0.500","0.500","7.00K","0.00%"
"Feb 25, 2019","0.500","0.500","0.500","0.500","25.10K","0.00%"
"Feb 22, 2019","0.500","0.500","0.500","0.500","0.70K","-3.85%"
"Feb 21, 2019","0.520","0.500","0.535","0.500","264.00K","4.00%"
"Feb 20, 2019","0.500","0.500","0.500","0.500","23.50K","0.00%"
"Feb 19, 2019","0.500","0.500","0.500","0.500","17.00K","-1.96%"
"Feb 18, 2019","0.510","0.510","0.510","0.510","50.20K","5.15%"
"Feb 15, 2019","0.485","0.485","0.485","0.485","3.10K","0.00%"
"Feb 13, 2019","0.485","0.485","0.485","0.485","6.20K","-3.00%"
"Feb 12, 2019","0.500","0.495","0.510","0.495","70.50K","1.01%"
"Feb 11, 2019","0.495","0.490","0.500","0.490","71.30K","-1.00%"
"Feb 07, 2019","0.500","0.500","0.500","0.500","1.00K","0.00%"
"Jan 31, 2019","0.500","0.475","0.510","0.475","50.10K","-2.91%"
"Jan 29, 2019","0.515","0.510","0.515","0.510","13.00K","8.42%"
"Jan 28, 2019","0.475","0.480","0.480","0.475","28.50K","-5.00%"
"Jan 24, 2019","0.500","0.480","0.550","0.480","188.70K","6.38%"
"Jan 23, 2019","0.470","0.470","0.470","0.470","1.50K","-3.09%"
"Jan 22, 2019","0.485","0.480","0.485","0.480","3.60K","1.04%"
"Jan 18, 2019","0.480","0.475","0.485","0.470","38.80K","1.05%"
"Jan 17, 2019","0.475","0.495","0.495","0.475","10.60K","-5.00%"
"Jan 16, 2019","0.500","0.500","0.500","0.490","25.40K","1.01%"
"Jan 15, 2019","0.495","0.490","0.500","0.490","60.00K","3.13%"
"Jan 14, 2019","0.480","0.495","0.500","0.480","21.50K","-3.03%"
"Jan 11, 2019","0.495","0.495","0.495","0.490","46.20K","1.02%"
"Jan 10, 2019","0.490","0.490","0.490","0.490","15.00K","0.00%"
"Jan 09, 2019","0.490","0.490","0.500","0.490","63.40K","0.00%"
"Jan 08, 2019","0.490","0.495","0.500","0.490","120.30K","1.03%"
"Jan 07, 2019","0.485","0.490","0.490","0.485","40.70K","1.04%"
"Jan 04, 2019","0.480","0.455","0.480","0.455","26.50K","5.49%"
"Jan 03, 2019","0.455","0.455","0.455","0.440","117.70K","0.00%"
"Jan 02, 2019","0.455","0.450","0.455","0.450","6.00K","1.11%"
