"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.280","0.285","0.285","0.280","20.00K","-1.75%"
"Apr 25, 2019","0.285","0.285","0.285","0.285","1.60K","-3.39%"
"Apr 24, 2019","0.295","0.285","0.295","0.285","45.40K","5.36%"
"Apr 23, 2019","0.280","0.280","0.280","0.280","88.60K","-3.45%"
"Apr 15, 2019","0.290","0.290","0.290","0.290","4.00K","1.75%"
"Apr 11, 2019","0.285","0.285","0.285","0.285","10.00K","0.00%"
"Apr 10, 2019","0.285","0.285","0.290","0.285","43.40K","-3.39%"
"Apr 09, 2019","0.295","0.295","0.295","0.295","33.00K","0.00%"
"Apr 05, 2019","0.295","0.295","0.295","0.295","7.00K","3.51%"
"Apr 04, 2019","0.285","0.295","0.295","0.285","49.60K","-3.39%"
"Apr 03, 2019","0.295","0.295","0.295","0.295","10.00K","-1.67%"
"Apr 01, 2019","0.300","0.300","0.340","0.300","179.70K","3.45%"
"Mar 28, 2019","0.290","0.280","0.290","0.280","11.30K","0.00%"
"Mar 27, 2019","0.290","0.290","0.315","0.285","40.60K","0.00%"
"Mar 25, 2019","0.290","0.285","0.305","0.285","62.30K","0.00%"
"Mar 22, 2019","0.290","0.295","0.295","0.290","35.80K","-1.69%"
"Mar 21, 2019","0.295","0.295","0.295","0.295","40.00K","0.00%"
"Mar 20, 2019","0.295","0.295","0.295","0.295","24.50K","0.00%"
"Mar 19, 2019","0.295","0.295","0.295","0.295","10.80K","0.00%"
"Mar 18, 2019","0.295","0.295","0.295","0.295","45.40K","1.72%"
"Mar 15, 2019","0.290","0.290","0.290","0.290","28.10K","0.00%"
"Mar 14, 2019","0.290","0.300","0.300","0.285","54.70K","-4.92%"
"Mar 13, 2019","0.305","0.315","0.315","0.295","176.50K","-4.69%"
"Mar 12, 2019","0.320","0.340","0.345","0.300","55.50K","-3.03%"
"Mar 11, 2019","0.330","0.290","0.360","0.280","470.50K","13.79%"
"Mar 08, 2019","0.290","0.295","0.295","0.285","175.00K","-4.92%"
"Mar 07, 2019","0.305","0.315","0.320","0.295","325.00K","-4.69%"
"Mar 06, 2019","0.320","0.305","0.320","0.305","54.80K","-3.03%"
"Mar 05, 2019","0.330","0.330","0.330","0.330","5.00K","8.20%"
"Mar 04, 2019","0.305","0.305","0.305","0.305","1.60K","-6.15%"
"Mar 01, 2019","0.325","0.320","0.325","0.305","30.20K","-1.52%"
"Feb 28, 2019","0.330","0.325","0.330","0.320","32.00K","1.54%"
"Feb 27, 2019","0.325","0.325","0.325","0.300","81.60K","-1.52%"
"Feb 26, 2019","0.330","0.325","0.330","0.325","20.00K","0.00%"
"Feb 22, 2019","0.330","0.330","0.330","0.330","15.00K","-1.49%"
"Feb 21, 2019","0.335","0.340","0.340","0.335","60.00K","-4.29%"
"Feb 19, 2019","0.350","0.350","0.375","0.350","32.00K","0.00%"
"Feb 15, 2019","0.350","0.350","0.350","0.345","51.60K","-2.78%"
"Feb 14, 2019","0.360","0.375","0.375","0.360","33.50K","0.00%"
"Feb 13, 2019","0.360","0.400","0.400","0.350","331.20K","-10.00%"
"Feb 12, 2019","0.400","0.380","0.420","0.380","276.00K","3.90%"
"Feb 11, 2019","0.385","0.335","0.390","0.320","642.80K","22.22%"
"Feb 07, 2019","0.315","0.315","0.315","0.315","10.00K","-4.55%"
"Feb 04, 2019","0.330","0.325","0.330","0.325","21.00K","3.13%"
"Jan 30, 2019","0.320","0.320","0.320","0.320","10.00K","0.00%"
"Jan 29, 2019","0.320","0.310","0.320","0.310","58.00K","6.67%"
"Jan 28, 2019","0.300","0.300","0.300","0.300","16.50K","-6.25%"
"Jan 24, 2019","0.320","0.320","0.320","0.320","10.00K","0.00%"
"Jan 23, 2019","0.320","0.300","0.320","0.300","70.00K","14.29%"
"Jan 22, 2019","0.280","0.290","0.300","0.280","6.50K","0.00%"
"Jan 18, 2019","0.280","0.280","0.280","0.280","10.00K","-3.45%"
