"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.210","0.205","0.210","0.200","322.10K","2.44%"
"Apr 25, 2019","0.205","0.205","0.205","0.200","544.00K","2.50%"
"Apr 24, 2019","0.200","0.205","0.210","0.200","260.00K","-2.44%"
"Apr 23, 2019","0.205","0.215","0.215","0.205","145.40K","-2.38%"
"Apr 22, 2019","0.210","0.210","0.210","0.205","434.70K","0.00%"
"Apr 19, 2019","0.210","0.200","0.220","0.200","1.39M","5.00%"
"Apr 18, 2019","0.200","0.200","0.205","0.200","310.00K","0.00%"
"Apr 17, 2019","0.200","0.200","0.200","0.200","51.00K","-4.76%"
"Apr 16, 2019","0.210","0.205","0.210","0.200","261.60K","2.44%"
"Apr 15, 2019","0.205","0.205","0.205","0.205","200.00K","-2.38%"
"Apr 12, 2019","0.210","0.205","0.210","0.205","612.00K","0.00%"
"Apr 11, 2019","0.210","0.215","0.220","0.205","724.00K","-2.33%"
"Apr 10, 2019","0.215","0.205","0.220","0.205","885.50K","4.88%"
"Apr 09, 2019","0.205","0.205","0.210","0.200","219.10K","0.00%"
"Apr 08, 2019","0.205","0.205","0.205","0.205","68.00K","0.00%"
"Apr 05, 2019","0.205","0.205","0.205","0.205","186.80K","0.00%"
"Apr 04, 2019","0.205","0.205","0.205","0.205","308.10K","0.00%"
"Apr 03, 2019","0.205","0.205","0.205","0.205","74.40K","0.00%"
"Apr 02, 2019","0.205","0.205","0.210","0.205","316.00K","0.00%"
"Apr 01, 2019","0.205","0.205","0.205","0.205","20.00K","0.00%"
"Mar 29, 2019","0.205","0.205","0.210","0.205","243.00K","0.00%"
"Mar 28, 2019","0.205","0.205","0.210","0.205","95.00K","0.00%"
"Mar 27, 2019","0.205","0.205","0.205","0.205","133.00K","0.00%"
"Mar 26, 2019","0.205","0.205","0.205","0.205","69.50K","0.00%"
"Mar 25, 2019","0.205","0.210","0.210","0.205","728.70K","-2.38%"
"Mar 22, 2019","0.210","0.210","0.210","0.210","100.50K","-2.33%"
"Mar 21, 2019","0.215","0.210","0.215","0.210","429.10K","2.38%"
"Mar 20, 2019","0.210","0.215","0.215","0.210","133.00K","-2.33%"
"Mar 19, 2019","0.215","0.215","0.225","0.210","2.34M","2.38%"
"Mar 18, 2019","0.210","0.215","0.215","0.210","211.10K","-2.33%"
"Mar 15, 2019","0.215","0.210","0.220","0.210","184.20K","0.00%"
"Mar 14, 2019","0.215","0.215","0.215","0.210","147.20K","0.00%"
"Mar 13, 2019","0.215","0.210","0.220","0.210","783.20K","0.00%"
"Mar 12, 2019","0.215","0.215","0.215","0.215","151.10K","0.00%"
"Mar 11, 2019","0.215","0.225","0.225","0.215","214.00K","-2.27%"
"Mar 08, 2019","0.220","0.205","0.225","0.205","620.20K","4.76%"
"Mar 07, 2019","0.210","0.205","0.215","0.205","181.70K","2.44%"
"Mar 06, 2019","0.205","0.210","0.210","0.205","120.50K","-2.38%"
"Mar 05, 2019","0.210","0.210","0.210","0.205","200.40K","0.00%"
"Mar 04, 2019","0.210","0.200","0.215","0.200","302.00K","5.00%"
"Mar 01, 2019","0.200","0.200","0.200","0.200","297.00K","0.00%"
"Feb 28, 2019","0.200","0.205","0.205","0.200","503.50K","-4.76%"
"Feb 27, 2019","0.210","0.210","0.210","0.210","350.00K","0.00%"
"Feb 26, 2019","0.210","0.215","0.215","0.210","687.00K","0.00%"
"Feb 25, 2019","0.210","0.215","0.215","0.210","323.00K","-2.33%"
"Feb 22, 2019","0.215","0.215","0.215","0.215","648.30K","-2.27%"
"Feb 21, 2019","0.220","0.220","0.225","0.215","711.80K","-2.22%"
"Feb 20, 2019","0.225","0.220","0.225","0.220","145.00K","4.65%"
"Feb 19, 2019","0.215","0.220","0.220","0.215","976.20K","-2.27%"
"Feb 18, 2019","0.220","0.225","0.225","0.215","527.80K","-4.35%"
"Feb 15, 2019","0.230","0.230","0.235","0.225","616.40K","0.00%"
"Feb 14, 2019","0.230","0.230","0.230","0.225","440.80K","-2.13%"
"Feb 13, 2019","0.235","0.225","0.245","0.225","4.59M","2.17%"
"Feb 12, 2019","0.230","0.220","0.230","0.220","125.80K","2.22%"
"Feb 11, 2019","0.225","0.225","0.230","0.220","538.80K","0.00%"
"Feb 08, 2019","0.225","0.215","0.225","0.215","795.50K","2.27%"
"Feb 07, 2019","0.220","0.210","0.220","0.210","109.90K","0.00%"
"Feb 04, 2019","0.220","0.205","0.220","0.205","51.00K","2.33%"
"Jan 31, 2019","0.215","0.215","0.215","0.210","854.00K","0.00%"
"Jan 30, 2019","0.215","0.215","0.220","0.215","286.20K","0.00%"
