"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","2.580","2.550","2.580","2.540","61.80K","0.78%"
"Apr 25, 2019","2.560","2.550","2.560","2.540","100.40K","0.39%"
"Apr 24, 2019","2.550","2.530","2.580","2.530","164.10K","0.79%"
"Apr 23, 2019","2.530","2.520","2.550","2.520","142.00K","0.80%"
"Apr 22, 2019","2.510","2.540","2.550","2.510","251.50K","-1.18%"
"Apr 19, 2019","2.540","2.500","2.550","2.500","37.50K","0.40%"
"Apr 18, 2019","2.530","2.510","2.530","2.490","67.20K","0.80%"
"Apr 17, 2019","2.510","2.540","2.540","2.500","100.40K","0.40%"
"Apr 16, 2019","2.500","2.510","2.550","2.490","258.90K","-1.19%"
"Apr 15, 2019","2.530","2.550","2.550","2.510","130.70K","0.00%"
"Apr 12, 2019","2.530","2.540","2.560","2.510","146.70K","0.00%"
"Apr 11, 2019","2.530","2.560","2.650","2.510","317.10K","-1.17%"
"Apr 10, 2019","2.560","2.500","2.570","2.480","154.10K","2.40%"
"Apr 09, 2019","2.500","2.490","2.500","2.470","437.10K","0.00%"
"Apr 08, 2019","2.500","2.530","2.530","2.490","260.60K","-0.79%"
"Apr 05, 2019","2.520","2.510","2.570","2.480","340.10K","-0.40%"
"Apr 04, 2019","2.530","2.560","2.620","2.500","230.40K","0.00%"
"Apr 03, 2019","2.530","2.490","2.550","2.490","103.80K","1.20%"
"Apr 02, 2019","2.500","2.480","2.500","2.470","187.40K","0.81%"
"Apr 01, 2019","2.480","2.520","2.570","2.470","488.70K","-2.36%"
"Mar 29, 2019","2.540","2.560","2.570","2.530","140.70K","-1.55%"
"Mar 28, 2019","2.580","2.580","2.590","2.560","125.80K","0.00%"
"Mar 27, 2019","2.580","2.580","2.600","2.560","201.70K","0.00%"
"Mar 26, 2019","2.580","2.680","2.680","2.570","586.30K","-4.44%"
"Mar 25, 2019","2.700","2.700","2.720","2.680","54.60K","-0.74%"
"Mar 22, 2019","2.720","2.690","2.750","2.680","35.30K","0.00%"
"Mar 21, 2019","2.720","2.740","2.740","2.700","38.40K","-0.37%"
"Mar 20, 2019","2.730","2.700","2.740","2.690","61.60K","1.11%"
"Mar 19, 2019","2.700","2.680","2.730","2.680","37.00K","0.00%"
"Mar 18, 2019","2.700","2.700","2.740","2.680","89.70K","0.00%"
"Mar 15, 2019","2.700","2.750","2.750","2.680","100.90K","0.00%"
"Mar 14, 2019","2.700","2.690","2.720","2.680","83.60K","0.37%"
"Mar 13, 2019","2.690","2.770","2.770","2.690","195.20K","-2.54%"
"Mar 12, 2019","2.760","2.720","2.780","2.720","110.20K","-0.36%"
"Mar 11, 2019","2.770","2.840","2.840","2.700","115.20K","-0.72%"
"Mar 08, 2019","2.790","2.780","2.810","2.770","86.80K","-0.36%"
"Mar 07, 2019","2.800","2.800","2.840","2.780","134.90K","0.00%"
"Mar 06, 2019","2.800","2.820","2.820","2.790","57.30K","0.00%"
"Mar 05, 2019","2.800","2.780","2.840","2.770","120.00K","0.72%"
"Mar 04, 2019","2.780","2.820","2.820","2.770","128.70K","-1.42%"
"Mar 01, 2019","2.820","2.820","2.820","2.760","51.80K","1.08%"
"Feb 28, 2019","2.790","2.830","2.840","2.760","89.40K","-1.41%"
"Feb 27, 2019","2.830","2.880","2.880","2.790","47.10K","-0.35%"
"Feb 26, 2019","2.840","2.880","2.880","2.780","67.70K","0.35%"
"Feb 25, 2019","2.830","2.820","2.890","2.800","87.30K","-1.05%"
"Feb 22, 2019","2.860","2.860","2.900","2.830","123.50K","-1.38%"
"Feb 21, 2019","2.900","2.940","2.940","2.890","383.90K","0.00%"
"Feb 20, 2019","2.900","2.940","2.940","2.890","306.70K","0.35%"
"Feb 19, 2019","2.890","2.900","2.900","2.890","112.50K","-0.34%"
"Feb 18, 2019","2.900","2.900","2.940","2.890","131.30K","0.00%"
"Feb 15, 2019","2.900","2.900","2.920","2.890","67.90K","0.00%"
"Feb 14, 2019","2.900","2.920","2.920","2.890","84.80K","0.35%"
"Feb 13, 2019","2.890","2.880","2.940","2.880","56.10K","-0.34%"
"Feb 12, 2019","2.900","2.880","2.900","2.880","115.50K","0.00%"
"Feb 11, 2019","2.900","2.900","2.910","2.880","136.10K","0.35%"
"Feb 08, 2019","2.890","2.870","2.890","2.860","108.80K","0.35%"
"Feb 07, 2019","2.880","2.800","2.880","2.790","109.50K","3.23%"
"Feb 04, 2019","2.790","2.780","2.800","2.780","10.30K","0.36%"
"Jan 31, 2019","2.780","2.790","2.800","2.770","30.50K","-0.71%"
"Jan 30, 2019","2.800","2.780","2.800","2.770","78.40K","0.72%"
"Jan 29, 2019","2.780","2.800","2.800","2.770","71.60K","0.36%"
"Jan 28, 2019","2.770","2.790","2.810","2.770","119.00K","-0.36%"
"Jan 25, 2019","2.780","2.750","2.800","2.750","44.40K","1.09%"
"Jan 24, 2019","2.750","2.760","2.770","2.730","69.00K","1.48%"
"Jan 23, 2019","2.710","2.750","2.750","2.710","96.80K","-1.45%"
"Jan 22, 2019","2.750","2.800","2.800","2.750","174.60K","-1.79%"
"Jan 18, 2019","2.800","2.790","2.840","2.790","95.40K","0.00%"
"Jan 17, 2019","2.800","2.770","2.810","2.770","182.70K","1.08%"
"Jan 16, 2019","2.770","2.820","2.820","2.770","401.30K","-1.77%"
"Jan 15, 2019","2.820","2.920","2.920","2.800","656.50K","-5.69%"
"Jan 14, 2019","2.990","3.040","3.060","2.980","120.80K","-1.64%"
"Jan 11, 2019","3.040","3.040","3.080","3.030","148.60K","0.33%"
"Jan 10, 2019","3.030","3.050","3.080","3.010","242.50K","1.00%"
"Jan 09, 2019","3.000","2.920","3.070","2.880","480.30K","4.17%"
"Jan 08, 2019","2.880","2.850","2.900","2.850","101.70K","1.05%"
"Jan 07, 2019","2.850","2.780","2.900","2.770","276.00K","2.89%"
"Jan 04, 2019","2.770","2.760","2.770","2.730","54.10K","0.00%"
"Jan 03, 2019","2.770","2.760","2.790","2.750","141.40K","1.84%"
"Jan 02, 2019","2.720","2.680","2.730","2.680","27.20K","2.26%"
