"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.710","1.750","1.750","1.670","178.30K","3.64%"
"Apr 25, 2019","1.650","1.650","1.650","1.650","47.90K","0.00%"
"Apr 24, 2019","1.650","1.670","1.670","1.650","16.00K","-1.20%"
"Apr 23, 2019","1.670","1.650","1.670","1.640","154.50K","1.21%"
"Apr 22, 2019","1.650","1.650","1.670","1.650","209.00K","0.00%"
"Apr 19, 2019","1.650","1.650","1.660","1.650","201.00K","0.00%"
"Apr 17, 2019","1.650","1.700","1.700","1.650","7.00K","-2.94%"
"Apr 16, 2019","1.700","1.700","1.720","1.700","63.90K","0.59%"
"Apr 15, 2019","1.690","1.700","1.710","1.690","36.50K","-0.59%"
"Apr 12, 2019","1.700","1.710","1.710","1.700","19.00K","-1.16%"
"Apr 11, 2019","1.720","1.720","1.740","1.720","58.00K","-2.82%"
"Apr 10, 2019","1.770","1.730","1.770","1.730","31.80K","2.91%"
"Apr 09, 2019","1.720","1.720","1.720","1.720","30.00K","-1.15%"
"Apr 08, 2019","1.740","1.740","1.740","1.740","18.50K","0.00%"
"Apr 05, 2019","1.740","1.740","1.740","1.740","29.00K","0.58%"
"Apr 04, 2019","1.730","1.740","1.740","1.700","85.70K","1.17%"
"Apr 03, 2019","1.710","1.710","1.710","1.710","2.00K","-3.39%"
"Apr 02, 2019","1.770","1.770","1.770","1.770","1.40K","0.00%"
"Apr 01, 2019","1.770","1.720","1.770","1.720","7.90K","2.91%"
"Mar 28, 2019","1.720","1.720","1.720","1.720","6.00K","0.58%"
"Mar 27, 2019","1.710","1.710","1.710","1.700","9.00K","0.59%"
"Mar 26, 2019","1.700","1.700","1.700","1.700","3.00K","0.00%"
"Mar 25, 2019","1.700","1.700","1.700","1.700","10.00K","0.00%"
"Mar 22, 2019","1.700","1.770","1.800","1.700","7.00K","-4.49%"
"Mar 21, 2019","1.780","1.780","1.780","1.780","1.00K","0.00%"
"Mar 20, 2019","1.780","1.800","1.800","1.780","4.20K","0.00%"
"Mar 19, 2019","1.780","1.790","1.790","1.780","3.00K","-2.20%"
"Mar 18, 2019","1.820","1.820","1.820","1.820","35.00K","-5.70%"
"Mar 14, 2019","1.930","1.800","1.930","1.800","15.20K","7.22%"
"Mar 12, 2019","1.800","1.800","1.800","1.800","5.00K","0.00%"
"Mar 11, 2019","1.800","1.870","1.870","1.800","7.00K","-3.74%"
"Mar 08, 2019","1.870","1.870","1.870","1.870","2.50K","0.54%"
"Mar 07, 2019","1.860","1.860","1.860","1.860","17.00K","-4.12%"
"Mar 06, 2019","1.940","1.860","1.940","1.860","11.20K","3.19%"
"Mar 05, 2019","1.880","1.930","1.930","1.870","64.80K","1.08%"
"Mar 04, 2019","1.860","1.860","1.860","1.860","13.20K","-4.12%"
"Feb 27, 2019","1.940","1.940","1.940","1.940","4.50K","0.00%"
"Feb 26, 2019","1.940","1.930","1.940","1.930","9.00K","0.52%"
"Feb 25, 2019","1.930","1.930","1.930","1.930","4.90K","0.00%"
"Feb 22, 2019","1.930","1.920","1.930","1.920","62.30K","0.52%"
"Feb 21, 2019","1.920","1.930","1.930","1.920","2.10K","0.00%"
"Feb 20, 2019","1.920","1.890","1.920","1.890","5.00K","-2.04%"
"Feb 19, 2019","1.960","1.900","1.960","1.900","11.10K","3.70%"
"Feb 15, 2019","1.890","1.890","1.890","1.890","11.70K","-0.53%"
"Feb 14, 2019","1.900","1.900","1.900","1.890","22.00K","0.00%"
"Feb 13, 2019","1.900","1.910","1.910","1.890","34.50K","-1.04%"
"Feb 12, 2019","1.920","1.920","1.950","1.920","8.20K","-1.54%"
"Feb 11, 2019","1.950","1.900","1.950","1.900","43.00K","2.09%"
"Feb 08, 2019","1.910","1.900","1.980","1.900","4.10K","1.60%"
"Feb 07, 2019","1.880","1.880","1.880","1.880","0.30K","2.17%"
"Feb 04, 2019","1.840","1.840","1.840","1.840","3.00K","1.66%"
"Jan 31, 2019","1.810","1.810","1.810","1.810","1.00K","-7.65%"
"Jan 30, 2019","1.960","1.960","1.960","1.960","3.00K","2.08%"
"Jan 29, 2019","1.920","1.820","1.920","1.820","80.90K","5.49%"
"Jan 23, 2019","1.820","1.820","1.820","1.820","1.00K","0.00%"
"Jan 22, 2019","1.820","1.820","1.820","1.820","1.00K","1.11%"
"Jan 18, 2019","1.800","1.800","1.800","1.800","3.00K","1.12%"
"Jan 17, 2019","1.780","1.800","1.800","1.780","2.00K","-1.11%"
"Jan 16, 2019","1.800","1.800","1.800","1.760","13.30K","0.00%"
"Jan 14, 2019","1.800","1.810","1.810","1.800","10.00K","0.56%"
"Jan 11, 2019","1.790","1.770","1.790","1.770","9.00K","1.13%"
"Jan 10, 2019","1.770","1.750","1.770","1.750","6.20K","1.14%"
"Jan 09, 2019","1.750","1.750","1.750","1.750","0.90K","0.00%"
"Jan 07, 2019","1.750","1.750","1.750","1.750","10.00K","0.00%"
"Jan 04, 2019","1.750","1.680","1.750","1.680","11.00K","4.17%"
"Jan 03, 2019","1.680","1.680","1.680","1.680","3.00K","0.00%"
"Jan 02, 2019","1.680","1.680","1.680","1.680","1.00K","2.44%"
