"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","9.89","9.81","9.89","9.81","139.90K","0.30%"
"Apr 25, 2019","9.86","9.79","9.87","9.79","202.80K","-0.30%"
"Apr 24, 2019","9.89","9.82","9.89","9.80","238.20K","0.00%"
"Apr 23, 2019","9.89","9.81","9.90","9.79","364.20K","0.92%"
"Apr 22, 2019","9.80","9.86","9.86","9.76","308.30K","0.00%"
"Apr 19, 2019","9.80","9.85","9.85","9.78","74.50K","-0.71%"
"Apr 18, 2019","9.87","9.91","9.92","9.84","441.10K","-0.20%"
"Apr 17, 2019","9.89","9.89","9.91","9.83","381.10K","0.10%"
"Apr 16, 2019","9.88","9.90","9.93","9.85","483.40K","0.20%"
"Apr 15, 2019","9.86","9.88","9.89","9.83","121.20K","-0.10%"
"Apr 12, 2019","9.87","9.78","9.88","9.78","232.50K","0.71%"
"Apr 11, 2019","9.80","9.90","9.93","9.80","279.10K","-0.91%"
"Apr 10, 2019","9.89","9.88","9.90","9.87","327.20K","0.10%"
"Apr 09, 2019","9.88","9.88","9.90","9.87","463.80K","0.00%"
"Apr 08, 2019","9.88","9.86","9.90","9.85","291.60K","0.61%"
"Apr 05, 2019","9.82","9.81","9.82","9.81","67.60K","-0.61%"
"Apr 04, 2019","9.88","9.78","9.89","9.78","85.10K","-0.10%"
"Apr 03, 2019","9.89","9.85","9.89","9.83","145.30K","0.71%"
"Apr 02, 2019","9.82","9.78","9.87","9.78","229.80K","0.20%"
"Apr 01, 2019","9.80","9.89","9.89","9.77","322.10K","-1.01%"
"Mar 29, 2019","9.90","9.88","9.90","9.75","2.26M","0.71%"
"Mar 28, 2019","9.83","9.75","9.83","9.75","739.50K","0.31%"
"Mar 27, 2019","9.80","9.80","9.81","9.78","171.40K","0.00%"
"Mar 26, 2019","9.80","9.80","9.83","9.76","252.40K","0.00%"
"Mar 25, 2019","9.80","9.95","9.95","9.75","573.10K","-0.81%"
"Mar 22, 2019","9.88","9.93","9.93","9.86","362.00K","0.30%"
"Mar 21, 2019","9.85","9.90","9.94","9.82","298.70K","-0.30%"
"Mar 20, 2019","9.88","9.88","9.90","9.85","1.10M","0.30%"
"Mar 19, 2019","9.85","9.82","9.90","9.82","146.30K","-0.51%"
"Mar 18, 2019","9.90","9.95","9.95","9.87","320.00K","0.00%"
"Mar 15, 2019","9.90","9.77","9.90","9.77","1.40M","0.51%"
"Mar 14, 2019","9.85","9.90","9.90","9.78","158.00K","-0.30%"
"Mar 13, 2019","9.88","9.87","9.90","9.87","184.50K","0.00%"
"Mar 12, 2019","9.88","9.83","9.89","9.81","310.10K","0.61%"
"Mar 11, 2019","9.82","9.80","9.84","9.73","358.50K","0.00%"
"Mar 08, 2019","9.82","9.82","9.90","9.74","474.40K","-0.61%"
"Mar 07, 2019","9.88","9.80","9.88","9.80","173.20K","0.00%"
"Mar 06, 2019","9.88","9.81","9.88","9.76","316.10K","0.71%"
"Mar 05, 2019","9.81","9.72","9.84","9.72","433.80K","-0.10%"
"Mar 04, 2019","9.82","9.76","9.82","9.72","350.40K","0.10%"
"Mar 01, 2019","9.81","9.87","9.87","9.77","368.20K","-0.41%"
"Feb 28, 2019","9.85","9.82","9.86","9.76","1.70M","-0.20%"
"Feb 27, 2019","9.87","9.90","9.92","9.83","430.20K","0.00%"
"Feb 26, 2019","9.87","9.94","9.95","9.84","412.30K","-0.10%"
"Feb 25, 2019","9.88","9.90","9.95","9.88","303.40K","0.00%"
"Feb 22, 2019","9.88","9.89","9.90","9.85","171.60K","0.00%"
"Feb 21, 2019","9.88","9.85","9.95","9.85","676.10K","-0.30%"
"Feb 20, 2019","9.91","9.93","9.93","9.89","534.90K","0.20%"
"Feb 19, 2019","9.89","9.90","9.91","9.86","301.30K","0.41%"
"Feb 18, 2019","9.85","9.85","9.87","9.80","160.70K","-0.30%"
"Feb 15, 2019","9.88","9.93","9.93","9.81","505.20K","0.00%"
"Feb 14, 2019","9.88","9.89","9.90","9.83","262.10K","0.30%"
"Feb 13, 2019","9.85","9.90","9.90","9.85","287.70K","0.00%"
"Feb 12, 2019","9.85","9.86","9.89","9.83","679.00K","-0.30%"
"Feb 11, 2019","9.88","9.85","9.89","9.85","98.90K","-0.10%"
"Feb 08, 2019","9.89","9.86","9.91","9.78","582.50K","0.41%"
"Feb 07, 2019","9.85","9.82","9.95","9.74","558.20K","0.00%"
"Feb 04, 2019","9.85","9.91","9.92","9.82","276.30K","0.00%"
"Jan 31, 2019","9.85","9.90","9.90","9.83","1.13M","0.00%"
"Jan 30, 2019","9.85","9.80","9.89","9.80","353.90K","0.20%"
"Jan 29, 2019","9.83","9.91","9.92","9.80","453.80K","-0.61%"
"Jan 28, 2019","9.89","9.92","9.94","9.85","361.10K","0.10%"
"Jan 25, 2019","9.88","9.90","9.92","9.85","447.60K","0.30%"
"Jan 24, 2019","9.85","9.94","9.94","9.82","375.40K","-0.30%"
"Jan 23, 2019","9.88","9.86","9.96","9.86","507.30K","0.00%"
"Jan 22, 2019","9.88","9.97","9.97","9.87","1.01M","0.00%"
"Jan 18, 2019","9.88","9.89","10.00","9.86","1.92M","0.30%"
"Jan 17, 2019","9.85","9.91","9.91","9.85","478.80K","0.00%"
"Jan 16, 2019","9.85","9.75","9.92","9.75","239.80K","0.00%"
"Jan 15, 2019","9.85","9.90","9.90","9.84","479.60K","0.00%"
"Jan 14, 2019","9.85","9.90","9.90","9.83","277.50K","0.00%"
"Jan 11, 2019","9.85","9.85","9.90","9.82","674.90K","0.00%"
"Jan 10, 2019","9.85","9.79","9.85","9.76","601.40K","1.03%"
"Jan 09, 2019","9.75","9.79","9.79","9.71","529.10K","0.10%"
"Jan 08, 2019","9.74","9.80","9.80","9.63","885.80K","-0.10%"
"Jan 07, 2019","9.75","9.77","9.84","9.72","447.60K","0.00%"
"Jan 04, 2019","9.75","9.78","9.85","9.74","415.20K","-0.41%"
"Jan 03, 2019","9.79","9.88","9.88","9.76","555.40K","-0.41%"
"Jan 02, 2019","9.83","9.88","9.88","9.83","93.60K","-0.20%"
