"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.715","0.700","0.715","0.700","24.40K","2.14%"
"Apr 25, 2019","0.700","0.700","0.700","0.700","15.40K","0.00%"
"Apr 23, 2019","0.700","0.700","0.700","0.695","49.00K","-0.71%"
"Apr 22, 2019","0.705","0.700","0.705","0.700","21.20K","0.71%"
"Apr 19, 2019","0.700","0.700","0.700","0.700","10.00K","0.72%"
"Apr 18, 2019","0.695","0.695","0.695","0.695","10.00K","-0.71%"
"Apr 17, 2019","0.700","0.700","0.700","0.700","20.90K","0.00%"
"Apr 16, 2019","0.700","0.700","0.700","0.700","30.00K","0.00%"
"Apr 15, 2019","0.700","0.700","0.700","0.700","12.10K","0.00%"
"Apr 12, 2019","0.700","0.700","0.700","0.700","1.50K","-0.71%"
"Apr 11, 2019","0.705","0.705","0.720","0.700","29.30K","0.71%"
"Apr 10, 2019","0.700","0.705","0.705","0.700","20.00K","-1.41%"
"Apr 09, 2019","0.710","0.700","0.715","0.700","198.90K","1.43%"
"Apr 08, 2019","0.700","0.695","0.700","0.695","62.20K","-0.71%"
"Apr 04, 2019","0.705","0.710","0.710","0.700","14.10K","0.71%"
"Apr 03, 2019","0.700","0.700","0.710","0.700","7.90K","0.00%"
"Apr 02, 2019","0.700","0.700","0.700","0.700","64.60K","1.45%"
"Apr 01, 2019","0.690","0.705","0.705","0.690","3.00K","-2.13%"
"Mar 29, 2019","0.705","0.700","0.705","0.695","3.10K","3.68%"
"Mar 28, 2019","0.680","0.705","0.705","0.680","15.00K","-2.86%"
"Mar 27, 2019","0.700","0.700","0.700","0.700","18.00K","0.72%"
"Mar 26, 2019","0.695","0.680","0.735","0.680","1.00K","0.00%"
"Mar 25, 2019","0.695","0.685","0.700","0.685","16.30K","-0.71%"
"Mar 22, 2019","0.700","0.705","0.745","0.700","30.00K","-1.41%"
"Mar 21, 2019","0.710","0.710","0.710","0.710","0.20K","0.00%"
"Mar 20, 2019","0.710","0.710","0.710","0.710","27.40K","-4.05%"
"Mar 19, 2019","0.740","0.710","0.740","0.710","47.00K","2.78%"
"Mar 18, 2019","0.720","0.735","0.735","0.720","74.30K","-3.36%"
"Mar 15, 2019","0.745","0.730","0.745","0.710","28.80K","-0.67%"
"Mar 14, 2019","0.750","0.700","0.760","0.700","663.70K","7.91%"
"Mar 13, 2019","0.695","0.680","0.695","0.680","35.50K","0.00%"
"Mar 12, 2019","0.695","0.680","0.695","0.680","1.40K","2.96%"
"Mar 08, 2019","0.675","0.675","0.675","0.675","6.60K","-1.46%"
"Mar 07, 2019","0.685","0.700","0.700","0.675","84.20K","0.74%"
"Mar 06, 2019","0.680","0.680","0.685","0.680","71.00K","0.00%"
"Mar 05, 2019","0.680","0.680","0.680","0.680","0.10K","0.00%"
"Mar 04, 2019","0.680","0.680","0.680","0.680","0.10K","-2.86%"
"Mar 01, 2019","0.700","0.690","0.700","0.690","8.00K","0.00%"
"Feb 27, 2019","0.700","0.700","0.700","0.700","38.00K","2.94%"
"Feb 26, 2019","0.680","0.700","0.710","0.680","74.00K","-2.86%"
"Feb 25, 2019","0.700","0.710","0.710","0.700","47.00K","-1.41%"
"Feb 22, 2019","0.710","0.710","0.710","0.710","1.00K","1.43%"
"Feb 21, 2019","0.700","0.680","0.700","0.680","17.90K","0.00%"
"Feb 20, 2019","0.700","0.670","0.700","0.670","22.90K","1.45%"
"Feb 19, 2019","0.690","0.690","0.690","0.685","10.70K","-1.43%"
"Feb 18, 2019","0.700","0.665","0.700","0.665","1.00K","0.00%"
"Feb 15, 2019","0.700","0.670","0.700","0.670","12.10K","1.45%"
"Feb 14, 2019","0.690","0.675","0.690","0.675","8.00K","4.55%"
"Feb 13, 2019","0.660","0.710","0.710","0.660","6.30K","-5.04%"
"Feb 11, 2019","0.695","0.695","0.695","0.695","3.00K","0.00%"
"Feb 07, 2019","0.695","0.695","0.695","0.695","0.10K","0.72%"
"Feb 04, 2019","0.690","0.670","0.690","0.660","24.70K","0.00%"
"Jan 31, 2019","0.690","0.690","0.690","0.690","10.00K","0.00%"
"Jan 30, 2019","0.690","0.655","0.690","0.655","4.70K","0.00%"
"Jan 28, 2019","0.690","0.680","0.690","0.680","33.00K","1.47%"
"Jan 25, 2019","0.680","0.680","0.680","0.680","91.00K","-2.86%"
"Jan 24, 2019","0.700","0.690","0.700","0.680","25.00K","0.00%"
"Jan 23, 2019","0.700","0.710","0.710","0.690","7.00K","1.45%"
"Jan 22, 2019","0.690","0.690","0.690","0.690","28.00K","0.00%"
"Jan 18, 2019","0.690","0.690","0.690","0.690","26.00K","-1.43%"
"Jan 17, 2019","0.700","0.700","0.700","0.700","30.00K","0.00%"
"Jan 16, 2019","0.700","0.690","0.700","0.690","100.10K","0.00%"
"Jan 15, 2019","0.700","0.700","0.700","0.690","82.10K","-0.71%"
"Jan 14, 2019","0.705","0.700","0.705","0.700","215.10K","0.71%"
"Jan 11, 2019","0.700","0.700","0.700","0.700","26.00K","0.00%"
"Jan 10, 2019","0.700","0.710","0.710","0.700","132.00K","0.00%"
"Jan 09, 2019","0.700","0.710","0.710","0.700","168.70K","0.00%"
"Jan 08, 2019","0.700","0.700","0.700","0.700","0.20K","-1.41%"
"Jan 07, 2019","0.710","0.690","0.710","0.690","37.10K","2.90%"
"Jan 04, 2019","0.690","0.690","0.690","0.690","309.90K","0.00%"
"Jan 03, 2019","0.690","0.690","0.690","0.690","13.90K","-1.43%"
"Jan 02, 2019","0.700","0.700","0.700","0.700","52.20K","0.00%"
