"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.050","0.050","0.055","0.045","52.06M","11.11%"
"Apr 25, 2019","0.045","0.050","0.050","0.045","6.05M","-10.00%"
"Apr 24, 2019","0.050","0.060","0.060","0.045","76.48M","-9.09%"
"Apr 23, 2019","0.055","0.065","0.065","0.055","91.29M","-15.38%"
"Apr 22, 2019","0.065","0.060","0.070","0.055","31.92M","8.33%"
"Apr 19, 2019","0.060","0.060","0.060","0.055","24.41M","0.00%"
"Apr 18, 2019","0.060","0.065","0.070","0.055","93.78M","-7.69%"
"Apr 17, 2019","0.065","0.075","0.080","0.060","162.97M","-13.33%"
"Apr 16, 2019","0.075","0.075","0.075","0.070","4.02M","0.00%"
"Apr 15, 2019","0.075","0.075","0.075","0.065","44.70M","0.00%"
"Apr 12, 2019","0.075","0.075","0.080","0.070","54.42M","0.00%"
"Apr 11, 2019","0.075","0.070","0.080","0.065","114.90M","7.14%"
"Apr 10, 2019","0.070","0.065","0.075","0.060","44.15M","7.69%"
"Apr 09, 2019","0.065","0.060","0.065","0.060","22.84M","8.33%"
"Apr 08, 2019","0.060","0.060","0.060","0.055","7.77M","0.00%"
"Apr 05, 2019","0.060","0.055","0.070","0.055","43.45M","0.00%"
"Apr 04, 2019","0.060","0.055","0.060","0.055","3.94M","0.00%"
"Apr 03, 2019","0.060","0.055","0.060","0.055","351.00K","0.00%"
"Apr 02, 2019","0.060","0.055","0.060","0.055","60.00K","9.09%"
"Apr 01, 2019","0.055","0.055","0.060","0.055","2.82M","-8.33%"
"Mar 29, 2019","0.060","0.055","0.060","0.055","864.00K","0.00%"
"Mar 28, 2019","0.060","0.055","0.060","0.050","1.13M","20.00%"
"Mar 27, 2019","0.050","0.055","0.060","0.050","4.92M","-16.67%"
"Mar 26, 2019","0.060","0.055","0.060","0.050","3.26M","9.09%"
"Mar 25, 2019","0.055","0.055","0.055","0.050","443.00K","0.00%"
"Mar 22, 2019","0.055","0.055","0.055","0.050","3.36M","0.00%"
"Mar 21, 2019","0.055","0.055","0.055","0.055","2.23M","0.00%"
"Mar 20, 2019","0.055","0.055","0.055","0.055","1.66M","0.00%"
"Mar 19, 2019","0.055","0.060","0.060","0.055","1.32M","-8.33%"
"Mar 18, 2019","0.060","0.055","0.060","0.055","606.00K","0.00%"
"Mar 15, 2019","0.060","0.055","0.060","0.055","6.11M","0.00%"
"Mar 14, 2019","0.060","0.055","0.060","0.055","1.88M","0.00%"
"Mar 13, 2019","0.060","0.055","0.060","0.055","115.00K","9.09%"
"Mar 12, 2019","0.055","0.055","0.055","0.055","2.04M","0.00%"
"Mar 11, 2019","0.055","0.055","0.055","0.055","5.01M","-8.33%"
"Mar 08, 2019","0.060","0.055","0.060","0.055","1.73M","9.09%"
"Mar 07, 2019","0.055","0.055","0.060","0.055","639.00K","-8.33%"
"Mar 06, 2019","0.060","0.060","0.060","0.055","780.00K","9.09%"
"Mar 05, 2019","0.055","0.055","0.055","0.055","1.19M","0.00%"
"Mar 04, 2019","0.055","0.055","0.060","0.055","685.00K","0.00%"
"Mar 01, 2019","0.055","0.060","0.060","0.055","335.00K","0.00%"
"Feb 28, 2019","0.055","0.055","0.055","0.055","3.09M","0.00%"
"Feb 27, 2019","0.055","0.055","0.055","0.055","1.69M","0.00%"
"Feb 26, 2019","0.055","0.055","0.060","0.055","628.00K","0.00%"
"Feb 25, 2019","0.055","0.055","0.060","0.055","3.32M","0.00%"
"Feb 22, 2019","0.055","0.060","0.060","0.055","10.20M","-15.38%"
"Feb 21, 2019","0.065","0.065","0.070","0.060","19.59M","0.00%"
"Feb 20, 2019","0.065","0.060","0.065","0.060","5.60M","8.33%"
"Feb 19, 2019","0.060","0.060","0.060","0.055","2.65M","0.00%"
"Feb 18, 2019","0.060","0.060","0.060","0.055","990.60K","0.00%"
"Feb 15, 2019","0.060","0.060","0.060","0.055","4.63M","0.00%"
"Feb 14, 2019","0.060","0.055","0.060","0.055","356.00K","0.00%"
"Feb 13, 2019","0.060","0.055","0.060","0.055","3.79M","9.09%"
"Feb 12, 2019","0.055","0.060","0.065","0.055","7.52M","0.00%"
"Feb 11, 2019","0.055","0.060","0.060","0.055","2.50M","-8.33%"
"Feb 08, 2019","0.060","0.055","0.060","0.055","448.00K","9.09%"
"Feb 07, 2019","0.055","0.055","0.060","0.055","1.45M","0.00%"
"Feb 04, 2019","0.055","0.055","0.060","0.055","10.06M","10.00%"
"Jan 31, 2019","0.050","0.050","0.055","0.050","1.06M","0.00%"
"Jan 30, 2019","0.050","0.050","0.055","0.050","2.98M","0.00%"
"Jan 29, 2019","0.050","0.050","0.055","0.050","3.05M","0.00%"
"Jan 28, 2019","0.050","0.055","0.055","0.050","6.54M","0.00%"
"Jan 25, 2019","0.050","0.050","0.060","0.050","28.20M","0.00%"
"Jan 24, 2019","0.050","0.045","0.050","0.045","5.53M","25.00%"
"Jan 23, 2019","0.040","0.040","0.040","0.040","679.00K","0.00%"
"Jan 22, 2019","0.040","0.040","0.040","0.040","1.46M","0.00%"
"Jan 18, 2019","0.040","0.040","0.045","0.040","437.70K","0.00%"
