"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","3.100","3.100","3.100","3.100","24.10K","0.00%"
"Apr 25, 2019","3.100","3.100","3.100","3.100","352.40K","0.32%"
"Apr 24, 2019","3.090","3.090","3.090","3.090","31.00K","-0.32%"
"Apr 23, 2019","3.100","3.100","3.100","3.100","54.20K","0.00%"
"Apr 22, 2019","3.100","3.100","3.100","3.100","17.00K","0.00%"
"Apr 19, 2019","3.100","3.100","3.100","3.100","22.20K","0.00%"
"Apr 18, 2019","3.100","3.100","3.100","3.100","47.80K","0.00%"
"Apr 17, 2019","3.100","3.100","3.100","3.100","94.90K","0.00%"
"Apr 16, 2019","3.100","3.100","3.100","3.100","34.60K","0.00%"
"Apr 15, 2019","3.100","3.100","3.100","3.100","68.60K","0.00%"
"Apr 12, 2019","3.100","3.100","3.100","3.100","59.20K","0.00%"
"Apr 11, 2019","3.100","3.100","3.100","3.100","125.40K","0.00%"
"Apr 10, 2019","3.100","3.110","3.110","3.100","90.20K","-0.32%"
"Apr 09, 2019","3.110","3.100","3.110","3.100","24.70K","0.32%"
"Apr 08, 2019","3.100","3.100","3.100","3.100","59.20K","0.00%"
"Apr 05, 2019","3.100","3.100","3.100","3.100","40.00K","0.00%"
"Apr 04, 2019","3.100","3.100","3.100","3.090","178.60K","0.00%"
"Apr 03, 2019","3.100","3.100","3.100","3.090","276.90K","0.00%"
"Apr 02, 2019","3.100","3.100","3.100","3.100","149.80K","0.00%"
"Apr 01, 2019","3.100","3.100","3.100","3.100","86.60K","0.00%"
"Mar 29, 2019","3.100","3.100","3.100","3.100","110.20K","0.00%"
"Mar 28, 2019","3.100","3.100","3.100","3.100","277.50K","0.00%"
"Mar 27, 2019","3.100","3.100","3.100","3.100","927.50K","0.00%"
"Mar 26, 2019","3.100","3.100","3.100","3.100","805.00K","0.00%"
"Mar 25, 2019","3.100","3.100","3.100","3.100","1.50M","0.00%"
"Mar 22, 2019","3.100","3.100","3.100","3.100","348.60K","0.00%"
"Mar 21, 2019","3.100","3.100","3.100","3.100","546.90K","0.00%"
"Mar 20, 2019","3.100","3.100","3.100","3.100","1.20M","0.00%"
"Mar 19, 2019","3.100","3.090","3.100","3.090","1.81M","0.32%"
"Mar 18, 2019","3.090","3.080","3.100","3.080","2.00M","0.00%"
"Mar 15, 2019","3.090","3.090","3.090","3.090","391.10K","0.00%"
"Mar 14, 2019","3.090","3.090","3.090","3.090","607.20K","0.00%"
"Mar 13, 2019","3.090","3.090","3.090","3.080","695.50K","0.00%"
"Mar 12, 2019","3.090","3.070","3.090","3.070","1.53M","0.65%"
"Mar 11, 2019","3.070","3.060","3.070","3.060","438.90K","0.33%"
"Mar 08, 2019","3.060","3.050","3.060","3.050","577.20K","0.33%"
"Mar 07, 2019","3.050","3.050","3.060","3.050","482.30K","-0.33%"
"Mar 06, 2019","3.060","3.050","3.060","3.050","317.80K","0.33%"
"Mar 05, 2019","3.050","3.040","3.060","3.040","587.40K","0.33%"
"Mar 04, 2019","3.040","3.040","3.040","3.040","142.10K","0.00%"
"Mar 01, 2019","3.040","3.040","3.040","3.030","391.80K","0.33%"
"Feb 28, 2019","3.030","3.030","3.040","3.030","682.50K","0.00%"
"Feb 27, 2019","3.030","3.030","3.040","3.030","162.30K","-0.33%"
"Feb 26, 2019","3.040","3.040","3.040","3.040","128.30K","0.00%"
"Feb 25, 2019","3.040","3.030","3.050","3.030","509.50K","0.00%"
"Feb 22, 2019","3.040","3.030","3.050","3.030","543.60K","0.33%"
"Feb 21, 2019","3.030","3.030","3.040","3.030","548.80K","0.00%"
"Feb 20, 2019","3.030","3.030","3.040","3.030","644.30K","0.00%"
"Feb 19, 2019","3.030","3.030","3.030","3.030","200.30K","0.00%"
"Feb 18, 2019","3.030","3.020","3.050","3.020","342.50K","0.33%"
"Feb 15, 2019","3.020","3.020","3.020","3.010","1.44M","0.67%"
"Feb 14, 2019","3.000","2.890","3.000","2.870","1.94M","4.53%"
"Feb 13, 2019","2.870","2.870","2.880","2.860","151.40K","0.00%"
"Feb 12, 2019","2.870","2.870","2.880","2.850","130.60K","0.00%"
"Feb 11, 2019","2.870","2.840","2.870","2.840","87.90K","1.06%"
"Feb 08, 2019","2.840","2.830","2.840","2.820","86.10K","0.35%"
"Feb 07, 2019","2.830","2.810","2.830","2.810","116.90K","1.07%"
"Feb 04, 2019","2.800","2.810","2.810","2.790","201.60K","-0.36%"
"Jan 31, 2019","2.810","2.810","2.810","2.810","174.50K","0.00%"
"Jan 30, 2019","2.810","2.810","2.820","2.810","101.20K","0.00%"
"Jan 29, 2019","2.810","2.820","2.820","2.810","206.50K","0.00%"
"Jan 28, 2019","2.810","2.820","2.830","2.810","184.00K","0.72%"
"Jan 25, 2019","2.790","2.810","2.820","2.790","146.40K","-0.71%"
"Jan 24, 2019","2.810","2.800","2.820","2.780","295.30K","1.08%"
"Jan 23, 2019","2.780","2.720","2.800","2.720","293.40K","2.96%"
"Jan 22, 2019","2.700","2.680","2.710","2.680","125.70K","0.37%"
"Jan 18, 2019","2.690","2.700","2.700","2.690","219.00K","0.00%"
"Jan 17, 2019","2.690","2.700","2.700","2.670","185.40K","-0.37%"
"Jan 16, 2019","2.700","2.700","2.700","2.690","248.90K","0.37%"
"Jan 15, 2019","2.690","2.650","2.690","2.650","119.80K","1.51%"
"Jan 14, 2019","2.650","2.670","2.670","2.650","48.10K","-0.75%"
"Jan 11, 2019","2.670","2.650","2.680","2.640","228.30K","0.75%"
"Jan 10, 2019","2.650","2.650","2.660","2.640","86.00K","0.38%"
"Jan 09, 2019","2.640","2.640","2.650","2.640","132.80K","0.00%"
"Jan 08, 2019","2.640","2.650","2.660","2.640","115.00K","0.00%"
"Jan 07, 2019","2.640","2.650","2.650","2.640","87.00K","0.00%"
"Jan 04, 2019","2.640","2.630","2.640","2.630","60.50K","0.76%"
"Jan 03, 2019","2.620","2.620","2.620","2.620","46.30K","0.00%"
"Jan 02, 2019","2.620","2.670","2.670","2.600","156.50K","-0.76%"
