"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.600","0.605","0.610","0.590","6.10M","-1.64%"
"Apr 25, 2019","0.610","0.620","0.630","0.605","3.38M","-1.61%"
"Apr 24, 2019","0.620","0.620","0.630","0.610","4.03M","0.81%"
"Apr 23, 2019","0.615","0.615","0.625","0.595","7.61M","-3.15%"
"Apr 22, 2019","0.635","0.595","0.665","0.595","23.38M","9.48%"
"Apr 19, 2019","0.580","0.565","0.595","0.565","6.09M","3.57%"
"Apr 18, 2019","0.560","0.550","0.565","0.545","5.12M","0.90%"
"Apr 17, 2019","0.555","0.585","0.585","0.550","5.64M","-4.31%"
"Apr 16, 2019","0.580","0.585","0.590","0.570","4.55M","-0.85%"
"Apr 15, 2019","0.585","0.630","0.635","0.580","6.09M","-6.40%"
"Apr 12, 2019","0.625","0.620","0.645","0.610","11.08M","1.63%"
"Apr 11, 2019","0.615","0.640","0.645","0.605","9.94M","-3.15%"
"Apr 10, 2019","0.635","0.590","0.655","0.585","32.03M","6.72%"
"Apr 09, 2019","0.595","0.575","0.605","0.570","22.51M","4.39%"
"Apr 08, 2019","0.570","0.550","0.575","0.550","10.35M","4.59%"
"Apr 05, 2019","0.545","0.560","0.560","0.540","3.52M","-2.68%"
"Apr 04, 2019","0.560","0.540","0.560","0.535","6.95M","4.67%"
"Apr 03, 2019","0.535","0.530","0.545","0.530","3.10M","0.00%"
"Apr 02, 2019","0.535","0.540","0.540","0.525","3.13M","0.00%"
"Apr 01, 2019","0.535","0.540","0.550","0.530","4.42M","-0.93%"
"Mar 29, 2019","0.540","0.525","0.545","0.525","3.76M","2.86%"
"Mar 28, 2019","0.525","0.525","0.530","0.520","1.18M","0.00%"
"Mar 27, 2019","0.525","0.525","0.540","0.520","5.51M","0.00%"
"Mar 26, 2019","0.525","0.515","0.525","0.515","2.38M","1.94%"
"Mar 25, 2019","0.515","0.520","0.520","0.510","3.06M","-1.90%"
"Mar 22, 2019","0.525","0.530","0.530","0.520","1.53M","-0.94%"
"Mar 21, 2019","0.530","0.530","0.545","0.525","3.66M","0.00%"
"Mar 20, 2019","0.530","0.525","0.535","0.520","2.65M","0.95%"
"Mar 19, 2019","0.525","0.545","0.545","0.520","6.02M","-3.67%"
"Mar 18, 2019","0.545","0.550","0.560","0.540","6.40M","0.00%"
"Mar 15, 2019","0.545","0.550","0.555","0.540","4.96M","-0.91%"
"Mar 14, 2019","0.550","0.545","0.565","0.545","5.45M","0.00%"
"Mar 13, 2019","0.550","0.565","0.565","0.540","5.76M","-2.65%"
"Mar 12, 2019","0.565","0.575","0.575","0.555","4.66M","0.00%"
"Mar 11, 2019","0.565","0.585","0.600","0.560","17.15M","0.89%"
"Mar 08, 2019","0.560","0.565","0.575","0.555","8.67M","-0.88%"
"Mar 07, 2019","0.565","0.525","0.585","0.520","35.17M","8.65%"
"Mar 06, 2019","0.520","0.515","0.525","0.510","5.05M","0.97%"
"Mar 05, 2019","0.515","0.510","0.515","0.505","3.18M","0.00%"
"Mar 04, 2019","0.515","0.515","0.525","0.500","4.37M","0.00%"
"Mar 01, 2019","0.515","0.500","0.515","0.495","3.79M","1.98%"
"Feb 28, 2019","0.505","0.505","0.510","0.495","5.55M","-7.34%"
"Feb 27, 2019","0.545","0.545","0.545","0.530","4.22M","0.00%"
"Feb 26, 2019","0.545","0.575","0.575","0.545","3.60M","-5.22%"
"Feb 25, 2019","0.575","0.575","0.590","0.565","7.15M","1.77%"
"Feb 22, 2019","0.565","0.575","0.575","0.555","5.53M","-2.59%"
"Feb 21, 2019","0.580","0.550","0.590","0.540","13.77M","5.45%"
"Feb 20, 2019","0.550","0.540","0.555","0.540","4.18M","2.80%"
"Feb 19, 2019","0.535","0.545","0.545","0.530","6.93M","-5.31%"
"Feb 18, 2019","0.565","0.570","0.575","0.550","3.15M","0.89%"
"Feb 15, 2019","0.560","0.570","0.590","0.560","6.62M","-1.75%"
"Feb 14, 2019","0.570","0.575","0.575","0.560","2.90M","-0.87%"
"Feb 13, 2019","0.575","0.585","0.590","0.565","7.55M","-1.71%"
"Feb 12, 2019","0.585","0.545","0.590","0.540","15.96M","9.35%"
"Feb 11, 2019","0.535","0.535","0.545","0.525","2.11M","0.94%"
"Feb 08, 2019","0.530","0.530","0.550","0.525","2.49M","-0.93%"
"Feb 07, 2019","0.535","0.520","0.535","0.515","2.44M","4.90%"
"Feb 04, 2019","0.510","0.515","0.520","0.510","1.22M","-1.92%"
"Jan 31, 2019","0.520","0.520","0.525","0.515","1.44M","1.96%"
"Jan 30, 2019","0.510","0.520","0.525","0.505","1.95M","-1.92%"
"Jan 29, 2019","0.520","0.535","0.535","0.515","1.64M","-1.89%"
"Jan 28, 2019","0.530","0.555","0.555","0.530","1.57M","-4.50%"
"Jan 25, 2019","0.555","0.550","0.560","0.545","2.61M","1.83%"
"Jan 24, 2019","0.545","0.560","0.570","0.540","2.72M","-0.91%"
"Jan 23, 2019","0.550","0.560","0.570","0.535","2.76M","-1.79%"
"Jan 22, 2019","0.560","0.595","0.595","0.555","3.65M","-5.88%"
"Jan 18, 2019","0.595","0.590","0.600","0.585","1.18M","1.71%"
"Jan 17, 2019","0.585","0.600","0.605","0.585","2.20M","-1.68%"
"Jan 16, 2019","0.595","0.600","0.610","0.590","3.61M","0.00%"
"Jan 15, 2019","0.595","0.575","0.600","0.575","3.30M","2.59%"
"Jan 14, 2019","0.580","0.600","0.605","0.575","1.37M","-3.33%"
"Jan 11, 2019","0.600","0.580","0.610","0.580","2.86M","3.45%"
"Jan 10, 2019","0.580","0.595","0.610","0.575","6.00M","-1.69%"
"Jan 09, 2019","0.590","0.555","0.595","0.550","4.98M","8.26%"
"Jan 08, 2019","0.545","0.560","0.575","0.545","2.28M","-2.68%"
"Jan 07, 2019","0.560","0.540","0.580","0.535","8.65M","6.67%"
"Jan 04, 2019","0.525","0.470","0.545","0.470","9.91M","9.37%"
"Jan 03, 2019","0.480","0.480","0.490","0.470","766.40K","0.00%"
"Jan 02, 2019","0.480","0.505","0.505","0.480","1.08M","-4.00%"
