"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.040","1.050","1.060","1.040","309.10K","-0.95%"
"Apr 25, 2019","1.050","1.050","1.050","1.050","72.00K","0.00%"
"Apr 24, 2019","1.050","1.050","1.060","1.050","238.30K","0.00%"
"Apr 23, 2019","1.050","1.050","1.050","1.050","359.40K","0.00%"
"Apr 22, 2019","1.050","1.050","1.050","1.050","136.20K","0.00%"
"Apr 19, 2019","1.050","1.050","1.050","1.050","44.50K","0.00%"
"Apr 18, 2019","1.050","1.060","1.060","1.050","110.10K","0.00%"
"Apr 17, 2019","1.050","1.060","1.060","1.050","42.00K","0.00%"
"Apr 16, 2019","1.050","1.060","1.070","1.050","246.20K","0.00%"
"Apr 15, 2019","1.050","1.040","1.060","1.040","2.18M","0.96%"
"Apr 12, 2019","1.040","1.040","1.040","1.040","43.10K","0.00%"
"Apr 11, 2019","1.040","1.040","1.040","1.040","255.00K","0.00%"
"Apr 10, 2019","1.040","1.040","1.050","1.040","339.30K","0.00%"
"Apr 09, 2019","1.040","1.040","1.040","1.040","206.00K","0.00%"
"Apr 08, 2019","1.040","1.030","1.040","1.030","115.40K","0.97%"
"Apr 05, 2019","1.030","1.040","1.040","1.030","62.10K","0.00%"
"Apr 03, 2019","1.030","1.040","1.040","1.030","251.10K","0.00%"
"Apr 02, 2019","1.030","1.030","1.030","1.030","226.20K","0.00%"
"Apr 01, 2019","1.030","1.030","1.030","1.030","733.40K","0.98%"
"Mar 29, 2019","1.020","1.010","1.020","1.010","93.10K","0.00%"
"Mar 28, 2019","1.020","1.020","1.030","1.020","401.80K","0.00%"
"Mar 27, 2019","1.020","1.010","1.020","1.010","1.98M","0.00%"
"Mar 26, 2019","1.020","1.030","1.030","1.010","1.58M","0.00%"
"Mar 25, 2019","1.020","1.020","1.020","1.020","194.00K","-0.97%"
"Mar 22, 2019","1.030","1.020","1.030","1.020","254.90K","0.98%"
"Mar 21, 2019","1.020","1.020","1.030","1.020","164.40K","0.00%"
"Mar 20, 2019","1.020","1.020","1.020","1.020","157.20K","-0.97%"
"Mar 19, 2019","1.030","1.030","1.030","1.030","210.00K","0.00%"
"Mar 18, 2019","1.030","1.020","1.040","1.020","380.50K","0.98%"
"Mar 15, 2019","1.020","1.020","1.020","1.010","660.20K","0.00%"
"Mar 14, 2019","1.020","1.010","1.030","1.010","455.00K","0.99%"
"Mar 13, 2019","1.010","1.020","1.020","1.010","325.20K","0.00%"
"Mar 12, 2019","1.010","1.020","1.020","1.010","416.60K","0.00%"
"Mar 11, 2019","1.010","1.010","1.020","1.010","677.80K","0.00%"
"Mar 08, 2019","1.010","1.010","1.020","1.000","495.40K","0.00%"
"Mar 07, 2019","1.010","1.000","1.010","1.000","1.01M","1.00%"
"Mar 06, 2019","1.000","1.010","1.010","1.000","391.30K","0.00%"
"Mar 05, 2019","1.000","1.000","1.010","1.000","863.60K","0.00%"
"Mar 04, 2019","1.000","1.000","1.010","1.000","1.85M","0.00%"
"Mar 01, 2019","1.000","1.020","1.030","0.990","11.29M","11.11%"
"Feb 28, 2019","0.900","0.900","0.900","0.900","113.00K","50.00%"
"Feb 26, 2019","0.600","0.600","0.600","0.595","130.50K","0.84%"
"Feb 25, 2019","0.595","0.605","0.605","0.595","46.50K","-0.83%"
"Feb 22, 2019","0.600","0.600","0.620","0.595","59.70K","0.00%"
"Feb 21, 2019","0.600","0.600","0.625","0.600","54.20K","1.69%"
"Feb 20, 2019","0.590","0.615","0.625","0.590","135.60K","-4.07%"
"Feb 19, 2019","0.615","0.625","0.655","0.615","188.90K","0.00%"
"Feb 18, 2019","0.615","0.550","0.630","0.545","423.60K","13.89%"
