"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","2.400","2.400","2.400","2.380","172.20K","0.00%"
"Apr 25, 2019","2.400","2.380","2.410","2.380","343.00K","0.84%"
"Apr 24, 2019","2.380","2.390","2.410","2.380","858.50K","0.00%"
"Apr 23, 2019","2.380","2.380","2.400","2.370","901.50K","0.00%"
"Apr 22, 2019","2.380","2.380","2.390","2.370","247.30K","0.00%"
"Apr 19, 2019","2.380","2.370","2.400","2.360","541.80K","0.00%"
"Apr 18, 2019","2.380","2.360","2.390","2.330","1.25M","1.71%"
"Apr 17, 2019","2.340","2.400","2.400","2.340","1.60M","-2.50%"
"Apr 16, 2019","2.400","2.400","2.410","2.390","890.40K","-0.41%"
"Apr 15, 2019","2.410","2.400","2.410","2.380","44.90K","0.42%"
"Apr 12, 2019","2.400","2.400","2.410","2.360","731.30K","0.42%"
"Apr 11, 2019","2.390","2.410","2.430","2.380","176.20K","-0.83%"
"Apr 10, 2019","2.410","2.420","2.420","2.370","958.80K","0.42%"
"Apr 09, 2019","2.400","2.450","2.460","2.380","1.27M","-2.04%"
"Apr 08, 2019","2.450","2.450","2.460","2.440","1.19M","0.00%"
"Apr 05, 2019","2.450","2.440","2.450","2.420","381.00K","0.00%"
"Apr 04, 2019","2.450","2.440","2.450","2.410","723.80K","0.41%"
"Apr 03, 2019","2.440","2.410","2.450","2.380","1.42M","1.24%"
"Apr 02, 2019","2.410","2.400","2.410","2.380","400.60K","0.42%"
"Apr 01, 2019","2.400","2.380","2.410","2.380","438.00K","0.84%"
"Mar 29, 2019","2.380","2.370","2.410","2.370","829.10K","0.42%"
"Mar 28, 2019","2.370","2.390","2.390","2.350","521.10K","-1.25%"
"Mar 27, 2019","2.400","2.350","2.400","2.350","498.50K","1.69%"
"Mar 26, 2019","2.360","2.370","2.380","2.350","390.50K","-0.42%"
"Mar 25, 2019","2.370","2.350","2.400","2.350","168.30K","-1.25%"
"Mar 22, 2019","2.400","2.340","2.400","2.340","335.60K","0.84%"
"Mar 21, 2019","2.380","2.380","2.390","2.350","167.50K","-0.42%"
"Mar 20, 2019","2.390","2.300","2.390","2.300","581.50K","3.02%"
