"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.845","0.850","0.850","0.845","21.00K","-5.06%"
"Apr 25, 2019","0.890","0.850","0.890","0.850","284.50K","0.00%"
"Apr 24, 2019","0.890","0.860","0.890","0.860","5.10K","0.00%"
"Apr 22, 2019","0.890","0.850","0.890","0.850","12.10K","0.00%"
"Apr 19, 2019","0.890","0.885","0.890","0.850","12.70K","0.00%"
"Apr 17, 2019","0.890","0.850","0.930","0.850","3.80K","5.95%"
"Apr 16, 2019","0.840","0.840","0.840","0.840","3.00K","-6.15%"
"Apr 11, 2019","0.895","0.855","0.895","0.850","31.00K","0.00%"
"Apr 08, 2019","0.895","0.880","0.920","0.850","29.70K","-3.76%"
"Apr 03, 2019","0.930","0.815","0.930","0.815","8.10K","6.90%"
"Apr 02, 2019","0.870","0.870","0.870","0.870","0.10K","-2.25%"
"Mar 29, 2019","0.890","0.890","0.890","0.890","10.00K","-4.30%"
"Mar 14, 2019","0.930","0.850","0.930","0.830","302.00K","5.68%"
"Mar 13, 2019","0.880","0.870","0.880","0.870","100.10K","0.00%"
"Mar 11, 2019","0.880","0.895","0.895","0.880","23.00K","0.00%"
"Mar 08, 2019","0.880","0.900","0.900","0.880","12.00K","-2.22%"
"Mar 07, 2019","0.900","0.900","0.900","0.900","45.50K","2.27%"
"Mar 06, 2019","0.880","0.855","0.880","0.855","4.50K","0.00%"
"Mar 04, 2019","0.880","0.880","0.880","0.880","8.00K","-0.56%"
"Mar 01, 2019","0.885","0.870","0.885","0.870","12.00K","0.57%"
"Feb 28, 2019","0.880","0.890","0.890","0.880","26.40K","-4.35%"
"Feb 27, 2019","0.920","0.920","0.920","0.920","0.10K","3.37%"
"Feb 26, 2019","0.890","0.890","0.890","0.890","2.60K","-1.11%"
"Feb 25, 2019","0.900","0.890","0.900","0.890","10.00K","0.56%"
"Feb 22, 2019","0.895","0.900","0.900","0.895","13.00K","0.00%"
"Feb 21, 2019","0.895","0.900","0.900","0.895","12.00K","-0.56%"
"Feb 18, 2019","0.900","0.900","0.900","0.900","10.00K","-1.64%"
"Feb 15, 2019","0.915","0.895","0.915","0.895","50.00K","2.23%"
"Feb 14, 2019","0.895","0.900","0.900","0.895","16.00K","-3.76%"
"Feb 12, 2019","0.930","0.880","0.940","0.880","117.00K","3.33%"
"Feb 11, 2019","0.900","0.880","0.915","0.880","20.00K","-2.70%"
"Jan 23, 2019","0.925","0.925","0.925","0.925","0.10K","5.11%"
"Jan 22, 2019","0.880","0.880","0.880","0.880","35.00K","-4.86%"
"Jan 18, 2019","0.925","0.925","0.925","0.885","2.30K","-0.54%"
"Jan 17, 2019","0.930","0.930","0.930","0.930","0.10K","2.20%"
"Jan 15, 2019","0.910","0.900","0.910","0.900","110.00K","1.11%"
"Jan 14, 2019","0.900","0.910","0.920","0.900","191.00K","-1.64%"
"Jan 11, 2019","0.915","0.930","0.930","0.900","87.00K","0.00%"
"Jan 10, 2019","0.915","0.940","0.940","0.915","81.00K","-2.14%"
"Jan 09, 2019","0.935","0.945","0.945","0.920","100.00K","0.54%"
"Jan 08, 2019","0.930","0.935","0.935","0.930","72.90K","-0.53%"
"Jan 07, 2019","0.935","0.940","0.945","0.900","127.10K","0.00%"
"Jan 04, 2019","0.935","0.900","0.945","0.890","140.90K","0.54%"
"Jan 02, 2019","0.930","0.930","0.930","0.930","20.00K","-0.53%"
