"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","7.49","7.39","7.51","7.39","1.95M","0.94%"
"Apr 25, 2019","7.42","7.42","7.42","7.35","1.50M","0.27%"
"Apr 24, 2019","7.40","7.41","7.45","7.30","3.97M","0.00%"
"Apr 23, 2019","7.40","7.16","7.43","7.08","2.21M","4.08%"
"Apr 22, 2019","7.11","6.78","7.14","6.77","5.45M","5.02%"
"Apr 19, 2019","6.77","6.80","6.80","6.76","2.08M","-0.44%"
"Apr 18, 2019","6.80","6.75","6.83","6.75","3.55M","-0.15%"
"Apr 17, 2019","6.81","6.75","6.84","6.70","2.39M","0.89%"
"Apr 16, 2019","6.75","6.90","6.91","6.74","3.09M","-2.17%"
"Apr 15, 2019","6.90","6.88","6.93","6.82","4.02M","1.17%"
"Apr 12, 2019","6.82","6.65","6.90","6.64","10.95M","3.18%"
"Apr 11, 2019","6.61","6.77","6.85","6.60","2.66M","-2.07%"
"Apr 10, 2019","6.75","6.94","6.98","6.73","4.30M","-2.74%"
"Apr 09, 2019","6.94","7.05","7.06","6.87","8.35M","-1.98%"
"Apr 08, 2019","7.08","7.08","7.10","7.04","2.82M","-0.42%"
"Apr 05, 2019","7.11","7.11","7.14","7.05","1.76M","0.28%"
"Apr 04, 2019","7.09","7.09","7.12","7.03","6.08M","0.00%"
"Apr 03, 2019","7.09","7.18","7.18","7.03","3.30M","-0.98%"
"Apr 02, 2019","7.16","7.19","7.20","7.13","4.18M","-0.42%"
"Apr 01, 2019","7.19","7.25","7.27","7.16","2.79M","-0.69%"
"Mar 29, 2019","7.24","7.27","7.29","7.05","3.65M","-0.41%"
"Mar 28, 2019","7.27","7.29","7.33","7.23","1.77M","-0.27%"
"Mar 27, 2019","7.29","7.35","7.36","7.23","3.19M","-0.68%"
"Mar 26, 2019","7.34","7.18","7.38","7.18","1.15M","0.14%"
"Mar 25, 2019","7.33","7.60","7.60","6.90","7.75M","-4.68%"
"Mar 22, 2019","7.69","7.73","7.73","7.62","1.93M","0.52%"
"Mar 21, 2019","7.65","7.66","7.76","7.61","2.87M","-0.65%"
"Mar 20, 2019","7.70","7.64","7.70","7.64","2.07M","-0.13%"
"Mar 19, 2019","7.71","7.72","7.73","7.63","2.24M","0.00%"
"Mar 18, 2019","7.71","7.75","7.78","7.70","2.17M","-0.64%"
