"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.960","0.955","0.965","0.950","269.50K","1.05%"
"Apr 25, 2019","0.950","0.945","0.960","0.935","1.04M","0.53%"
"Apr 24, 2019","0.945","0.935","0.945","0.935","609.70K","0.00%"
"Apr 23, 2019","0.945","0.940","0.950","0.930","440.70K","1.07%"
"Apr 22, 2019","0.935","0.935","0.940","0.930","437.70K","0.00%"
"Apr 19, 2019","0.935","0.925","0.935","0.925","179.60K","1.08%"
"Apr 18, 2019","0.925","0.935","0.940","0.925","233.40K","-0.54%"
"Apr 17, 2019","0.930","0.935","0.935","0.930","118.70K","-1.06%"
"Apr 16, 2019","0.940","0.935","0.945","0.925","334.10K","0.00%"
"Apr 15, 2019","0.940","0.945","0.950","0.935","253.70K","-0.53%"
"Apr 12, 2019","0.945","0.945","0.945","0.935","132.80K","0.53%"
"Apr 11, 2019","0.940","0.940","0.955","0.930","1.38M","0.00%"
"Apr 10, 2019","0.940","0.935","0.950","0.930","532.20K","0.53%"
"Apr 09, 2019","0.935","0.930","0.940","0.920","717.70K","0.00%"
"Apr 08, 2019","0.935","0.925","0.940","0.925","477.90K","0.54%"
"Apr 05, 2019","0.930","0.935","0.940","0.925","305.80K","-0.53%"
"Apr 04, 2019","0.935","0.935","0.940","0.925","385.50K","0.54%"
"Apr 03, 2019","0.930","0.925","0.940","0.925","140.50K","-0.53%"
"Apr 02, 2019","0.935","0.935","0.935","0.925","340.80K","0.00%"
"Apr 01, 2019","0.935","0.930","0.940","0.925","286.20K","0.54%"
"Mar 29, 2019","0.930","0.935","0.935","0.920","255.80K","-0.53%"
"Mar 28, 2019","0.935","0.915","0.935","0.915","277.50K","2.19%"
"Mar 27, 2019","0.915","0.920","0.925","0.915","261.30K","0.00%"
"Mar 26, 2019","0.915","0.920","0.930","0.915","270.60K","-0.54%"
"Mar 25, 2019","0.920","0.930","0.930","0.920","237.70K","-2.13%"
"Mar 22, 2019","0.940","0.925","0.940","0.925","668.60K","1.62%"
"Mar 21, 2019","0.925","0.935","0.935","0.920","426.00K","-1.07%"
"Mar 20, 2019","0.935","0.920","0.935","0.920","517.40K","1.63%"
"Mar 19, 2019","0.920","0.930","0.930","0.920","670.50K","-1.08%"
"Mar 18, 2019","0.930","0.925","0.930","0.920","819.50K","0.54%"
"Mar 15, 2019","0.925","0.925","0.930","0.920","536.10K","0.00%"
"Mar 14, 2019","0.925","0.925","0.940","0.920","706.30K","0.54%"
"Mar 13, 2019","0.920","0.920","0.930","0.920","648.00K","0.55%"
"Mar 12, 2019","0.915","0.935","0.940","0.915","2.74M","-1.61%"
"Mar 11, 2019","0.930","0.940","0.940","0.925","515.70K","-1.59%"
"Mar 08, 2019","0.945","0.930","0.945","0.930","464.70K","1.61%"
"Mar 07, 2019","0.930","0.950","0.960","0.930","2.44M","-2.11%"
"Mar 06, 2019","0.950","0.950","0.975","0.940","2.31M","0.00%"
"Mar 05, 2019","0.950","0.945","0.960","0.945","1.26M","0.53%"
"Mar 04, 2019","0.945","0.960","0.965","0.940","1.92M","-1.56%"
"Mar 01, 2019","0.960","1.000","1.000","0.955","2.80M","-4.00%"
"Feb 28, 2019","1.000","0.990","1.000","0.970","1.24M","0.00%"
"Feb 27, 2019","1.000","1.000","1.010","0.995","1.40M","0.00%"
"Feb 26, 2019","1.000","1.000","1.010","0.990","1.03M","0.00%"
"Feb 25, 2019","1.000","1.000","1.010","0.995","1.52M","0.00%"
"Feb 22, 2019","1.000","1.010","1.020","0.980","1.44M","0.00%"
"Feb 21, 2019","1.000","0.995","1.030","0.990","2.59M","1.01%"
"Feb 20, 2019","0.990","0.965","1.000","0.960","1.15M","2.59%"
"Feb 19, 2019","0.965","0.955","0.965","0.950","329.10K","1.05%"
"Feb 18, 2019","0.955","0.970","0.970","0.950","352.80K","0.00%"
"Feb 15, 2019","0.955","0.960","0.965","0.955","554.10K","0.00%"
"Feb 14, 2019","0.955","0.940","0.960","0.940","579.00K","1.60%"
"Feb 13, 2019","0.940","0.950","0.955","0.940","506.80K","-0.53%"
"Feb 12, 2019","0.945","0.955","0.960","0.935","748.70K","-1.05%"
"Feb 11, 2019","0.955","0.945","0.955","0.945","874.40K","0.53%"
"Feb 08, 2019","0.950","0.950","0.950","0.940","155.10K","0.00%"
"Feb 07, 2019","0.950","0.935","0.950","0.935","301.50K","1.60%"
"Feb 04, 2019","0.935","0.935","0.945","0.930","378.30K","0.54%"
"Jan 31, 2019","0.930","0.930","0.940","0.930","322.10K","-0.53%"
"Jan 30, 2019","0.935","0.935","0.935","0.930","444.70K","0.00%"
"Jan 29, 2019","0.935","0.935","0.935","0.925","191.80K","0.54%"
"Jan 28, 2019","0.930","0.940","0.940","0.930","347.20K","-0.53%"
"Jan 25, 2019","0.935","0.935","0.935","0.925","574.10K","0.54%"
"Jan 24, 2019","0.930","0.925","0.935","0.920","947.20K","1.09%"
"Jan 23, 2019","0.920","0.925","0.925","0.915","887.80K","-0.54%"
"Jan 22, 2019","0.925","0.925","0.940","0.925","847.30K","0.00%"
"Jan 18, 2019","0.925","0.930","0.945","0.925","1.25M","-0.54%"
"Jan 17, 2019","0.930","0.930","0.945","0.925","1.58M","0.00%"
"Jan 16, 2019","0.930","0.925","0.940","0.925","1.38M","0.54%"
"Jan 15, 2019","0.925","0.935","0.935","0.920","856.80K","-0.54%"
"Jan 14, 2019","0.930","0.925","0.935","0.925","550.60K","1.09%"
"Jan 11, 2019","0.920","0.945","0.960","0.920","2.72M","-2.13%"
"Jan 10, 2019","0.940","0.945","0.950","0.935","861.30K","0.00%"
"Jan 09, 2019","0.940","0.950","0.965","0.930","1.19M","0.53%"
"Jan 08, 2019","0.935","0.945","0.960","0.925","391.30K","-0.53%"
"Jan 07, 2019","0.940","0.930","0.945","0.930","274.60K","1.62%"
"Jan 04, 2019","0.925","0.910","0.930","0.910","448.70K","1.65%"
"Jan 03, 2019","0.910","0.905","0.915","0.900","414.10K","0.55%"
"Jan 02, 2019","0.905","0.910","0.910","0.900","325.40K","-1.09%"
