"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.895","0.900","0.900","0.890","1.37M","-0.56%"
"Apr 25, 2019","0.900","0.905","0.910","0.890","2.13M","-0.55%"
"Apr 24, 2019","0.905","0.900","0.910","0.895","3.59M","1.12%"
"Apr 23, 2019","0.895","0.905","0.905","0.895","1.89M","-1.10%"
"Apr 22, 2019","0.905","0.900","0.915","0.895","2.98M","0.56%"
"Apr 19, 2019","0.900","0.905","0.905","0.900","1.43M","0.00%"
"Apr 18, 2019","0.900","0.905","0.910","0.895","2.43M","0.00%"
"Apr 17, 2019","0.900","0.905","0.910","0.900","1.27M","-1.10%"
"Apr 16, 2019","0.910","0.905","0.910","0.900","692.80K","0.55%"
"Apr 15, 2019","0.905","0.905","0.910","0.900","1.78M","0.00%"
"Apr 12, 2019","0.905","0.910","0.915","0.905","632.10K","-0.55%"
"Apr 11, 2019","0.910","0.915","0.915","0.900","2.13M","0.00%"
"Apr 10, 2019","0.910","0.915","0.920","0.910","1.62M","-0.55%"
"Apr 09, 2019","0.915","0.920","0.930","0.905","3.43M","0.55%"
"Apr 08, 2019","0.910","0.915","0.920","0.910","1.10M","0.00%"
"Apr 05, 2019","0.910","0.915","0.925","0.910","1.15M","0.00%"
"Apr 04, 2019","0.910","0.915","0.920","0.905","749.90K","0.00%"
"Apr 03, 2019","0.910","0.910","0.930","0.905","3.01M","0.55%"
"Apr 02, 2019","0.905","0.920","0.925","0.905","2.61M","-1.63%"
"Apr 01, 2019","0.920","0.915","0.925","0.910","1.91M","1.10%"
"Mar 29, 2019","0.910","0.910","0.920","0.905","844.80K","0.55%"
"Mar 28, 2019","0.905","0.905","0.915","0.900","723.80K","0.00%"
"Mar 27, 2019","0.905","0.915","0.925","0.905","2.14M","-0.55%"
"Mar 26, 2019","0.910","0.910","0.920","0.905","778.00K","0.00%"
"Mar 25, 2019","0.910","0.910","0.910","0.905","1.10M","-1.09%"
"Mar 22, 2019","0.920","0.925","0.925","0.905","1.75M","-1.08%"
"Mar 21, 2019","0.930","0.900","0.935","0.900","3.61M","2.76%"
"Mar 20, 2019","0.905","0.945","0.945","0.905","3.97M","-3.21%"
"Mar 19, 2019","0.935","0.950","0.960","0.925","3.93M","-2.09%"
"Mar 18, 2019","0.955","0.900","0.960","0.895","12.07M","6.11%"
"Mar 15, 2019","0.900","0.905","0.910","0.900","630.90K","-0.55%"
"Mar 14, 2019","0.905","0.900","0.910","0.895","1.71M","1.69%"
"Mar 13, 2019","0.890","0.895","0.910","0.885","2.92M","-0.56%"
"Mar 12, 2019","0.895","0.900","0.905","0.895","1.78M","-1.10%"
"Mar 11, 2019","0.905","0.915","0.915","0.900","905.00K","-0.55%"
"Mar 08, 2019","0.910","0.915","0.915","0.900","1.22M","-0.55%"
"Mar 07, 2019","0.915","0.915","0.920","0.910","1.56M","-0.54%"
"Mar 06, 2019","0.920","0.925","0.930","0.915","2.41M","0.55%"
"Mar 05, 2019","0.915","0.905","0.925","0.895","3.35M","1.10%"
"Mar 04, 2019","0.905","0.905","0.915","0.895","2.42M","0.56%"
"Mar 01, 2019","0.900","0.895","0.905","0.880","3.05M","1.12%"
"Feb 28, 2019","0.890","0.900","0.900","0.880","3.07M","-0.56%"
"Feb 27, 2019","0.895","0.910","0.925","0.890","5.72M","-1.65%"
"Feb 26, 2019","0.910","0.930","0.935","0.910","5.07M","-2.67%"
"Feb 25, 2019","0.935","0.905","0.935","0.895","14.27M","4.47%"
"Feb 22, 2019","0.895","0.880","0.905","0.870","8.30M","2.29%"
"Feb 21, 2019","0.875","0.900","0.910","0.875","4.77M","-2.78%"
"Feb 20, 2019","0.900","0.900","0.935","0.890","8.62M","0.56%"
"Feb 19, 2019","0.895","0.850","0.900","0.845","7.29M","5.29%"
"Feb 18, 2019","0.850","0.855","0.855","0.850","1.22M","-0.58%"
"Feb 15, 2019","0.855","0.855","0.855","0.845","1.52M","0.59%"
"Feb 14, 2019","0.850","0.840","0.850","0.835","2.00M","1.19%"
"Feb 13, 2019","0.840","0.850","0.850","0.835","2.14M","-0.59%"
"Feb 12, 2019","0.845","0.865","0.865","0.840","1.47M","-1.17%"
"Feb 11, 2019","0.855","0.850","0.865","0.845","3.78M","1.18%"
"Feb 08, 2019","0.845","0.835","0.850","0.835","1.88M","1.20%"
"Feb 07, 2019","0.835","0.835","0.845","0.830","3.11M","-0.60%"
"Feb 04, 2019","0.840","0.845","0.850","0.835","725.60K","1.20%"
"Jan 31, 2019","0.830","0.865","0.870","0.830","3.56M","-3.49%"
"Jan 30, 2019","0.860","0.870","0.870","0.855","966.70K","-1.15%"
"Jan 29, 2019","0.870","0.860","0.870","0.835","3.56M","1.16%"
"Jan 28, 2019","0.860","0.885","0.885","0.855","1.12M","-2.27%"
"Jan 25, 2019","0.880","0.875","0.900","0.865","8.30M","0.57%"
"Jan 24, 2019","0.875","0.845","0.880","0.835","7.63M","4.17%"
"Jan 23, 2019","0.840","0.860","0.860","0.810","21.44M","-1.18%"
"Jan 22, 2019","0.850","0.885","0.930","0.825","22.07M","-3.41%"
"Jan 18, 2019","0.880","0.940","0.960","0.870","14.93M","-6.38%"
"Jan 17, 2019","0.940","0.935","0.990","0.900","39.21M","1.08%"
"Jan 16, 2019","0.930","0.865","0.990","0.855","37.18M","9.41%"
"Jan 15, 2019","0.850","0.825","0.915","0.815","5.34M","3.03%"
"Jan 14, 2019","0.825","0.815","0.825","0.810","876.60K","1.85%"
"Jan 11, 2019","0.810","0.820","0.820","0.810","1.25M","-1.22%"
"Jan 10, 2019","0.820","0.820","0.830","0.815","2.73M","-1.20%"
"Jan 09, 2019","0.830","0.805","0.830","0.805","3.96M","3.11%"
"Jan 08, 2019","0.805","0.805","0.810","0.795","2.33M","0.00%"
"Jan 07, 2019","0.805","0.810","0.830","0.800","898.70K","0.00%"
"Jan 04, 2019","0.805","0.825","0.825","0.805","533.80K","-3.01%"
"Jan 03, 2019","0.830","0.805","0.840","0.800","4.64M","3.75%"
"Jan 02, 2019","0.800","0.800","0.815","0.785","714.00K","0.00%"
