"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.120","0.120","0.125","0.120","376.10K","0.00%"
"Apr 25, 2019","0.120","0.120","0.125","0.120","650.80K","0.00%"
"Apr 24, 2019","0.120","0.120","0.125","0.120","595.20K","0.00%"
"Apr 23, 2019","0.120","0.120","0.120","0.120","122.00K","0.00%"
"Apr 22, 2019","0.120","0.120","0.120","0.120","193.00K","0.00%"
"Apr 19, 2019","0.120","0.120","0.120","0.120","142.00K","0.00%"
"Apr 18, 2019","0.120","0.120","0.120","0.120","733.20K","0.00%"
"Apr 17, 2019","0.120","0.120","0.125","0.120","890.00K","0.00%"
"Apr 16, 2019","0.120","0.120","0.120","0.120","394.50K","0.00%"
"Apr 15, 2019","0.120","0.120","0.120","0.120","396.90K","0.00%"
"Apr 12, 2019","0.120","0.120","0.125","0.120","772.40K","0.00%"
"Apr 11, 2019","0.120","0.125","0.125","0.120","360.00K","0.00%"
"Apr 10, 2019","0.120","0.125","0.125","0.120","1.72M","-4.00%"
"Apr 09, 2019","0.125","0.125","0.125","0.120","289.10K","0.00%"
"Apr 08, 2019","0.125","0.125","0.130","0.120","1.90M","0.00%"
"Apr 05, 2019","0.125","0.125","0.130","0.125","624.10K","-3.85%"
"Apr 04, 2019","0.130","0.125","0.130","0.125","2.94M","4.00%"
"Apr 03, 2019","0.125","0.125","0.125","0.125","75.00K","0.00%"
"Apr 02, 2019","0.125","0.130","0.135","0.125","1.75M","-3.85%"
"Apr 01, 2019","0.130","0.135","0.135","0.130","1.75M","-3.70%"
"Mar 29, 2019","0.135","0.125","0.135","0.125","5.09M","8.00%"
"Mar 28, 2019","0.125","0.125","0.125","0.125","945.80K","0.00%"
"Mar 27, 2019","0.125","0.125","0.140","0.125","9.21M","4.17%"
"Mar 26, 2019","0.120","0.120","0.120","0.120","649.80K","0.00%"
"Mar 25, 2019","0.120","0.120","0.120","0.120","794.00K","0.00%"
"Mar 22, 2019","0.120","0.115","0.125","0.115","1.16M","4.35%"
"Mar 21, 2019","0.115","0.120","0.120","0.115","1.39M","-4.17%"
"Mar 20, 2019","0.120","0.120","0.120","0.115","3.34M","0.00%"
"Mar 19, 2019","0.120","0.120","0.125","0.120","4.89M","0.00%"
"Mar 18, 2019","0.120","0.125","0.125","0.120","1.16M","-4.00%"
"Mar 15, 2019","0.125","0.120","0.125","0.120","1.77M","0.00%"
"Mar 14, 2019","0.125","0.120","0.125","0.120","1.16M","4.17%"
"Mar 13, 2019","0.120","0.125","0.125","0.120","325.00K","-4.00%"
"Mar 12, 2019","0.125","0.120","0.125","0.115","2.42M","4.17%"
"Mar 11, 2019","0.120","0.120","0.125","0.120","1.33M","-4.00%"
"Mar 08, 2019","0.125","0.120","0.125","0.120","903.20K","4.17%"
"Mar 07, 2019","0.120","0.125","0.130","0.120","662.00K","-4.00%"
"Mar 06, 2019","0.125","0.130","0.140","0.120","9.70M","-3.85%"
"Mar 05, 2019","0.130","0.125","0.130","0.120","1.42M","0.00%"
