"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.090","0.090","0.090","0.090","50.00K","5.88%"
"Apr 25, 2019","0.085","0.090","0.090","0.085","90.00K","-10.53%"
"Apr 24, 2019","0.095","0.090","0.095","0.090","57.90K","5.56%"
"Apr 23, 2019","0.090","0.090","0.090","0.090","50.00K","0.00%"
"Apr 22, 2019","0.090","0.090","0.090","0.090","246.70K","0.00%"
"Apr 19, 2019","0.090","0.090","0.090","0.090","0.90K","5.88%"
"Apr 18, 2019","0.085","0.100","0.100","0.085","63.40K","-5.56%"
"Apr 12, 2019","0.090","0.090","0.090","0.090","8.60K","0.00%"
"Apr 11, 2019","0.090","0.090","0.090","0.090","5.00K","0.00%"
"Apr 10, 2019","0.090","0.090","0.090","0.090","53.30K","-5.26%"
"Apr 09, 2019","0.095","0.095","0.095","0.090","150.00K","0.00%"
"Apr 08, 2019","0.095","0.100","0.100","0.095","80.00K","-9.52%"
"Apr 05, 2019","0.105","0.100","0.105","0.100","10.50K","10.53%"
"Apr 03, 2019","0.095","0.095","0.095","0.095","43.50K","0.00%"
"Apr 02, 2019","0.095","0.095","0.095","0.095","80.00K","0.00%"
"Apr 01, 2019","0.095","0.095","0.095","0.095","112.00K","0.00%"
"Mar 29, 2019","0.095","0.090","0.095","0.090","200.00K","5.56%"
"Mar 28, 2019","0.090","0.090","0.090","0.090","23.10K","0.00%"
"Mar 27, 2019","0.090","0.090","0.090","0.090","102.00K","0.00%"
"Mar 26, 2019","0.090","0.090","0.090","0.090","30.00K","0.00%"
"Mar 25, 2019","0.090","0.090","0.090","0.090","508.80K","0.00%"
"Mar 22, 2019","0.090","0.090","0.090","0.085","298.00K","-5.26%"
"Mar 21, 2019","0.095","0.095","0.095","0.095","100.00K","5.56%"
"Mar 19, 2019","0.090","0.095","0.095","0.090","537.10K","-14.29%"
"Mar 18, 2019","0.105","0.100","0.110","0.100","2.01M","5.00%"
"Mar 15, 2019","0.100","0.090","0.105","0.090","1.47M","5.26%"
"Mar 14, 2019","0.095","0.100","0.100","0.090","910.00K","-5.00%"
"Mar 13, 2019","0.100","0.085","0.100","0.080","1.72M","25.00%"
"Mar 12, 2019","0.080","0.080","0.080","0.080","73.80K","0.00%"
"Mar 11, 2019","0.080","0.075","0.080","0.075","241.80K","0.00%"
"Mar 08, 2019","0.080","0.080","0.080","0.080","74.90K","-5.88%"
"Mar 07, 2019","0.085","0.080","0.085","0.075","532.40K","13.33%"
"Mar 05, 2019","0.075","0.075","0.075","0.075","22.20K","0.00%"
"Mar 04, 2019","0.075","0.075","0.075","0.070","141.00K","7.14%"
"Mar 01, 2019","0.070","0.070","0.070","0.070","1.00K","-6.67%"
"Feb 28, 2019","0.075","0.075","0.075","0.075","238.50K","0.00%"
"Feb 27, 2019","0.075","0.075","0.075","0.075","180.00K","0.00%"
"Feb 26, 2019","0.075","0.070","0.075","0.070","570.00K","7.14%"
"Feb 22, 2019","0.070","0.075","0.075","0.070","405.00K","-6.67%"
"Feb 21, 2019","0.075","0.075","0.075","0.075","42.00K","0.00%"
"Feb 20, 2019","0.075","0.075","0.080","0.075","589.90K","0.00%"
"Feb 19, 2019","0.075","0.080","0.080","0.075","235.10K","-6.25%"
"Feb 18, 2019","0.080","0.080","0.080","0.080","94.00K","0.00%"
"Feb 15, 2019","0.080","0.085","0.085","0.080","444.80K","-5.88%"
"Feb 14, 2019","0.085","0.075","0.090","0.075","2.27M","13.33%"
"Feb 13, 2019","0.075","0.075","0.075","0.070","66.00K","0.00%"
"Feb 12, 2019","0.075","0.070","0.075","0.070","326.50K","0.00%"
"Feb 11, 2019","0.075","0.070","0.075","0.070","140.80K","7.14%"
"Feb 08, 2019","0.070","0.070","0.070","0.070","20.00K","0.00%"
"Feb 07, 2019","0.070","0.070","0.070","0.070","50.00K","0.00%"
"Feb 04, 2019","0.070","0.070","0.070","0.070","40.00K","7.69%"
"Jan 30, 2019","0.065","0.075","0.075","0.065","130.00K","-7.14%"
"Jan 29, 2019","0.070","0.070","0.070","0.070","42.60K","0.00%"
"Jan 28, 2019","0.070","0.070","0.075","0.070","79.40K","0.00%"
"Jan 25, 2019","0.070","0.070","0.070","0.070","49.00K","0.00%"
"Jan 24, 2019","0.070","0.070","0.070","0.070","10.00K","0.00%"
"Jan 23, 2019","0.070","0.070","0.070","0.070","8.00K","-6.67%"
"Jan 22, 2019","0.075","0.070","0.075","0.070","5.00K","-6.25%"
"Jan 18, 2019","0.080","0.070","0.080","0.070","574.00K","14.29%"
"Jan 17, 2019","0.070","0.075","0.075","0.070","75.00K","-6.67%"
"Jan 16, 2019","0.075","0.075","0.075","0.075","75.40K","0.00%"
"Jan 15, 2019","0.075","0.075","0.075","0.075","100.00K","0.00%"
"Jan 14, 2019","0.075","0.070","0.085","0.070","658.60K","7.14%"
"Jan 11, 2019","0.070","0.070","0.070","0.070","5.00K","-6.67%"
"Jan 10, 2019","0.075","0.075","0.075","0.075","60.00K","7.14%"
"Jan 09, 2019","0.070","0.070","0.070","0.070","15.00K","7.69%"
"Jan 08, 2019","0.065","0.065","0.065","0.065","10.00K","0.00%"
"Jan 07, 2019","0.065","0.070","0.070","0.065","103.40K","-7.14%"
"Jan 04, 2019","0.070","0.060","0.070","0.060","220.00K","16.67%"
