"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.075","0.075","0.080","0.075","438.10K","-6.25%"
"Apr 25, 2019","0.080","0.080","0.080","0.075","7.96M","0.00%"
"Apr 24, 2019","0.080","0.075","0.080","0.075","18.53M","6.67%"
"Apr 23, 2019","0.075","0.075","0.080","0.070","12.82M","0.00%"
"Apr 22, 2019","0.075","0.070","0.075","0.070","285.60K","7.14%"
"Apr 19, 2019","0.070","0.070","0.075","0.070","289.00K","0.00%"
"Apr 18, 2019","0.070","0.070","0.070","0.070","280.00K","-6.67%"
"Apr 17, 2019","0.075","0.075","0.075","0.070","500.00K","0.00%"
"Apr 16, 2019","0.075","0.070","0.075","0.070","234.00K","7.14%"
"Apr 15, 2019","0.070","0.075","0.075","0.070","548.00K","-6.67%"
"Apr 12, 2019","0.075","0.070","0.075","0.070","651.40K","7.14%"
"Apr 11, 2019","0.070","0.070","0.075","0.070","43.00K","-6.67%"
"Apr 10, 2019","0.075","0.070","0.075","0.070","438.00K","7.14%"
"Apr 09, 2019","0.070","0.070","0.070","0.070","62.00K","-6.67%"
"Apr 08, 2019","0.075","0.075","0.075","0.070","7.57M","0.00%"
"Apr 05, 2019","0.075","0.070","0.075","0.070","10.72M","7.14%"
"Apr 04, 2019","0.070","0.070","0.070","0.070","2.18M","0.00%"
"Apr 03, 2019","0.070","0.070","0.075","0.070","281.50K","-6.67%"
"Apr 02, 2019","0.075","0.070","0.075","0.070","610.80K","7.14%"
"Apr 01, 2019","0.070","0.070","0.070","0.070","4.01M","0.00%"
"Mar 29, 2019","0.070","0.070","0.070","0.070","510.00K","-6.67%"
"Mar 28, 2019","0.075","0.075","0.075","0.070","215.50K","7.14%"
"Mar 27, 2019","0.070","0.070","0.070","0.070","680.00K","0.00%"
"Mar 26, 2019","0.070","0.070","0.070","0.070","80.00K","0.00%"
"Mar 25, 2019","0.070","0.070","0.070","0.070","622.00K","0.00%"
"Mar 22, 2019","0.070","0.070","0.070","0.070","396.00K","0.00%"
"Mar 21, 2019","0.070","0.070","0.075","0.070","120.00K","0.00%"
"Mar 20, 2019","0.070","0.070","0.070","0.070","71.70K","0.00%"
"Mar 19, 2019","0.070","0.070","0.075","0.070","1.25M","0.00%"
"Mar 18, 2019","0.070","0.075","0.075","0.070","556.00K","0.00%"
"Mar 15, 2019","0.070","0.070","0.075","0.070","1.29M","0.00%"
