"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","4.650","4.640","4.690","4.600","48.80K","-0.85%"
"Apr 25, 2019","4.690","4.770","4.770","4.620","60.10K","-0.64%"
"Apr 24, 2019","4.720","4.720","4.750","4.710","292.10K","0.64%"
"Apr 23, 2019","4.690","4.640","4.700","4.630","105.90K","1.08%"
"Apr 22, 2019","4.640","4.650","4.670","4.630","170.60K","0.65%"
"Apr 19, 2019","4.610","4.570","4.610","4.570","260.30K","0.88%"
"Apr 18, 2019","4.570","4.560","4.580","4.550","82.90K","-1.08%"
"Apr 17, 2019","4.620","4.610","4.620","4.530","81.20K","0.22%"
"Apr 16, 2019","4.610","4.590","4.610","4.580","34.60K","0.44%"
"Apr 15, 2019","4.590","4.590","4.590","4.540","26.80K","1.55%"
"Apr 12, 2019","4.520","4.530","4.570","4.520","88.50K","-0.66%"
"Apr 11, 2019","4.550","4.560","4.570","4.520","25.40K","-0.22%"
"Apr 10, 2019","4.560","4.520","4.590","4.520","55.90K","-0.65%"
"Apr 09, 2019","4.590","4.550","4.600","4.520","48.90K","0.88%"
"Apr 08, 2019","4.550","4.610","4.610","4.500","82.40K","-1.30%"
"Apr 05, 2019","4.610","4.680","4.680","4.520","59.00K","0.00%"
"Apr 04, 2019","4.610","4.680","4.680","4.590","68.50K","-0.86%"
"Apr 03, 2019","4.650","4.610","4.660","4.610","114.00K","1.09%"
"Apr 02, 2019","4.600","4.680","4.680","4.500","120.80K","-0.22%"
"Apr 01, 2019","4.610","4.600","4.700","4.570","95.10K","-0.43%"
"Mar 29, 2019","4.630","4.750","4.750","4.570","65.50K","-0.86%"
"Mar 28, 2019","4.670","4.700","4.700","4.630","110.80K","1.08%"
"Mar 27, 2019","4.620","4.750","4.800","4.620","100.00K","-1.70%"
"Mar 26, 2019","4.700","4.730","4.730","4.680","98.60K","-0.84%"
"Mar 25, 2019","4.740","4.770","4.770","4.700","58.60K","-0.84%"
"Mar 22, 2019","4.780","4.820","4.820","4.740","32.00K","-0.62%"
