"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.920","1.950","1.950","1.920","654.90K","-1.03%"
"Apr 25, 2019","1.940","1.930","1.950","1.930","400.30K","0.52%"
"Apr 24, 2019","1.930","1.930","1.930","1.920","397.20K","0.00%"
"Apr 23, 2019","1.930","1.920","1.940","1.920","201.30K","-0.52%"
"Apr 22, 2019","1.940","1.930","1.950","1.920","337.00K","0.52%"
"Apr 19, 2019","1.930","1.930","1.930","1.900","255.40K","1.05%"
"Apr 18, 2019","1.910","1.910","1.940","1.910","275.30K","-1.04%"
"Apr 17, 2019","1.930","1.910","1.930","1.900","216.30K","0.52%"
"Apr 16, 2019","1.920","1.920","1.940","1.910","551.80K","-0.52%"
"Apr 15, 2019","1.930","1.900","1.930","1.900","315.40K","2.12%"
"Apr 12, 2019","1.890","1.920","1.930","1.890","1.72M","0.00%"
"Apr 11, 2019","1.890","1.900","1.910","1.890","1.06M","-0.53%"
"Apr 10, 2019","1.900","1.910","1.910","1.900","720.30K","-0.52%"
"Apr 09, 2019","1.910","1.940","1.940","1.900","536.70K","-1.55%"
"Apr 08, 2019","1.940","1.940","1.950","1.920","347.50K","1.04%"
"Apr 05, 2019","1.920","1.920","1.940","1.920","58.40K","0.00%"
"Apr 04, 2019","1.920","1.930","1.930","1.900","384.10K","1.05%"
"Apr 03, 2019","1.900","1.910","1.920","1.900","104.20K","-1.04%"
"Apr 02, 2019","1.920","1.910","1.930","1.910","111.00K","1.05%"
"Apr 01, 2019","1.900","1.950","1.950","1.900","199.40K","0.53%"
"Mar 29, 2019","1.890","1.910","1.920","1.890","255.40K","-1.05%"
"Mar 28, 2019","1.910","1.900","1.910","1.890","229.30K","0.53%"
"Mar 27, 2019","1.900","1.890","1.920","1.890","82.60K","0.53%"
"Mar 26, 2019","1.890","1.930","1.930","1.890","252.70K","-0.53%"
"Mar 25, 2019","1.900","1.920","1.930","1.900","223.60K","-1.04%"
"Mar 22, 2019","1.920","1.960","1.960","1.910","141.50K","-1.03%"
"Mar 21, 2019","1.940","1.940","1.950","1.920","225.30K","0.00%"
"Mar 20, 2019","1.940","1.950","1.960","1.940","91.20K","0.00%"
"Mar 19, 2019","1.940","1.990","1.990","1.930","174.70K","-2.51%"
"Mar 18, 2019","1.990","1.970","1.990","1.970","327.40K","1.53%"
"Mar 15, 2019","1.960","1.960","1.970","1.950","196.90K","0.51%"
"Mar 14, 2019","1.950","1.950","1.970","1.950","100.20K","0.00%"
"Mar 13, 2019","1.950","1.950","1.960","1.940","218.90K","0.00%"
"Mar 12, 2019","1.950","1.960","1.960","1.950","57.60K","-0.51%"
"Mar 11, 2019","1.960","1.950","1.960","1.950","105.50K","0.00%"
"Mar 08, 2019","1.960","1.970","1.970","1.950","229.70K","0.51%"
"Mar 07, 2019","1.950","1.960","1.960","1.950","95.00K","-0.51%"
"Mar 06, 2019","1.960","1.970","1.970","1.950","573.70K","0.00%"
"Mar 05, 2019","1.960","1.950","1.960","1.940","439.10K","0.00%"
"Mar 04, 2019","1.960","1.970","1.970","1.950","351.60K","-0.51%"
