"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.5850","0.5900","0.5900","0.5800","627.50K","-0.85%"
"Apr 25, 2019","0.5900","0.6100","0.6100","0.5900","857.30K","-3.28%"
"Apr 24, 2019","0.6100","0.6150","0.6150","0.6000","1.33M","1.67%"
"Apr 23, 2019","0.6000","0.6000","0.6050","0.5900","1.02M","0.00%"
"Apr 22, 2019","0.6000","0.5550","0.6000","0.5550","1.69M","8.11%"
"Apr 19, 2019","0.5550","0.5600","0.5700","0.5550","496.40K","-0.89%"
"Apr 18, 2019","0.5600","0.5600","0.5600","0.5500","421.40K","0.00%"
"Apr 17, 2019","0.5600","0.5650","0.5700","0.5600","711.90K","-1.75%"
"Apr 16, 2019","0.5700","0.5700","0.5750","0.5650","449.40K","0.00%"
"Apr 15, 2019","0.5700","0.5700","0.5800","0.5700","975.30K","0.88%"
"Apr 12, 2019","0.5650","0.5650","0.5800","0.5600","1.27M","0.00%"
"Apr 11, 2019","0.5650","0.5700","0.6000","0.5650","2.15M","-0.88%"
"Apr 10, 2019","0.5700","0.5850","0.5850","0.5650","682.90K","-2.56%"
"Apr 09, 2019","0.5850","0.5850","0.5900","0.5800","629.90K","0.00%"
"Apr 08, 2019","0.5850","0.5900","0.5900","0.5800","868.50K","-1.68%"
"Apr 05, 2019","0.5950","0.6400","0.6500","0.5900","5.63M","-4.03%"
"Apr 04, 2019","0.6200","0.5600","0.6200","0.5600","1.48M","11.71%"
"Apr 03, 2019","0.5550","0.5400","0.5800","0.5400","658.60K","3.74%"
"Apr 02, 2019","0.5350","0.5350","0.5400","0.5300","285.90K","0.00%"
"Apr 01, 2019","0.5350","0.5400","0.5400","0.5350","330.30K","0.00%"
"Mar 29, 2019","0.5350","0.5450","0.5450","0.5300","698.00K","-1.83%"
"Mar 28, 2019","0.5450","0.5350","0.5450","0.5300","99.00K","1.87%"
"Mar 27, 2019","0.5350","0.5400","0.5450","0.5350","228.20K","-0.93%"
"Mar 26, 2019","0.5400","0.5450","0.5450","0.5350","363.90K","-0.92%"
"Mar 25, 2019","0.5450","0.5550","0.5550","0.5400","218.90K","-1.80%"
"Mar 22, 2019","0.5550","0.5700","0.5700","0.5550","338.20K","-3.48%"
"Mar 21, 2019","0.5750","0.5700","0.5750","0.5650","207.20K","-0.86%"
"Mar 20, 2019","0.5800","0.5800","0.5850","0.5750","386.00K","-0.85%"
"Mar 19, 2019","0.5850","0.5950","0.5950","0.5800","204.70K","0.86%"
"Mar 18, 2019","0.5800","0.5850","0.5900","0.5800","327.20K","-0.85%"
"Mar 15, 2019","0.5850","0.5850","0.5900","0.5750","654.80K","-0.85%"
"Mar 14, 2019","0.5900","0.5950","0.6000","0.5800","732.90K","-0.84%"
"Mar 13, 2019","0.5950","0.5950","0.5950","0.5900","230.30K","-0.83%"
"Mar 12, 2019","0.6000","0.5950","0.6100","0.5900","547.80K","1.69%"
"Mar 11, 2019","0.5900","0.5950","0.5950","0.5850","779.00K","-0.84%"
"Mar 08, 2019","0.5950","0.6100","0.6100","0.5900","1.43M","-2.46%"
"Mar 07, 2019","0.6100","0.6200","0.6200","0.6100","376.40K","-1.61%"
"Mar 06, 2019","0.6200","0.6150","0.6250","0.6050","458.20K","2.48%"
"Mar 05, 2019","0.6050","0.6200","0.6200","0.6050","372.10K","-1.63%"
"Mar 04, 2019","0.6150","0.6350","0.6400","0.6100","933.90K","-2.38%"
"Mar 01, 2019","0.6300","0.6050","0.6450","0.5900","1.69M","4.13%"
