"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","3.820","3.800","3.830","3.800","69.70K","0.53%"
"Apr 25, 2019","3.800","3.800","3.810","3.800","170.80K","0.00%"
"Apr 24, 2019","3.800","3.800","3.830","3.790","691.40K","0.00%"
"Apr 23, 2019","3.800","3.830","3.830","3.800","55.60K","-0.78%"
"Apr 22, 2019","3.830","3.800","3.840","3.800","172.00K","0.79%"
"Apr 19, 2019","3.800","3.800","3.810","3.780","619.50K","0.53%"
"Apr 18, 2019","3.780","3.780","3.780","3.760","24.40K","0.00%"
"Apr 17, 2019","3.780","3.790","3.800","3.780","60.00K","-0.53%"
"Apr 16, 2019","3.800","3.790","3.800","3.770","17.10K","0.00%"
"Apr 15, 2019","3.800","3.820","3.830","3.790","176.80K","0.00%"
"Apr 12, 2019","3.800","3.800","3.800","3.770","65.80K","0.00%"
"Apr 11, 2019","3.800","3.800","3.800","3.790","79.80K","0.00%"
"Apr 10, 2019","3.800","3.800","3.820","3.790","240.80K","0.00%"
"Apr 09, 2019","3.800","3.800","3.800","3.780","55.50K","0.00%"
"Apr 08, 2019","3.800","3.800","3.820","3.780","353.10K","0.00%"
"Apr 05, 2019","3.800","3.830","3.830","3.790","287.20K","-1.30%"
"Apr 04, 2019","3.850","3.880","3.880","3.840","589.00K","-0.26%"
"Apr 03, 2019","3.860","3.880","3.880","3.840","312.70K","0.00%"
"Apr 02, 2019","3.860","3.850","3.900","3.820","328.30K","0.52%"
"Apr 01, 2019","3.840","3.800","3.850","3.800","231.60K","-0.26%"
"Mar 29, 2019","3.850","3.800","3.850","3.780","563.40K","1.32%"
"Mar 28, 2019","3.800","3.800","3.860","3.780","413.90K","0.00%"
"Mar 27, 2019","3.800","3.780","3.830","3.780","34.10K","0.26%"
"Mar 26, 2019","3.790","3.780","3.810","3.760","43.90K","0.26%"
"Mar 25, 2019","3.780","3.790","3.790","3.780","5.90K","-0.26%"
"Mar 22, 2019","3.790","3.800","3.800","3.750","49.50K","-1.30%"
"Mar 21, 2019","3.840","3.810","3.860","3.750","200.40K","0.79%"
"Mar 20, 2019","3.810","3.850","3.870","3.800","10.30K","-1.55%"
"Mar 19, 2019","3.870","3.880","3.880","3.820","48.50K","-0.51%"
"Mar 18, 2019","3.890","3.910","3.910","3.850","83.10K","-0.26%"
"Mar 15, 2019","3.900","3.900","3.920","3.900","117.00K","-0.51%"
"Mar 14, 2019","3.920","3.890","3.920","3.860","224.80K","0.51%"
"Mar 13, 2019","3.900","3.800","3.910","3.800","396.70K","2.63%"
"Mar 12, 2019","3.800","3.840","3.840","3.750","172.80K","0.00%"
"Mar 11, 2019","3.800","3.840","3.840","3.780","104.70K","-0.78%"
"Mar 08, 2019","3.830","3.840","3.840","3.800","70.50K","0.79%"
"Mar 07, 2019","3.800","3.800","3.830","3.800","60.80K","0.00%"
"Mar 06, 2019","3.800","3.820","3.840","3.800","105.60K","-1.04%"
"Mar 05, 2019","3.840","3.800","3.860","3.790","63.60K","1.32%"
"Mar 04, 2019","3.790","3.850","3.850","3.770","114.20K","-1.56%"
"Mar 01, 2019","3.850","3.880","3.880","3.750","112.90K","0.26%"
"Feb 28, 2019","3.840","3.880","3.880","3.820","46.80K","-1.03%"
"Feb 27, 2019","3.880","3.880","3.890","3.840","168.90K","0.00%"
"Feb 26, 2019","3.880","3.880","3.890","3.860","135.80K","0.00%"
"Feb 25, 2019","3.880","3.880","3.900","3.870","231.90K","0.26%"
"Feb 22, 2019","3.870","3.850","3.890","3.850","149.90K","0.52%"
"Feb 21, 2019","3.850","3.890","3.890","3.850","88.90K","-1.03%"
"Feb 20, 2019","3.890","3.860","3.910","3.830","117.60K","-0.26%"
"Feb 19, 2019","3.900","3.900","3.920","3.880","87.00K","-0.51%"
"Feb 18, 2019","3.920","3.900","3.920","3.890","141.20K","0.26%"
"Feb 15, 2019","3.910","3.840","3.910","3.840","126.20K","0.51%"
"Feb 14, 2019","3.890","3.880","3.900","3.850","190.30K","0.78%"
"Feb 13, 2019","3.860","3.810","3.900","3.800","261.10K","1.05%"
"Feb 12, 2019","3.820","3.870","3.870","3.740","501.50K","-1.29%"
"Feb 11, 2019","3.870","3.970","3.980","3.870","347.20K","-1.28%"
"Feb 08, 2019","3.920","3.980","3.980","3.920","152.30K","-1.01%"
