"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2019","0.465","0.465","0.465","0.465","4.00K","0.00%"
"Apr 23, 2019","0.465","0.465","0.515","0.465","47.10K","3.33%"
"Apr 19, 2019","0.450","0.450","0.450","0.450","20.00K","-2.17%"
"Apr 17, 2019","0.460","0.460","0.460","0.460","20.00K","-2.13%"
"Apr 12, 2019","0.470","0.480","0.480","0.470","142.70K","0.00%"
"Apr 11, 2019","0.470","0.470","0.470","0.470","30.00K","0.00%"
"Apr 10, 2019","0.470","0.470","0.470","0.470","0.90K","-6.00%"
"Apr 04, 2019","0.500","0.500","0.500","0.500","2.00K","4.17%"
"Apr 03, 2019","0.480","0.480","0.480","0.480","3.00K","-2.04%"
"Apr 02, 2019","0.490","0.490","0.490","0.490","10.00K","4.26%"
"Apr 01, 2019","0.470","0.470","0.470","0.470","9.00K","3.30%"
"Mar 25, 2019","0.455","0.455","0.455","0.455","7.30K","-3.19%"
"Mar 22, 2019","0.470","0.470","0.495","0.460","179.60K","4.44%"
"Mar 21, 2019","0.450","0.450","0.450","0.450","38.40K","0.00%"
"Mar 20, 2019","0.450","0.450","0.450","0.450","5.00K","-2.17%"
"Mar 19, 2019","0.460","0.460","0.460","0.460","19.50K","0.00%"
"Mar 18, 2019","0.460","0.475","0.475","0.460","58.20K","0.00%"
"Mar 15, 2019","0.460","0.460","0.460","0.460","7.00K","0.00%"
"Mar 14, 2019","0.460","0.480","0.480","0.460","6.00K","-2.13%"
"Mar 12, 2019","0.470","0.450","0.470","0.450","25.00K","0.00%"
"Mar 07, 2019","0.470","0.470","0.470","0.470","20.40K","-1.05%"
"Mar 06, 2019","0.475","0.475","0.475","0.475","22.00K","2.15%"
"Mar 05, 2019","0.465","0.475","0.475","0.465","41.90K","-6.06%"
"Mar 04, 2019","0.495","0.495","0.500","0.470","15.70K","4.21%"
"Mar 01, 2019","0.475","0.490","0.490","0.475","15.00K","-5.00%"
"Feb 27, 2019","0.500","0.500","0.500","0.500","15.00K","0.00%"
"Feb 26, 2019","0.500","0.480","0.500","0.480","10.00K","0.00%"
"Feb 25, 2019","0.500","0.500","0.500","0.500","1.00K","0.00%"
"Feb 22, 2019","0.500","0.480","0.500","0.480","10.00K","0.00%"
"Feb 18, 2019","0.500","0.460","0.500","0.460","11.00K","1.01%"
"Feb 12, 2019","0.495","0.445","0.495","0.435","12.20K","10.00%"
"Feb 11, 2019","0.450","0.465","0.465","0.450","1.10K","-2.17%"
"Feb 07, 2019","0.460","0.460","0.460","0.460","1.00K","-5.15%"
"Jan 30, 2019","0.485","0.460","0.485","0.460","21.50K","0.00%"
"Jan 28, 2019","0.485","0.465","0.485","0.465","33.10K","5.43%"
"Jan 24, 2019","0.460","0.450","0.460","0.450","78.40K","0.00%"
"Jan 23, 2019","0.460","0.480","0.480","0.460","30.00K","-1.08%"
"Jan 18, 2019","0.465","0.450","0.470","0.450","50.00K","1.09%"
"Jan 15, 2019","0.460","0.460","0.460","0.460","17.00K","2.22%"
"Jan 14, 2019","0.450","0.460","0.460","0.450","12.00K","-5.26%"
"Jan 11, 2019","0.475","0.475","0.475","0.475","10.00K","1.06%"
"Jan 10, 2019","0.470","0.470","0.470","0.455","73.60K","1.08%"
"Jan 09, 2019","0.465","0.470","0.470","0.465","25.90K","-3.12%"
"Jan 07, 2019","0.480","0.465","0.480","0.465","30.00K","3.23%"
"Jan 04, 2019","0.465","0.505","0.505","0.465","839.00K","-15.45%"
"Jan 03, 2019","0.550","0.490","0.550","0.485","253.00K","4.76%"
