"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.295","0.300","0.305","0.295","3.14M","0.00%"
"Apr 25, 2019","0.295","0.300","0.305","0.295","5.80M","-1.67%"
"Apr 24, 2019","0.300","0.295","0.305","0.295","1.99M","0.00%"
"Apr 23, 2019","0.300","0.295","0.305","0.290","1.48M","1.69%"
"Apr 22, 2019","0.295","0.300","0.310","0.295","2.32M","-1.67%"
"Apr 19, 2019","0.300","0.300","0.320","0.285","9.78M","0.00%"
"Apr 18, 2019","0.300","0.310","0.310","0.300","1.56M","-3.23%"
"Apr 17, 2019","0.310","0.315","0.320","0.305","1.66M","-3.12%"
"Apr 16, 2019","0.320","0.325","0.330","0.315","3.21M","-1.54%"
"Apr 15, 2019","0.325","0.330","0.350","0.320","23.75M","0.00%"
"Apr 12, 2019","0.325","0.300","0.325","0.300","18.75M","10.17%"
"Apr 11, 2019","0.295","0.280","0.295","0.275","1.19M","3.51%"
"Apr 10, 2019","0.285","0.285","0.285","0.285","357.00K","0.00%"
"Apr 09, 2019","0.285","0.290","0.295","0.285","932.00K","-3.39%"
"Apr 08, 2019","0.295","0.285","0.295","0.285","268.00K","1.72%"
"Apr 05, 2019","0.290","0.290","0.290","0.290","281.00K","-1.69%"
"Apr 04, 2019","0.295","0.285","0.295","0.285","461.00K","1.72%"
"Apr 03, 2019","0.290","0.290","0.290","0.290","398.00K","0.00%"
"Apr 02, 2019","0.290","0.290","0.290","0.290","160.00K","-1.69%"
"Apr 01, 2019","0.295","0.295","0.295","0.295","15.00K","0.00%"
"Mar 29, 2019","0.295","0.295","0.295","0.295","54.00K","-1.67%"
"Mar 28, 2019","0.300","0.290","0.300","0.290","273.00K","3.45%"
"Mar 27, 2019","0.290","0.295","0.300","0.290","370.00K","0.00%"
"Mar 26, 2019","0.290","0.290","0.295","0.290","565.00K","1.75%"
"Mar 25, 2019","0.285","0.290","0.290","0.285","227.00K","-1.72%"
"Mar 22, 2019","0.290","0.290","0.290","0.290","156.00K","-3.33%"
"Mar 21, 2019","0.300","0.290","0.300","0.285","288.30K","3.45%"
"Mar 20, 2019","0.290","0.295","0.295","0.290","131.00K","0.00%"
"Mar 19, 2019","0.290","0.295","0.300","0.290","1.17M","-1.69%"
"Mar 18, 2019","0.295","0.295","0.295","0.295","990.00K","-1.67%"
"Mar 15, 2019","0.300","0.295","0.300","0.295","651.00K","0.00%"
"Mar 14, 2019","0.300","0.295","0.300","0.295","267.00K","1.69%"
"Mar 13, 2019","0.295","0.295","0.295","0.295","101.00K","-1.67%"
"Mar 12, 2019","0.300","0.300","0.300","0.295","1.23M","0.00%"
"Mar 11, 2019","0.300","0.295","0.300","0.295","504.00K","0.00%"
"Mar 08, 2019","0.300","0.305","0.305","0.300","375.90K","-1.64%"
"Mar 07, 2019","0.305","0.300","0.305","0.295","225.40K","0.00%"
"Mar 06, 2019","0.305","0.295","0.305","0.295","2.98M","5.17%"
"Mar 05, 2019","0.290","0.290","0.290","0.290","20.00K","-1.69%"
"Mar 04, 2019","0.295","0.295","0.295","0.290","341.00K","-1.67%"
"Mar 01, 2019","0.300","0.290","0.300","0.290","2.49M","3.45%"
"Feb 28, 2019","0.290","0.280","0.290","0.280","1.78M","3.57%"
"Feb 27, 2019","0.280","0.280","0.290","0.280","1.01M","-1.75%"
"Feb 26, 2019","0.285","0.285","0.295","0.285","1.13M","-5.00%"
"Feb 25, 2019","0.300","0.280","0.300","0.280","663.00K","3.45%"
"Feb 22, 2019","0.290","0.295","0.300","0.290","430.00K","-3.33%"
