"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","2.310","2.330","2.330","2.300","21.50K","-1.70%"
"Apr 25, 2019","2.350","2.400","2.400","2.330","65.60K","-2.49%"
"Apr 24, 2019","2.410","2.370","2.440","2.300","417.40K","3.88%"
"Apr 23, 2019","2.320","2.290","2.340","2.290","50.40K","0.87%"
"Apr 22, 2019","2.300","2.300","2.320","2.270","159.30K","2.22%"
"Apr 19, 2019","2.250","2.250","2.310","2.230","54.40K","1.35%"
"Apr 18, 2019","2.220","2.190","2.240","2.190","82.20K","1.37%"
"Apr 17, 2019","2.190","2.160","2.200","2.160","108.50K","0.46%"
"Apr 16, 2019","2.180","2.150","2.250","2.150","147.30K","1.40%"
"Apr 15, 2019","2.150","2.250","2.250","2.150","296.00K","-4.44%"
"Apr 12, 2019","2.250","2.280","2.280","2.250","38.70K","-0.88%"
"Apr 11, 2019","2.270","2.320","2.320","2.270","30.60K","-0.44%"
"Apr 10, 2019","2.280","2.360","2.360","2.270","46.20K","0.00%"
"Apr 09, 2019","2.280","2.300","2.300","2.270","74.10K","-0.44%"
"Apr 08, 2019","2.290","2.340","2.350","2.280","66.90K","-2.55%"
"Apr 05, 2019","2.350","2.320","2.350","2.290","65.90K","1.73%"
"Apr 04, 2019","2.310","2.350","2.350","2.300","118.50K","-1.28%"
"Apr 03, 2019","2.340","2.350","2.380","2.340","27.00K","-0.43%"
"Apr 02, 2019","2.350","2.380","2.380","2.350","75.30K","-1.67%"
"Apr 01, 2019","2.390","2.370","2.390","2.360","23.50K","-0.42%"
"Mar 29, 2019","2.400","2.380","2.400","2.360","99.20K","0.84%"
"Mar 28, 2019","2.380","2.400","2.440","2.380","41.10K","-1.65%"
"Mar 27, 2019","2.420","2.420","2.420","2.400","98.20K","0.41%"
"Mar 26, 2019","2.410","2.430","2.440","2.410","104.60K","-0.41%"
"Mar 25, 2019","2.420","2.460","2.460","2.410","70.70K","-1.63%"
"Mar 22, 2019","2.460","2.480","2.480","2.450","159.80K","-0.81%"
"Mar 21, 2019","2.480","2.500","2.520","2.480","142.40K","-0.80%"
"Mar 20, 2019","2.500","2.500","2.520","2.470","228.80K","0.40%"
"Mar 19, 2019","2.490","2.500","2.510","2.460","147.30K","-0.80%"
"Mar 18, 2019","2.510","2.450","2.600","2.450","731.00K","3.29%"
"Mar 15, 2019","2.430","2.430","2.460","2.420","163.70K","-0.41%"
"Mar 14, 2019","2.440","2.450","2.460","2.440","195.70K","-0.41%"
"Mar 13, 2019","2.450","2.480","2.500","2.440","108.40K","-0.41%"
"Mar 12, 2019","2.460","2.410","2.470","2.410","249.80K","2.07%"
"Mar 11, 2019","2.410","2.520","2.520","2.380","770.10K","-4.37%"
"Mar 08, 2019","2.520","2.600","2.600","2.510","385.70K","-2.70%"
"Mar 07, 2019","2.590","2.600","2.600","2.550","377.70K","-0.38%"
"Mar 06, 2019","2.600","2.600","2.650","2.580","715.80K","0.00%"
"Mar 05, 2019","2.600","2.560","2.650","2.550","1.15M","1.96%"
"Mar 04, 2019","2.550","2.470","2.570","2.450","1.38M","4.08%"
"Mar 01, 2019","2.450","2.420","2.480","2.410","736.60K","3.38%"
"Feb 28, 2019","2.370","2.240","2.420","2.240","843.90K","5.80%"
"Feb 27, 2019","2.240","2.110","2.250","2.110","833.20K","7.18%"
"Feb 26, 2019","2.090","2.080","2.100","2.060","163.40K","1.46%"
"Feb 25, 2019","2.060","2.050","2.070","2.040","213.90K","0.98%"
"Feb 22, 2019","2.040","2.020","2.040","2.020","78.00K","0.49%"
"Feb 21, 2019","2.030","2.030","2.060","2.030","158.80K","-0.98%"
"Feb 20, 2019","2.050","2.010","2.050","2.000","268.90K","3.54%"
"Feb 19, 2019","1.980","1.900","2.000","1.900","287.70K","5.32%"
"Feb 18, 2019","1.880","1.870","1.910","1.870","137.10K","1.08%"
"Feb 15, 2019","1.860","1.820","1.880","1.820","71.40K","2.76%"
"Feb 14, 2019","1.810","1.790","1.880","1.790","47.50K","0.56%"
"Feb 13, 2019","1.800","1.820","1.820","1.790","3.60K","-1.10%"
"Feb 12, 2019","1.820","1.840","1.850","1.820","3.50K","-1.62%"
"Feb 11, 2019","1.850","1.770","1.850","1.770","39.50K","5.11%"
"Feb 08, 2019","1.760","1.750","1.760","1.750","0.70K","0.57%"
"Feb 07, 2019","1.750","1.730","1.770","1.730","34.90K","-1.13%"
"Jan 31, 2019","1.770","1.720","1.770","1.720","37.10K","0.00%"
"Jan 30, 2019","1.770","1.700","1.770","1.700","2.90K","0.00%"
"Jan 29, 2019","1.770","1.750","1.770","1.700","39.80K","0.00%"
"Jan 28, 2019","1.770","1.770","1.780","1.770","63.10K","0.00%"
"Jan 25, 2019","1.770","1.770","1.790","1.770","30.50K","1.14%"
"Jan 24, 2019","1.750","1.750","1.750","1.750","5.40K","-1.13%"
"Jan 23, 2019","1.770","1.760","1.770","1.740","12.00K","-0.56%"
"Jan 22, 2019","1.780","1.720","1.790","1.720","20.00K","1.14%"
"Jan 18, 2019","1.760","1.720","1.770","1.720","58.00K","0.00%"
"Jan 17, 2019","1.760","1.750","1.770","1.720","11.80K","0.57%"
"Jan 16, 2019","1.750","1.750","1.750","1.750","12.60K","2.94%"
"Jan 15, 2019","1.700","1.650","1.720","1.620","49.10K","1.80%"
"Jan 11, 2019","1.670","1.660","1.670","1.660","71.70K","0.60%"
"Jan 10, 2019","1.660","1.660","1.660","1.660","1.10K","-3.49%"
"Jan 09, 2019","1.720","1.680","1.730","1.680","12.00K","0.58%"
