"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","2.290","2.220","2.340","2.220","1.69M","3.15%"
"Apr 25, 2019","2.220","2.210","2.220","2.200","568.60K","0.00%"
"Apr 24, 2019","2.220","2.220","2.230","2.220","610.20K","0.00%"
"Apr 23, 2019","2.220","2.240","2.240","2.220","786.20K","-0.89%"
"Apr 22, 2019","2.240","2.190","2.240","2.170","1.55M","2.28%"
"Apr 19, 2019","2.190","2.220","2.220","2.170","381.70K","-1.35%"
"Apr 18, 2019","2.220","2.180","2.230","2.180","187.50K","1.83%"
"Apr 17, 2019","2.180","2.160","2.180","2.140","125.00K","0.00%"
"Apr 16, 2019","2.180","2.220","2.250","2.180","1.01M","-0.91%"
"Apr 15, 2019","2.200","2.140","2.220","2.140","1.64M","1.85%"
"Apr 12, 2019","2.160","2.140","2.160","2.140","218.00K","0.93%"
"Apr 11, 2019","2.140","2.150","2.180","2.140","689.30K","-0.93%"
"Apr 10, 2019","2.160","2.160","2.160","2.150","126.70K","0.00%"
"Apr 09, 2019","2.160","2.150","2.200","2.150","201.50K","0.00%"
"Apr 08, 2019","2.160","2.140","2.160","2.140","437.30K","1.41%"
"Apr 05, 2019","2.130","2.150","2.160","2.120","254.40K","-0.93%"
"Apr 04, 2019","2.150","2.170","2.170","2.150","170.00K","-0.92%"
"Apr 03, 2019","2.170","2.200","2.200","2.150","211.60K","-1.36%"
"Apr 02, 2019","2.200","2.160","2.250","2.160","232.70K","2.33%"
"Apr 01, 2019","2.150","2.250","2.250","2.140","262.50K","-4.44%"
"Mar 29, 2019","2.250","2.300","2.300","2.230","417.00K","-1.32%"
"Mar 28, 2019","2.280","2.180","2.290","2.170","1.00M","4.59%"
"Mar 27, 2019","2.180","2.110","2.210","2.110","802.00K","3.32%"
"Mar 26, 2019","2.110","2.090","2.150","2.090","360.40K","1.44%"
"Mar 25, 2019","2.080","2.080","2.100","2.050","203.70K","-0.48%"
"Mar 22, 2019","2.090","2.090","2.120","2.070","628.00K","1.46%"
"Mar 21, 2019","2.060","2.140","2.140","2.020","2.93M","-4.19%"
"Mar 20, 2019","2.150","2.150","2.170","2.140","247.30K","0.00%"
"Mar 19, 2019","2.150","2.170","2.190","2.150","305.80K","-0.92%"
"Mar 18, 2019","2.170","2.190","2.220","2.160","367.60K","-0.91%"
"Mar 15, 2019","2.190","2.200","2.230","2.190","305.10K","-1.35%"
"Mar 14, 2019","2.220","2.200","2.230","2.190","345.10K","0.00%"
"Mar 13, 2019","2.220","2.240","2.240","2.210","161.10K","-0.89%"
"Mar 12, 2019","2.240","2.180","2.240","2.180","245.00K","2.75%"
"Mar 11, 2019","2.180","2.280","2.280","2.150","898.30K","-4.39%"
