"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.400","0.410","0.410","0.395","4.10M","-2.44%"
"Apr 25, 2019","0.410","0.415","0.415","0.405","3.09M","-1.20%"
"Apr 24, 2019","0.415","0.415","0.420","0.405","2.76M","0.00%"
"Apr 23, 2019","0.415","0.425","0.425","0.410","6.45M","-4.60%"
"Apr 22, 2019","0.435","0.405","0.440","0.405","14.61M","7.41%"
"Apr 19, 2019","0.405","0.395","0.405","0.390","2.24M","3.85%"
"Apr 18, 2019","0.390","0.390","0.395","0.380","3.70M","0.00%"
"Apr 17, 2019","0.390","0.410","0.410","0.390","2.69M","-3.70%"
"Apr 16, 2019","0.405","0.405","0.410","0.400","2.70M","1.25%"
"Apr 15, 2019","0.400","0.420","0.425","0.400","2.02M","-3.61%"
"Apr 12, 2019","0.415","0.425","0.430","0.415","2.66M","-1.19%"
"Apr 11, 2019","0.420","0.440","0.440","0.415","5.42M","-3.45%"
"Apr 10, 2019","0.435","0.425","0.440","0.420","6.28M","2.35%"
"Apr 09, 2019","0.425","0.420","0.435","0.415","8.93M","1.19%"
"Apr 08, 2019","0.420","0.410","0.425","0.410","4.83M","2.44%"
"Apr 05, 2019","0.410","0.415","0.420","0.405","958.70K","-1.20%"
"Apr 04, 2019","0.415","0.420","0.430","0.415","8.58M","0.00%"
"Apr 03, 2019","0.415","0.410","0.425","0.405","5.15M","2.47%"
"Apr 02, 2019","0.405","0.420","0.420","0.405","3.31M","-1.22%"
"Apr 01, 2019","0.410","0.405","0.420","0.400","8.39M","3.80%"
"Mar 29, 2019","0.395","0.385","0.410","0.385","6.64M","2.60%"
"Mar 28, 2019","0.385","0.390","0.395","0.380","2.88M","-1.28%"
"Mar 27, 2019","0.390","0.385","0.400","0.385","2.72M","2.63%"
"Mar 26, 2019","0.380","0.370","0.390","0.370","3.84M","2.70%"
"Mar 25, 2019","0.370","0.395","0.395","0.370","5.47M","-6.33%"
"Mar 22, 2019","0.395","0.400","0.405","0.390","3.63M","-1.25%"
"Mar 21, 2019","0.400","0.400","0.415","0.395","3.09M","-1.23%"
"Mar 20, 2019","0.405","0.395","0.410","0.390","3.19M","2.53%"
"Mar 19, 2019","0.395","0.440","0.440","0.390","16.04M","-9.20%"
"Mar 18, 2019","0.435","0.410","0.450","0.405","24.44M","6.10%"
"Mar 15, 2019","0.410","0.415","0.415","0.405","5.33M","-1.20%"
"Mar 14, 2019","0.415","0.410","0.420","0.400","5.72M","1.22%"
"Mar 13, 2019","0.410","0.410","0.435","0.405","16.46M","-1.20%"
"Mar 12, 2019","0.415","0.380","0.420","0.375","32.48M","10.67%"
"Mar 11, 2019","0.375","0.385","0.390","0.375","10.17M","-1.32%"
"Mar 08, 2019","0.380","0.340","0.385","0.340","30.48M","11.76%"
