"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.275","0.270","0.275","0.260","169.60K","3.77%"
"Apr 25, 2019","0.265","0.260","0.270","0.260","160.10K","0.00%"
"Apr 24, 2019","0.265","0.245","0.275","0.245","798.40K","8.16%"
"Apr 23, 2019","0.245","0.245","0.245","0.235","172.80K","0.00%"
"Apr 22, 2019","0.245","0.245","0.250","0.245","182.40K","0.00%"
"Apr 19, 2019","0.245","0.245","0.250","0.245","61.30K","2.08%"
"Apr 18, 2019","0.240","0.260","0.260","0.230","231.40K","-5.88%"
"Apr 17, 2019","0.255","0.255","0.260","0.250","168.00K","-1.92%"
"Apr 16, 2019","0.260","0.265","0.265","0.250","136.40K","-3.70%"
"Apr 15, 2019","0.270","0.280","0.285","0.270","254.70K","-1.82%"
"Apr 12, 2019","0.275","0.275","0.275","0.265","659.30K","1.85%"
"Apr 11, 2019","0.270","0.285","0.285","0.270","301.00K","-5.26%"
"Apr 10, 2019","0.285","0.270","0.290","0.265","994.90K","5.56%"
"Apr 09, 2019","0.270","0.290","0.290","0.270","669.00K","-5.26%"
"Apr 08, 2019","0.285","0.285","0.295","0.285","1.52M","3.64%"
"Apr 05, 2019","0.275","0.270","0.290","0.265","3.05M","3.77%"
"Apr 04, 2019","0.265","0.270","0.275","0.250","749.80K","-1.85%"
"Apr 03, 2019","0.270","0.225","0.275","0.225","2.02M","20.00%"
"Apr 02, 2019","0.225","0.220","0.225","0.220","403.10K","2.27%"
"Apr 01, 2019","0.220","0.215","0.225","0.215","498.90K","4.76%"
"Mar 29, 2019","0.210","0.210","0.210","0.210","489.00K","0.00%"
"Mar 28, 2019","0.210","0.210","0.210","0.210","28.80K","0.00%"
"Mar 27, 2019","0.210","0.210","0.210","0.205","133.50K","0.00%"
"Mar 26, 2019","0.210","0.210","0.215","0.210","236.70K","0.00%"
"Mar 25, 2019","0.210","0.220","0.225","0.205","1.11M","-6.67%"
"Mar 22, 2019","0.225","0.230","0.230","0.220","563.90K","-2.17%"
"Mar 21, 2019","0.230","0.235","0.235","0.225","307.10K","-2.13%"
"Mar 20, 2019","0.235","0.225","0.235","0.225","228.30K","0.00%"
"Mar 19, 2019","0.235","0.240","0.260","0.225","6.18M","4.44%"
"Mar 18, 2019","0.225","0.210","0.225","0.200","990.40K","12.50%"
"Mar 15, 2019","0.200","0.205","0.210","0.200","229.10K","-2.44%"
"Mar 14, 2019","0.205","0.205","0.215","0.205","1.22M","-2.38%"
"Mar 13, 2019","0.210","0.205","0.210","0.205","354.20K","2.44%"
"Mar 12, 2019","0.205","0.210","0.210","0.205","280.70K","-2.38%"
"Mar 11, 2019","0.210","0.215","0.215","0.205","715.90K","-2.33%"
"Mar 08, 2019","0.215","0.210","0.240","0.210","1.67M","-2.27%"
"Mar 07, 2019","0.220","0.230","0.230","0.210","370.10K","4.76%"
"Mar 06, 2019","0.210","0.210","0.220","0.210","70.50K","-8.70%"
"Mar 01, 2019","0.230","0.220","0.230","0.215","25.10K","0.00%"
"Feb 28, 2019","0.230","0.230","0.235","0.230","160.00K","-2.13%"
"Feb 26, 2019","0.235","0.220","0.235","0.220","27.50K","0.00%"
"Feb 25, 2019","0.235","0.225","0.235","0.225","1.90K","0.00%"
"Feb 21, 2019","0.235","0.225","0.235","0.220","214.70K","0.00%"
"Feb 20, 2019","0.235","0.220","0.235","0.220","12.30K","4.44%"
"Feb 19, 2019","0.225","0.225","0.225","0.225","31.00K","0.00%"
"Feb 18, 2019","0.225","0.220","0.225","0.220","130.40K","-2.17%"
"Feb 15, 2019","0.230","0.220","0.230","0.215","108.20K","4.55%"
"Feb 14, 2019","0.220","0.220","0.220","0.220","34.00K","-6.38%"
"Feb 13, 2019","0.235","0.235","0.235","0.235","4.00K","6.82%"
"Feb 12, 2019","0.220","0.215","0.220","0.215","107.40K","0.00%"
"Feb 08, 2019","0.220","0.220","0.220","0.220","0.50K","0.00%"
"Feb 07, 2019","0.220","0.225","0.225","0.220","100.00K","-2.22%"
"Jan 31, 2019","0.225","0.225","0.225","0.225","13.00K","0.00%"
"Jan 30, 2019","0.225","0.225","0.225","0.225","98.00K","2.27%"
"Jan 28, 2019","0.220","0.220","0.220","0.220","20.00K","0.00%"
"Jan 23, 2019","0.220","0.220","0.220","0.220","10.00K","-4.35%"
"Jan 22, 2019","0.230","0.230","0.230","0.230","30.00K","0.00%"
"Jan 17, 2019","0.230","0.220","0.245","0.220","252.50K","4.55%"
"Jan 16, 2019","0.220","0.230","0.230","0.220","17.40K","0.00%"
"Jan 15, 2019","0.220","0.220","0.220","0.220","7.70K","0.00%"
"Jan 14, 2019","0.220","0.220","0.220","0.220","20.00K","0.00%"
"Jan 11, 2019","0.220","0.225","0.225","0.220","16.40K","0.00%"
"Jan 10, 2019","0.220","0.220","0.220","0.220","41.50K","-4.35%"
"Jan 09, 2019","0.230","0.225","0.230","0.215","45.20K","6.98%"
"Jan 08, 2019","0.215","0.215","0.215","0.215","1.20K","0.00%"
"Jan 07, 2019","0.215","0.220","0.220","0.215","125.00K","-4.44%"
"Jan 04, 2019","0.225","0.205","0.225","0.205","214.50K","9.76%"
"Jan 03, 2019","0.205","0.200","0.205","0.200","34.30K","-2.38%"
"Jan 02, 2019","0.210","0.200","0.210","0.200","92.90K","-2.33%"
