"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.335","0.330","0.335","0.330","260.60K","0.00%"
"Apr 25, 2019","0.335","0.335","0.335","0.330","531.20K","0.00%"
"Apr 24, 2019","0.335","0.335","0.345","0.330","770.30K","0.00%"
"Apr 23, 2019","0.335","0.340","0.340","0.330","619.70K","-1.47%"
"Apr 22, 2019","0.340","0.325","0.350","0.325","2.11M","6.25%"
"Apr 19, 2019","0.320","0.325","0.330","0.320","512.00K","-1.54%"
"Apr 18, 2019","0.325","0.320","0.325","0.315","625.00K","3.17%"
"Apr 17, 2019","0.315","0.325","0.325","0.310","533.60K","-4.55%"
"Apr 16, 2019","0.330","0.320","0.330","0.310","1.60M","3.13%"
"Apr 15, 2019","0.320","0.350","0.350","0.320","1.46M","-7.25%"
"Apr 12, 2019","0.345","0.345","0.355","0.345","998.80K","-1.43%"
"Apr 11, 2019","0.350","0.355","0.355","0.340","824.20K","-1.41%"
"Apr 10, 2019","0.355","0.360","0.365","0.350","3.53M","-1.39%"
"Apr 09, 2019","0.360","0.365","0.385","0.355","3.57M","-1.37%"
"Apr 08, 2019","0.365","0.360","0.365","0.355","744.50K","0.00%"
"Apr 05, 2019","0.365","0.375","0.375","0.355","691.40K","-2.67%"
"Apr 04, 2019","0.375","0.350","0.375","0.350","2.42M","7.14%"
"Apr 03, 2019","0.350","0.340","0.350","0.340","301.70K","0.00%"
"Apr 02, 2019","0.350","0.355","0.355","0.340","460.30K","-1.41%"
"Apr 01, 2019","0.355","0.355","0.370","0.355","2.62M","1.43%"
"Mar 29, 2019","0.350","0.340","0.350","0.335","437.80K","1.45%"
"Mar 28, 2019","0.345","0.335","0.350","0.335","303.40K","1.47%"
"Mar 27, 2019","0.340","0.355","0.355","0.340","220.10K","-4.23%"
"Mar 26, 2019","0.355","0.350","0.360","0.345","588.90K","1.43%"
"Mar 25, 2019","0.350","0.340","0.365","0.335","3.28M","2.94%"
"Mar 22, 2019","0.340","0.335","0.345","0.325","1.97M","9.68%"
"Mar 21, 2019","0.310","0.315","0.315","0.305","308.50K","0.00%"
"Mar 20, 2019","0.310","0.305","0.310","0.305","203.40K","0.00%"
"Mar 19, 2019","0.310","0.315","0.315","0.305","759.90K","-3.12%"
"Mar 18, 2019","0.320","0.330","0.330","0.315","707.40K","-3.03%"
"Mar 15, 2019","0.330","0.330","0.330","0.325","287.90K","0.00%"
"Mar 14, 2019","0.330","0.325","0.335","0.320","1.31M","1.54%"
"Mar 13, 2019","0.325","0.335","0.350","0.325","1.27M","-2.99%"
"Mar 12, 2019","0.335","0.325","0.355","0.320","2.56M","3.08%"
"Mar 11, 2019","0.325","0.300","0.335","0.300","1.49M","6.56%"
"Mar 08, 2019","0.305","0.320","0.320","0.305","450.40K","-4.69%"
"Mar 07, 2019","0.320","0.305","0.325","0.295","2.78M","8.47%"
"Mar 06, 2019","0.295","0.295","0.295","0.290","166.60K","0.00%"
"Mar 05, 2019","0.295","0.305","0.305","0.290","313.30K","-4.84%"
"Mar 04, 2019","0.310","0.280","0.315","0.280","259.60K","6.90%"
"Mar 01, 2019","0.290","0.280","0.300","0.275","771.80K","3.57%"
"Feb 28, 2019","0.280","0.320","0.330","0.280","1.16M","-12.50%"
"Feb 27, 2019","0.320","0.320","0.330","0.315","134.00K","-1.54%"
"Feb 26, 2019","0.325","0.330","0.335","0.325","254.30K","-2.99%"
"Feb 25, 2019","0.335","0.350","0.350","0.335","296.20K","-1.47%"
"Feb 22, 2019","0.340","0.355","0.355","0.340","323.00K","-2.86%"
