"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.450","1.520","1.520","1.450","62.00K","-4.61%"
"Apr 25, 2019","1.520","1.520","1.520","1.520","28.00K","0.00%"
"Apr 24, 2019","1.520","1.520","1.520","1.520","22.80K","2.01%"
"Apr 23, 2019","1.490","1.490","1.490","1.490","6.70K","3.47%"
"Apr 22, 2019","1.440","1.420","1.440","1.420","22.00K","-3.36%"
"Apr 19, 2019","1.490","1.420","1.490","1.420","1.10K","0.68%"
"Apr 18, 2019","1.480","1.480","1.480","1.450","56.10K","0.00%"
"Apr 17, 2019","1.480","1.490","1.490","1.480","37.90K","-0.67%"
"Apr 15, 2019","1.490","1.490","1.490","1.490","6.20K","-0.67%"
"Apr 12, 2019","1.500","1.500","1.500","1.500","22.00K","0.00%"
"Apr 11, 2019","1.500","1.510","1.510","1.500","61.50K","-0.66%"
"Apr 10, 2019","1.510","1.510","1.570","1.510","83.40K","-0.66%"
"Apr 09, 2019","1.520","1.520","1.520","1.520","4.00K","0.00%"
"Apr 08, 2019","1.520","1.570","1.570","1.520","2.00K","0.00%"
"Apr 05, 2019","1.520","1.530","1.530","1.520","42.90K","0.00%"
"Apr 04, 2019","1.520","1.560","1.560","1.520","30.50K","-3.80%"
"Apr 02, 2019","1.580","1.560","1.580","1.560","20.30K","-2.47%"
"Mar 29, 2019","1.620","1.530","1.620","1.510","40.50K","3.85%"
"Mar 28, 2019","1.560","1.610","1.610","1.560","20.00K","0.00%"
"Mar 27, 2019","1.560","1.560","1.560","1.560","1.70K","0.65%"
"Mar 26, 2019","1.550","1.600","1.600","1.550","8.00K","-0.64%"
"Mar 25, 2019","1.560","1.560","1.560","1.550","28.10K","1.96%"
"Mar 21, 2019","1.530","1.530","1.530","1.530","2.00K","-0.65%"
"Mar 20, 2019","1.540","1.540","1.590","1.540","0.30K","0.65%"
"Mar 19, 2019","1.530","1.590","1.590","1.530","34.60K","-4.38%"
"Mar 18, 2019","1.600","1.600","1.600","1.600","0.10K","4.58%"
"Mar 15, 2019","1.530","1.550","1.590","1.530","22.70K","-3.16%"
"Mar 14, 2019","1.580","1.590","1.590","1.580","26.30K","-0.63%"
"Mar 13, 2019","1.590","1.560","1.600","1.530","67.10K","0.63%"
"Mar 12, 2019","1.580","1.520","1.580","1.500","52.20K","3.95%"
"Mar 11, 2019","1.520","1.540","1.540","1.510","36.00K","-1.94%"
"Mar 08, 2019","1.550","1.580","1.610","1.550","192.40K","-3.73%"
"Mar 07, 2019","1.610","1.580","1.620","1.550","108.50K","1.90%"
"Mar 06, 2019","1.580","1.580","1.590","1.580","49.30K","3.27%"
"Mar 05, 2019","1.530","1.520","1.550","1.520","52.50K","0.00%"
"Mar 04, 2019","1.530","1.680","1.680","1.510","241.60K","-7.27%"
"Mar 01, 2019","1.650","1.770","1.770","1.500","321.60K","-7.30%"
"Feb 28, 2019","1.780","1.750","1.780","1.710","38.10K","-0.56%"
"Feb 27, 2019","1.790","1.720","1.800","1.720","125.90K","4.68%"
"Feb 26, 2019","1.710","1.710","1.710","1.710","1.00K","-1.16%"
"Feb 25, 2019","1.730","1.730","1.740","1.730","22.40K","0.00%"
"Feb 22, 2019","1.730","1.750","1.770","1.730","34.90K","-3.35%"
"Feb 21, 2019","1.790","1.740","1.790","1.740","72.00K","0.00%"
"Feb 19, 2019","1.790","1.760","1.790","1.760","75.90K","0.00%"
"Feb 18, 2019","1.790","1.760","1.790","1.760","80.00K","0.00%"
"Feb 15, 2019","1.790","1.780","1.790","1.760","121.00K","-0.56%"
"Feb 14, 2019","1.800","1.750","1.800","1.680","107.20K","2.27%"
"Feb 13, 2019","1.760","1.790","1.810","1.750","78.60K","-2.22%"
"Feb 12, 2019","1.800","1.780","1.800","1.770","200.40K","1.12%"
"Feb 11, 2019","1.780","1.770","1.820","1.770","279.70K","0.56%"
"Feb 08, 2019","1.770","1.810","1.840","1.750","239.60K","-1.12%"
"Feb 07, 2019","1.790","1.640","1.860","1.640","511.30K","11.18%"
"Feb 04, 2019","1.610","1.520","1.650","1.520","130.20K","4.55%"
"Jan 31, 2019","1.540","1.630","1.630","1.540","156.50K","-3.75%"
"Jan 30, 2019","1.600","1.620","1.640","1.600","75.00K","-2.44%"
"Jan 29, 2019","1.640","1.620","1.660","1.590","144.10K","0.00%"
"Jan 28, 2019","1.640","1.700","1.700","1.620","220.60K","-3.53%"
"Jan 25, 2019","1.700","1.710","1.840","1.670","565.20K","1.19%"
"Jan 24, 2019","1.680","1.780","1.800","1.620","578.20K","-4.00%"
"Jan 23, 2019","1.750","1.900","1.930","1.700","1.60M","16.67%"
"Jan 22, 2019","1.500","1.500","1.500","1.500","187.80K","29.31%"
"Jan 18, 2019","1.160","1.150","1.210","1.150","54.30K","0.87%"
"Jan 17, 2019","1.150","1.150","1.150","1.140","38.00K","4.55%"
"Jan 16, 2019","1.100","1.100","1.100","1.100","1.00K","-1.79%"
"Jan 11, 2019","1.120","1.120","1.120","1.120","2.00K","0.00%"
"Jan 09, 2019","1.120","1.120","1.150","1.120","17.00K","-0.88%"
"Jan 07, 2019","1.130","1.120","1.150","1.120","68.00K","7.62%"
"Jan 04, 2019","1.050","1.050","1.050","1.050","6.00K","-7.89%"
"Jan 02, 2019","1.140","1.140","1.140","1.140","5.00K","-0.87%"
