"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.285","0.285","0.285","0.285","17.10K","0.00%"
"Apr 25, 2019","0.285","0.285","0.290","0.285","132.30K","1.79%"
"Apr 24, 2019","0.280","0.280","0.280","0.280","25.00K","0.00%"
"Apr 23, 2019","0.280","0.280","0.280","0.280","30.00K","0.00%"
"Apr 22, 2019","0.280","0.290","0.290","0.280","45.70K","-3.45%"
"Apr 19, 2019","0.290","0.280","0.290","0.280","188.50K","3.57%"
"Apr 18, 2019","0.280","0.280","0.280","0.280","107.90K","-1.75%"
"Apr 17, 2019","0.285","0.285","0.285","0.285","114.90K","0.00%"
"Apr 16, 2019","0.285","0.290","0.290","0.285","24.40K","-1.72%"
"Apr 15, 2019","0.290","0.290","0.290","0.285","32.70K","-3.33%"
"Apr 12, 2019","0.300","0.290","0.300","0.290","87.10K","5.26%"
"Apr 11, 2019","0.285","0.290","0.290","0.285","190.00K","-3.39%"
"Apr 10, 2019","0.295","0.290","0.295","0.290","55.00K","1.72%"
"Apr 09, 2019","0.290","0.290","0.290","0.285","146.80K","-3.33%"
"Apr 08, 2019","0.300","0.285","0.300","0.285","42.20K","0.00%"
"Apr 04, 2019","0.300","0.290","0.300","0.290","31.40K","3.45%"
"Apr 03, 2019","0.290","0.290","0.295","0.290","44.60K","0.00%"
"Apr 02, 2019","0.290","0.290","0.295","0.285","140.30K","1.75%"
"Apr 01, 2019","0.285","0.285","0.285","0.285","88.40K","-1.72%"
"Mar 29, 2019","0.290","0.280","0.290","0.280","220.00K","3.57%"
"Mar 28, 2019","0.280","0.290","0.295","0.280","126.60K","-5.08%"
"Mar 27, 2019","0.295","0.295","0.295","0.295","31.80K","0.00%"
"Mar 26, 2019","0.295","0.300","0.300","0.295","62.90K","-1.67%"
"Mar 25, 2019","0.300","0.300","0.300","0.300","107.00K","0.00%"
"Mar 22, 2019","0.300","0.300","0.305","0.290","200.90K","0.00%"
"Mar 21, 2019","0.300","0.300","0.310","0.295","332.70K","-1.64%"
"Mar 20, 2019","0.305","0.305","0.305","0.300","91.20K","1.67%"
"Mar 19, 2019","0.300","0.320","0.320","0.300","194.10K","-3.23%"
"Mar 18, 2019","0.310","0.320","0.330","0.305","1.62M","-1.59%"
"Mar 15, 2019","0.315","0.300","0.320","0.300","1.11M","3.28%"
"Mar 14, 2019","0.305","0.305","0.305","0.300","164.60K","0.00%"
"Mar 13, 2019","0.305","0.300","0.310","0.300","590.80K","1.67%"
"Mar 12, 2019","0.300","0.300","0.305","0.300","47.00K","0.00%"
"Mar 11, 2019","0.300","0.300","0.305","0.295","67.40K","1.69%"
"Mar 08, 2019","0.295","0.300","0.305","0.295","143.80K","-4.84%"
"Mar 07, 2019","0.310","0.300","0.310","0.295","424.40K","5.08%"
"Mar 06, 2019","0.295","0.295","0.300","0.290","74.50K","-1.67%"
"Mar 05, 2019","0.300","0.295","0.300","0.295","70.00K","-1.64%"
"Mar 04, 2019","0.305","0.300","0.310","0.295","266.80K","1.67%"
"Mar 01, 2019","0.300","0.285","0.300","0.285","227.10K","5.26%"
"Feb 28, 2019","0.285","0.295","0.305","0.285","199.70K","-6.56%"
"Feb 27, 2019","0.305","0.285","0.305","0.285","215.80K","5.17%"
"Feb 26, 2019","0.290","0.290","0.290","0.285","200.50K","-1.69%"
"Feb 25, 2019","0.295","0.300","0.305","0.290","743.60K","-1.67%"
"Feb 22, 2019","0.300","0.295","0.300","0.295","70.50K","0.00%"
"Feb 21, 2019","0.300","0.295","0.300","0.290","101.80K","1.69%"
"Feb 20, 2019","0.295","0.285","0.305","0.285","972.10K","3.51%"
"Feb 19, 2019","0.285","0.285","0.290","0.285","236.40K","1.79%"
"Feb 18, 2019","0.280","0.285","0.285","0.280","276.90K","-1.75%"
"Feb 15, 2019","0.285","0.295","0.295","0.285","219.40K","-1.72%"
"Feb 14, 2019","0.290","0.285","0.295","0.280","288.00K","1.75%"
"Feb 13, 2019","0.285","0.290","0.300","0.280","590.70K","0.00%"
"Feb 12, 2019","0.285","0.280","0.295","0.280","1.02M","1.79%"
"Feb 11, 2019","0.280","0.275","0.295","0.275","1.11M","3.70%"
"Feb 08, 2019","0.270","0.270","0.275","0.270","78.90K","0.00%"
"Feb 07, 2019","0.270","0.270","0.270","0.270","13.60K","0.00%"
"Feb 04, 2019","0.270","0.265","0.270","0.265","29.30K","0.00%"
"Jan 31, 2019","0.270","0.280","0.280","0.270","523.00K","-1.82%"
"Jan 30, 2019","0.275","0.275","0.275","0.275","219.10K","0.00%"
"Jan 29, 2019","0.275","0.280","0.280","0.275","64.00K","-1.79%"
"Jan 28, 2019","0.280","0.270","0.280","0.270","173.00K","3.70%"
"Jan 25, 2019","0.270","0.270","0.280","0.270","1.25M","0.00%"
"Jan 24, 2019","0.270","0.295","0.300","0.270","1.64M","-10.00%"
"Jan 23, 2019","0.300","0.310","0.310","0.295","310.20K","-1.64%"
"Jan 22, 2019","0.305","0.310","0.320","0.305","1.17M","-1.61%"
"Jan 18, 2019","0.310","0.315","0.315","0.295","225.60K","0.00%"
"Jan 17, 2019","0.310","0.295","0.310","0.290","15.60K","0.00%"
"Jan 16, 2019","0.310","0.290","0.310","0.285","53.80K","3.33%"
"Jan 15, 2019","0.300","0.290","0.300","0.290","16.50K","-1.64%"
"Jan 14, 2019","0.305","0.295","0.305","0.290","50.50K","3.39%"
"Jan 11, 2019","0.295","0.305","0.310","0.295","21.60K","-1.67%"
"Jan 10, 2019","0.300","0.295","0.300","0.290","166.90K","3.45%"
"Jan 09, 2019","0.290","0.285","0.300","0.285","169.80K","-1.69%"
"Jan 08, 2019","0.295","0.285","0.295","0.285","1.10K","0.00%"
"Jan 07, 2019","0.295","0.290","0.300","0.285","35.80K","1.72%"
"Jan 04, 2019","0.290","0.290","0.300","0.280","228.50K","3.57%"
"Jan 03, 2019","0.280","0.280","0.280","0.280","35.00K","0.00%"
"Jan 02, 2019","0.280","0.290","0.290","0.280","65.00K","1.82%"
