"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.120","0.120","0.120","0.120","125.40K","0.00%"
"Apr 25, 2019","0.120","0.125","0.125","0.120","191.00K","0.00%"
"Apr 24, 2019","0.120","0.125","0.125","0.120","371.20K","-4.00%"
"Apr 23, 2019","0.125","0.125","0.125","0.125","16.00K","4.17%"
"Apr 22, 2019","0.120","0.120","0.120","0.120","15.00K","-4.00%"
"Apr 19, 2019","0.125","0.120","0.125","0.120","112.00K","4.17%"
"Apr 18, 2019","0.120","0.120","0.120","0.120","565.50K","0.00%"
"Apr 17, 2019","0.120","0.125","0.125","0.120","90.00K","0.00%"
"Apr 16, 2019","0.120","0.120","0.120","0.120","50.00K","-4.00%"
"Apr 15, 2019","0.125","0.125","0.125","0.125","135.00K","0.00%"
"Apr 12, 2019","0.125","0.125","0.125","0.125","125.00K","-3.85%"
"Apr 11, 2019","0.130","0.125","0.130","0.120","71.80K","0.00%"
"Apr 10, 2019","0.130","0.125","0.130","0.125","16.30K","4.00%"
"Apr 09, 2019","0.125","0.125","0.125","0.125","130.00K","-3.85%"
"Apr 08, 2019","0.130","0.125","0.130","0.125","283.10K","4.00%"
"Apr 04, 2019","0.125","0.125","0.125","0.125","277.00K","0.00%"
"Apr 03, 2019","0.125","0.125","0.125","0.125","398.00K","4.17%"
"Apr 01, 2019","0.120","0.125","0.125","0.120","290.00K","0.00%"
"Mar 29, 2019","0.120","0.120","0.120","0.120","50.00K","-4.00%"
"Mar 27, 2019","0.125","0.125","0.125","0.120","180.00K","0.00%"
"Mar 26, 2019","0.125","0.125","0.125","0.125","31.50K","0.00%"
"Mar 25, 2019","0.125","0.125","0.125","0.120","100.00K","0.00%"
"Mar 22, 2019","0.125","0.125","0.125","0.120","110.00K","0.00%"
"Mar 21, 2019","0.125","0.125","0.125","0.125","80.00K","0.00%"
"Mar 20, 2019","0.125","0.125","0.125","0.125","197.00K","0.00%"
"Mar 19, 2019","0.125","0.130","0.130","0.125","245.00K","0.00%"
"Mar 18, 2019","0.125","0.125","0.125","0.125","101.00K","0.00%"
"Mar 15, 2019","0.125","0.125","0.125","0.125","35.00K","0.00%"
"Mar 14, 2019","0.125","0.125","0.125","0.125","50.00K","0.00%"
"Mar 13, 2019","0.125","0.125","0.125","0.125","424.00K","0.00%"
"Mar 12, 2019","0.125","0.125","0.125","0.125","245.00K","0.00%"
"Mar 11, 2019","0.125","0.125","0.125","0.125","215.00K","-3.85%"
"Mar 08, 2019","0.130","0.130","0.130","0.130","70.00K","0.00%"
"Mar 07, 2019","0.130","0.125","0.135","0.125","2.42M","4.00%"
"Mar 06, 2019","0.125","0.125","0.125","0.125","70.00K","4.17%"
"Mar 05, 2019","0.120","0.120","0.120","0.120","1.09M","0.00%"
"Mar 04, 2019","0.120","0.120","0.120","0.120","110.00K","0.00%"
"Mar 01, 2019","0.120","0.120","0.120","0.120","95.00K","0.00%"
"Feb 28, 2019","0.120","0.120","0.120","0.120","2.00K","-4.00%"
"Feb 27, 2019","0.125","0.125","0.125","0.125","40.00K","4.17%"
"Feb 26, 2019","0.120","0.120","0.120","0.120","5.00K","0.00%"
"Feb 25, 2019","0.120","0.125","0.125","0.120","10.00K","-4.00%"
"Feb 22, 2019","0.125","0.125","0.125","0.125","50.00K","0.00%"
"Feb 21, 2019","0.125","0.125","0.130","0.125","182.90K","0.00%"
"Feb 20, 2019","0.125","0.125","0.130","0.125","1.15M","4.17%"
"Feb 19, 2019","0.120","0.125","0.125","0.120","70.50K","-4.00%"
"Feb 18, 2019","0.125","0.125","0.125","0.125","1.00M","-3.85%"
"Feb 15, 2019","0.130","0.125","0.130","0.125","200.00K","4.00%"
"Feb 14, 2019","0.125","0.125","0.125","0.125","200.00K","0.00%"
"Feb 13, 2019","0.125","0.125","0.125","0.125","689.00K","0.00%"
"Feb 11, 2019","0.125","0.125","0.125","0.125","98.80K","0.00%"
"Feb 08, 2019","0.125","0.125","0.125","0.125","695.70K","4.17%"
