"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2019","1.750","1.750","1.750","1.750","11.00K","0.00%"
"Apr 24, 2019","1.750","1.750","1.750","1.750","1.70K","0.00%"
"Apr 03, 2019","1.750","1.700","1.750","1.700","2.80K","2.94%"
"Mar 07, 2019","1.700","1.700","1.700","1.700","0.60K","0.00%"
"Mar 01, 2019","1.700","1.700","1.700","1.700","3.00K","-2.86%"
"Feb 27, 2019","1.750","1.750","1.750","1.750","3.00K","2.94%"
"Feb 26, 2019","1.700","1.700","1.700","1.700","1.20K","0.00%"
"Feb 22, 2019","1.700","1.700","1.700","1.700","1.00K","6.25%"
"Feb 21, 2019","1.600","1.600","1.600","1.600","1.00K","0.00%"
"Feb 11, 2019","1.600","1.600","1.600","1.600","1.80K","0.00%"
"Jan 31, 2019","1.600","1.600","1.600","1.600","1.00K","3.90%"
