"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.255","0.250","0.260","0.250","676.90K","2.00%"
"Apr 25, 2019","0.250","0.240","0.250","0.240","130.00K","0.00%"
"Apr 24, 2019","0.250","0.250","0.250","0.250","164.70K","2.04%"
"Apr 23, 2019","0.245","0.245","0.245","0.245","235.00K","0.00%"
"Apr 22, 2019","0.245","0.235","0.245","0.235","310.90K","4.26%"
"Apr 19, 2019","0.235","0.235","0.240","0.235","22.10K","-2.08%"
"Apr 18, 2019","0.240","0.235","0.245","0.235","231.00K","2.13%"
"Apr 17, 2019","0.235","0.235","0.235","0.230","199.80K","0.00%"
"Apr 16, 2019","0.235","0.230","0.235","0.230","70.00K","-4.08%"
"Apr 15, 2019","0.245","0.245","0.245","0.245","50.00K","4.26%"
"Apr 12, 2019","0.235","0.235","0.235","0.235","102.60K","-4.08%"
"Apr 10, 2019","0.245","0.235","0.245","0.235","49.00K","2.08%"
"Apr 09, 2019","0.240","0.240","0.240","0.235","179.00K","0.00%"
"Apr 08, 2019","0.240","0.240","0.240","0.240","88.80K","-4.00%"
"Apr 05, 2019","0.250","0.250","0.250","0.240","81.00K","4.17%"
"Apr 04, 2019","0.240","0.240","0.240","0.240","252.20K","-4.00%"
"Apr 03, 2019","0.250","0.250","0.255","0.245","5.55M","4.17%"
"Apr 02, 2019","0.240","0.240","0.240","0.240","20.10K","0.00%"
"Apr 01, 2019","0.240","0.240","0.240","0.240","142.50K","0.00%"
"Mar 29, 2019","0.240","0.240","0.240","0.240","134.50K","0.00%"
"Mar 28, 2019","0.240","0.240","0.240","0.240","268.40K","-2.04%"
"Mar 27, 2019","0.245","0.240","0.245","0.240","140.50K","2.08%"
"Mar 26, 2019","0.240","0.240","0.240","0.240","91.50K","0.00%"
"Mar 25, 2019","0.240","0.250","0.250","0.240","484.00K","-5.88%"
"Mar 22, 2019","0.255","0.235","0.255","0.235","8.18M","4.08%"
"Mar 21, 2019","0.245","0.240","0.250","0.240","2.18M","2.08%"
"Mar 20, 2019","0.240","0.240","0.240","0.230","1.60M","-4.00%"
"Mar 19, 2019","0.250","0.260","0.270","0.245","17.98M","-3.85%"
"Mar 18, 2019","0.260","0.255","0.275","0.255","11.50M","1.96%"
"Mar 15, 2019","0.255","0.235","0.255","0.230","496.60K","8.51%"
"Mar 14, 2019","0.235","0.245","0.245","0.225","490.10K","6.82%"
"Mar 13, 2019","0.220","0.230","0.230","0.220","278.40K","-2.22%"
"Mar 12, 2019","0.225","0.225","0.225","0.225","84.00K","2.27%"
"Mar 11, 2019","0.220","0.225","0.230","0.220","96.80K","0.00%"
"Mar 08, 2019","0.220","0.225","0.225","0.220","518.20K","-2.22%"
"Mar 07, 2019","0.225","0.225","0.230","0.225","50.50K","-2.17%"
"Mar 06, 2019","0.230","0.230","0.230","0.230","59.00K","0.00%"
"Mar 05, 2019","0.230","0.230","0.230","0.230","20.00K","0.00%"
"Mar 04, 2019","0.230","0.230","0.230","0.230","50.30K","0.00%"
"Mar 01, 2019","0.230","0.230","0.235","0.230","45.20K","0.00%"
"Feb 28, 2019","0.230","0.250","0.250","0.230","137.30K","-2.13%"
"Feb 27, 2019","0.235","0.240","0.240","0.235","121.00K","-2.08%"
"Feb 26, 2019","0.240","0.240","0.240","0.235","227.50K","-2.04%"
"Feb 25, 2019","0.245","0.240","0.245","0.240","73.50K","4.26%"
"Feb 22, 2019","0.235","0.245","0.245","0.235","49.40K","-2.08%"
"Feb 21, 2019","0.240","0.245","0.245","0.240","235.00K","0.00%"
"Feb 20, 2019","0.240","0.240","0.240","0.240","61.50K","0.00%"
"Feb 19, 2019","0.240","0.240","0.245","0.240","79.50K","0.00%"
"Feb 18, 2019","0.240","0.240","0.240","0.240","170.00K","2.13%"
"Feb 15, 2019","0.235","0.240","0.240","0.235","155.10K","-4.08%"
"Feb 14, 2019","0.245","0.240","0.245","0.240","102.90K","-2.00%"
"Feb 13, 2019","0.250","0.235","0.250","0.235","1.31M","8.70%"
"Feb 12, 2019","0.230","0.225","0.230","0.225","1.24M","2.22%"
"Feb 11, 2019","0.225","0.225","0.230","0.220","585.70K","2.27%"
"Feb 08, 2019","0.220","0.220","0.225","0.220","307.60K","0.00%"
"Feb 07, 2019","0.220","0.220","0.225","0.220","440.00K","0.00%"
"Feb 04, 2019","0.220","0.225","0.225","0.220","788.00K","-2.22%"
"Jan 31, 2019","0.225","0.225","0.230","0.225","520.00K","0.00%"
"Jan 30, 2019","0.225","0.230","0.230","0.225","582.10K","-2.17%"
