"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.060","0.060","0.060","0.060","144.00K","-7.69%"
"Apr 25, 2019","0.065","0.060","0.065","0.060","51.80K","0.00%"
"Apr 24, 2019","0.065","0.065","0.070","0.065","75.30K","0.00%"
"Apr 23, 2019","0.065","0.065","0.065","0.060","120.40K","8.33%"
"Apr 22, 2019","0.060","0.060","0.060","0.060","5.00K","-7.69%"
"Apr 18, 2019","0.065","0.065","0.065","0.060","353.20K","8.33%"
"Apr 17, 2019","0.060","0.060","0.060","0.060","50.00K","-7.69%"
"Apr 16, 2019","0.065","0.065","0.065","0.065","4.00K","0.00%"
"Apr 12, 2019","0.065","0.065","0.065","0.055","20.60K","8.33%"
"Apr 11, 2019","0.060","0.055","0.065","0.055","189.50K","0.00%"
"Apr 10, 2019","0.060","0.060","0.060","0.060","21.00K","0.00%"
"Apr 09, 2019","0.060","0.060","0.065","0.055","1.99M","0.00%"
"Apr 08, 2019","0.060","0.060","0.065","0.060","877.20K","0.00%"
"Apr 05, 2019","0.060","0.055","0.060","0.055","31.00K","0.00%"
"Apr 04, 2019","0.060","0.055","0.060","0.055","369.00K","0.00%"
"Apr 03, 2019","0.060","0.055","0.060","0.055","25.00K","0.00%"
"Apr 02, 2019","0.060","0.060","0.060","0.060","8.50K","0.00%"
"Apr 01, 2019","0.060","0.060","0.060","0.055","5.56M","9.09%"
"Mar 29, 2019","0.055","0.055","0.055","0.055","135.00K","0.00%"
"Mar 28, 2019","0.055","0.055","0.055","0.055","300.10K","0.00%"
"Mar 27, 2019","0.055","0.060","0.060","0.055","58.40K","-8.33%"
"Mar 26, 2019","0.060","0.060","0.060","0.060","5.17M","0.00%"
"Mar 25, 2019","0.060","0.060","0.060","0.060","37.00K","0.00%"
"Mar 22, 2019","0.060","0.065","0.065","0.060","62.60K","-7.69%"
"Mar 21, 2019","0.065","0.060","0.065","0.060","157.20K","8.33%"
"Mar 20, 2019","0.060","0.060","0.060","0.055","355.20K","0.00%"
"Mar 19, 2019","0.060","0.060","0.060","0.060","150.00K","-7.69%"
"Mar 18, 2019","0.065","0.060","0.065","0.060","653.60K","8.33%"
"Mar 15, 2019","0.060","0.055","0.060","0.055","52.00K","0.00%"
"Mar 14, 2019","0.060","0.060","0.060","0.060","63.00K","0.00%"
"Mar 13, 2019","0.060","0.055","0.060","0.055","202.00K","9.09%"
"Mar 12, 2019","0.055","0.055","0.055","0.055","38.00K","0.00%"
"Mar 11, 2019","0.055","0.055","0.060","0.055","260.00K","-8.33%"
"Mar 07, 2019","0.060","0.060","0.060","0.060","61.50K","9.09%"
"Mar 06, 2019","0.055","0.060","0.060","0.055","485.00K","-8.33%"
"Mar 05, 2019","0.060","0.060","0.060","0.060","680.00K","0.00%"
"Mar 04, 2019","0.060","0.060","0.060","0.060","536.00K","0.00%"
"Mar 01, 2019","0.060","0.060","0.060","0.060","35.00K","0.00%"
"Feb 28, 2019","0.060","0.060","0.060","0.060","101.00K","-7.69%"
"Feb 27, 2019","0.065","0.065","0.065","0.065","60.00K","8.33%"
"Feb 26, 2019","0.060","0.065","0.070","0.060","2.29M","-7.69%"
"Feb 25, 2019","0.065","0.065","0.065","0.065","81.00K","0.00%"
"Feb 22, 2019","0.065","0.065","0.065","0.065","210.00K","0.00%"
"Feb 21, 2019","0.065","0.065","0.070","0.060","413.00K","0.00%"
"Feb 20, 2019","0.065","0.060","0.065","0.060","2.40M","8.33%"
"Feb 19, 2019","0.060","0.065","0.065","0.060","2.85M","-7.69%"
"Feb 18, 2019","0.065","0.070","0.070","0.065","1.29M","-7.14%"
"Feb 15, 2019","0.070","0.075","0.075","0.070","2.21M","-6.67%"
"Feb 14, 2019","0.075","0.075","0.075","0.075","1.15M","-6.25%"
"Feb 13, 2019","0.080","0.075","0.080","0.075","5.36M","6.67%"
"Feb 12, 2019","0.075","0.075","0.080","0.075","83.50K","-6.25%"
"Feb 11, 2019","0.080","0.075","0.080","0.075","87.00K","6.67%"
"Feb 08, 2019","0.075","0.075","0.075","0.075","56.00K","0.00%"
"Feb 07, 2019","0.075","0.070","0.080","0.070","6.21M","7.14%"
"Feb 04, 2019","0.070","0.070","0.070","0.070","30.00K","-12.50%"
"Jan 31, 2019","0.080","0.075","0.080","0.075","88.50K","6.67%"
"Jan 30, 2019","0.075","0.070","0.080","0.070","301.20K","0.00%"
"Jan 29, 2019","0.075","0.075","0.080","0.075","162.60K","-6.25%"
"Jan 28, 2019","0.080","0.070","0.080","0.070","322.70K","0.00%"
"Jan 23, 2019","0.080","0.075","0.080","0.075","71.10K","0.00%"
"Jan 17, 2019","0.080","0.080","0.080","0.080","95.00K","0.00%"
"Jan 16, 2019","0.080","0.075","0.080","0.075","86.20K","0.00%"
"Jan 15, 2019","0.080","0.080","0.080","0.080","0.10K","6.67%"
"Jan 14, 2019","0.075","0.075","0.075","0.075","227.00K","-6.25%"
"Jan 11, 2019","0.080","0.075","0.080","0.075","91.00K","0.00%"
"Jan 10, 2019","0.080","0.075","0.080","0.075","11.00K","0.00%"
"Jan 09, 2019","0.080","0.075","0.080","0.075","700.00K","6.67%"
"Jan 08, 2019","0.075","0.070","0.075","0.070","22.10K","0.00%"
"Jan 07, 2019","0.075","0.075","0.075","0.075","212.00K","7.14%"
"Jan 04, 2019","0.070","0.070","0.070","0.070","500.00K","0.00%"
"Jan 03, 2019","0.070","0.070","0.070","0.070","90.00K","0.00%"
"Jan 02, 2019","0.070","0.080","0.080","0.070","5.95M","-6.67%"
