"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.240","1.230","1.240","1.230","6.00K","0.00%"
"Apr 25, 2019","1.240","1.240","1.240","1.220","231.40K","0.81%"
"Apr 24, 2019","1.230","1.250","1.260","1.230","198.80K","-2.38%"
"Apr 23, 2019","1.260","1.230","1.260","1.220","184.60K","0.00%"
"Apr 22, 2019","1.260","1.230","1.260","1.230","5.20K","0.00%"
"Apr 19, 2019","1.260","1.240","1.260","1.240","156.90K","1.61%"
"Apr 18, 2019","1.240","1.190","1.240","1.190","145.30K","0.81%"
"Apr 17, 2019","1.230","1.210","1.240","1.190","140.60K","-0.81%"
"Apr 16, 2019","1.240","1.210","1.240","1.210","41.00K","-0.80%"
"Apr 15, 2019","1.250","1.210","1.260","1.200","181.50K","0.00%"
"Apr 12, 2019","1.250","1.230","1.250","1.200","252.50K","-0.79%"
"Apr 11, 2019","1.260","1.240","1.260","1.200","139.20K","0.00%"
"Apr 10, 2019","1.260","1.260","1.270","1.260","55.60K","-0.79%"
"Apr 09, 2019","1.270","1.240","1.270","1.240","74.00K","0.79%"
"Apr 08, 2019","1.260","1.260","1.260","1.250","48.70K","0.00%"
"Apr 05, 2019","1.260","1.240","1.260","1.230","36.30K","0.80%"
"Apr 04, 2019","1.250","1.270","1.270","1.220","61.60K","0.00%"
"Apr 03, 2019","1.250","1.230","1.250","1.230","5.50K","-1.57%"
"Apr 02, 2019","1.270","1.260","1.270","1.260","24.20K","0.00%"
"Apr 01, 2019","1.270","1.270","1.270","1.250","155.70K","1.60%"
"Mar 29, 2019","1.250","1.280","1.300","1.250","290.30K","-3.85%"
"Mar 28, 2019","1.300","1.250","1.300","1.250","193.50K","1.56%"
"Mar 27, 2019","1.280","1.270","1.280","1.260","265.00K","0.79%"
"Mar 26, 2019","1.270","1.210","1.270","1.210","362.00K","2.42%"
"Mar 25, 2019","1.240","1.200","1.250","1.200","123.40K","0.00%"
"Mar 22, 2019","1.240","1.200","1.240","1.200","185.90K","0.81%"
"Mar 21, 2019","1.230","1.230","1.230","1.180","189.50K","0.00%"
"Mar 20, 2019","1.230","1.160","1.230","1.160","186.50K","2.50%"
"Mar 19, 2019","1.200","1.180","1.200","1.170","151.10K","0.00%"
"Mar 18, 2019","1.200","1.180","1.200","1.140","252.40K","2.56%"
"Mar 15, 2019","1.170","1.180","1.180","1.140","138.90K","0.00%"
"Mar 14, 2019","1.170","1.150","1.170","1.120","174.80K","0.86%"
"Mar 13, 2019","1.160","1.100","1.170","1.100","220.10K","-1.69%"
"Mar 12, 2019","1.180","1.060","1.180","1.050","177.00K","7.27%"
"Mar 11, 2019","1.100","1.080","1.100","1.070","105.00K","-0.90%"
"Mar 08, 2019","1.110","1.070","1.120","1.070","457.40K","2.78%"
"Mar 07, 2019","1.080","1.070","1.080","1.060","125.10K","0.93%"
"Mar 06, 2019","1.070","1.040","1.070","1.040","195.80K","2.88%"
"Mar 05, 2019","1.040","1.070","1.080","1.040","79.20K","-3.70%"
"Mar 04, 2019","1.080","1.030","1.080","1.030","224.60K","1.89%"
"Mar 01, 2019","1.060","1.030","1.070","1.030","181.80K","0.95%"
"Feb 28, 2019","1.050","1.070","1.070","1.020","30.80K","0.00%"
"Feb 27, 2019","1.050","1.080","1.080","1.040","69.00K","-2.78%"
"Feb 26, 2019","1.080","1.040","1.080","1.010","491.40K","0.93%"
"Feb 25, 2019","1.070","1.060","1.080","1.050","29.40K","0.00%"
"Feb 22, 2019","1.070","1.050","1.070","1.030","54.10K","1.90%"
"Feb 21, 2019","1.050","1.080","1.080","1.050","23.00K","-2.78%"
"Feb 20, 2019","1.080","1.060","1.080","1.050","163.70K","1.89%"
"Feb 19, 2019","1.060","1.060","1.060","1.050","52.60K","0.00%"
"Feb 18, 2019","1.060","1.060","1.060","1.060","66.00K","0.00%"
"Feb 15, 2019","1.060","1.060","1.060","1.060","57.40K","-1.85%"
"Feb 14, 2019","1.080","1.050","1.080","1.050","16.00K","-0.92%"
"Feb 13, 2019","1.090","1.080","1.090","1.080","21.00K","-0.91%"
"Feb 12, 2019","1.100","1.090","1.100","1.060","124.50K","0.00%"
"Feb 11, 2019","1.100","1.060","1.100","1.060","197.00K","2.80%"
"Feb 04, 2019","1.070","1.070","1.070","1.070","1.00K","1.90%"
"Jan 31, 2019","1.050","1.030","1.060","1.030","164.30K","5.00%"
"Jan 30, 2019","1.000","1.000","1.000","1.000","10.00K","-4.76%"
"Jan 28, 2019","1.050","1.060","1.060","1.050","74.90K","-0.94%"
