"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.070","1.050","1.150","1.050","76.54M","0.94%"
"Apr 25, 2019","1.060","1.050","1.070","1.040","15.06M","0.95%"
"Apr 24, 2019","1.050","1.040","1.070","1.030","24.26M","0.96%"
"Apr 23, 2019","1.040","1.010","1.050","1.000","12.24M","-1.89%"
"Apr 22, 2019","1.060","1.000","1.060","1.000","77.98M","10.42%"
"Apr 19, 2019","0.960","0.945","0.970","0.940","14.36M","2.67%"
"Apr 18, 2019","0.935","0.930","0.940","0.915","8.24M","0.54%"
"Apr 17, 2019","0.930","0.950","0.950","0.915","11.10M","-1.59%"
"Apr 16, 2019","0.945","0.935","0.955","0.930","7.70M","1.07%"
"Apr 15, 2019","0.935","0.960","0.965","0.920","12.88M","-2.60%"
"Apr 12, 2019","0.960","0.970","0.990","0.945","22.51M","0.52%"
"Apr 11, 2019","0.955","0.970","0.975","0.945","16.71M","-1.55%"
"Apr 10, 2019","0.970","0.970","0.985","0.960","14.52M","0.00%"
"Apr 09, 2019","0.970","0.965","1.000","0.960","38.99M","0.00%"
"Apr 08, 2019","0.970","0.930","0.980","0.930","55.60M","5.43%"
"Apr 05, 2019","0.920","0.915","0.930","0.915","9.06M","0.00%"
"Apr 04, 2019","0.920","0.920","0.930","0.910","16.21M","0.00%"
"Apr 03, 2019","0.920","0.900","0.930","0.900","19.19M","2.22%"
"Apr 02, 2019","0.900","0.910","0.915","0.895","22.62M","-0.55%"
"Apr 01, 2019","0.905","0.885","0.925","0.875","42.25M","2.26%"
"Mar 29, 2019","0.885","0.875","0.890","0.855","27.20M","1.14%"
"Mar 28, 2019","0.875","0.855","0.880","0.845","19.38M","1.74%"
"Mar 27, 2019","0.860","0.860","0.895","0.850","62.48M","2.38%"
"Mar 26, 2019","0.840","0.815","0.845","0.815","10.97M","3.07%"
"Mar 25, 2019","0.815","0.810","0.825","0.810","3.35M","-0.61%"
"Mar 22, 2019","0.820","0.835","0.835","0.815","17.59M","-1.20%"
"Mar 21, 2019","0.830","0.815","0.835","0.805","15.62M","2.47%"
"Mar 20, 2019","0.810","0.805","0.820","0.805","3.83M","0.62%"
"Mar 19, 2019","0.805","0.825","0.825","0.805","6.34M","-1.83%"
"Mar 18, 2019","0.820","0.820","0.830","0.810","16.21M","0.61%"
"Mar 15, 2019","0.815","0.820","0.825","0.815","3.84M","-0.61%"
"Mar 14, 2019","0.820","0.815","0.830","0.805","6.14M","1.23%"
"Mar 13, 2019","0.810","0.820","0.825","0.810","7.73M","-1.82%"
"Mar 12, 2019","0.825","0.815","0.830","0.815","3.74M","1.23%"
"Mar 11, 2019","0.815","0.835","0.840","0.805","7.30M","-2.40%"
"Mar 08, 2019","0.835","0.840","0.840","0.830","8.06M","-0.60%"
"Mar 07, 2019","0.840","0.835","0.855","0.825","35.78M","0.60%"
"Mar 06, 2019","0.835","0.790","0.840","0.790","31.57M","5.70%"
"Mar 05, 2019","0.790","0.790","0.800","0.780","4.55M","0.00%"
"Mar 04, 2019","0.790","0.790","0.805","0.790","11.48M","0.64%"
"Mar 01, 2019","0.785","0.785","0.795","0.770","5.88M","0.64%"
"Feb 28, 2019","0.780","0.795","0.800","0.755","10.50M","-1.89%"
"Feb 27, 2019","0.795","0.790","0.800","0.780","8.56M","-0.62%"
"Feb 26, 2019","0.800","0.815","0.815","0.785","10.05M","-2.44%"
"Feb 25, 2019","0.820","0.845","0.845","0.810","13.81M","-2.96%"
"Feb 22, 2019","0.845","0.835","0.845","0.820","14.96M","0.60%"
"Feb 21, 2019","0.840","0.820","0.845","0.800","26.79M","2.44%"
"Feb 20, 2019","0.820","0.795","0.825","0.795","37.14M","4.46%"
"Feb 19, 2019","0.785","0.775","0.790","0.760","23.16M","1.95%"
"Feb 18, 2019","0.770","0.730","0.780","0.725","31.37M","6.21%"
"Feb 15, 2019","0.725","0.735","0.740","0.725","6.30M","-1.36%"
"Feb 14, 2019","0.735","0.730","0.740","0.720","14.31M","0.68%"
"Feb 13, 2019","0.730","0.720","0.735","0.710","10.25M","2.10%"
"Feb 12, 2019","0.715","0.710","0.730","0.705","16.47M","0.70%"
"Feb 11, 2019","0.710","0.700","0.710","0.695","8.62M","1.43%"
"Feb 08, 2019","0.700","0.695","0.710","0.690","7.88M","0.72%"
"Feb 07, 2019","0.695","0.685","0.700","0.685","4.40M","1.46%"
"Feb 04, 2019","0.685","0.685","0.690","0.680","2.43M","0.74%"
"Jan 31, 2019","0.680","0.690","0.695","0.680","6.48M","-0.73%"
"Jan 30, 2019","0.685","0.700","0.705","0.685","6.31M","-1.44%"
"Jan 29, 2019","0.695","0.705","0.710","0.690","4.73M","-1.42%"
"Jan 28, 2019","0.705","0.705","0.710","0.690","10.84M","0.71%"
"Jan 25, 2019","0.700","0.715","0.725","0.690","14.70M","-2.10%"
"Jan 24, 2019","0.715","0.710","0.725","0.710","12.97M","1.42%"
"Jan 23, 2019","0.705","0.710","0.715","0.700","9.72M","-0.70%"
"Jan 22, 2019","0.710","0.710","0.725","0.700","35.84M","0.71%"
"Jan 18, 2019","0.705","0.710","0.735","0.700","20.81M","-0.70%"
"Jan 17, 2019","0.710","0.695","0.720","0.695","26.02M","2.90%"
"Jan 16, 2019","0.690","0.685","0.705","0.670","19.85M","0.73%"
"Jan 15, 2019","0.685","0.660","0.690","0.660","11.97M","4.58%"
"Jan 14, 2019","0.655","0.680","0.690","0.655","6.83M","-4.38%"
"Jan 11, 2019","0.685","0.670","0.710","0.670","23.33M","3.01%"
"Jan 10, 2019","0.665","0.655","0.710","0.655","33.88M","0.76%"
"Jan 09, 2019","0.660","0.640","0.670","0.635","23.91M","3.94%"
"Jan 08, 2019","0.635","0.645","0.645","0.635","7.10M","-0.78%"
"Jan 07, 2019","0.640","0.635","0.655","0.635","20.09M","1.59%"
"Jan 04, 2019","0.630","0.610","0.640","0.610","15.49M","2.44%"
"Jan 03, 2019","0.615","0.610","0.625","0.605","7.01M","1.65%"
"Jan 02, 2019","0.605","0.620","0.620","0.600","3.86M","-1.63%"
