"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.090","1.130","1.130","1.090","1.43M","-3.54%"
"Apr 25, 2019","1.130","1.140","1.150","1.110","2.09M","-0.88%"
"Apr 24, 2019","1.140","1.170","1.180","1.130","6.41M","-0.87%"
"Apr 23, 2019","1.150","1.130","1.160","1.120","7.56M","3.60%"
"Apr 22, 2019","1.110","1.080","1.160","1.060","11.01M","3.74%"
"Apr 19, 2019","1.070","1.070","1.080","1.050","5.62M","1.90%"
"Apr 18, 2019","1.050","1.080","1.080","1.030","4.59M","-2.78%"
"Apr 17, 2019","1.080","1.110","1.120","1.060","3.16M","-2.70%"
"Apr 16, 2019","1.110","1.090","1.120","1.090","2.42M","2.78%"
"Apr 15, 2019","1.080","1.150","1.160","1.070","6.40M","-6.90%"
"Apr 12, 2019","1.160","1.170","1.210","1.150","4.33M","-0.85%"
"Apr 11, 2019","1.170","1.210","1.220","1.170","3.06M","-2.50%"
"Apr 10, 2019","1.200","1.200","1.230","1.190","4.34M","-1.64%"
"Apr 09, 2019","1.220","1.260","1.280","1.220","11.30M","-1.61%"
"Apr 08, 2019","1.240","1.180","1.240","1.170","16.68M","5.98%"
"Apr 05, 2019","1.170","1.170","1.180","1.150","2.14M","0.00%"
"Apr 04, 2019","1.170","1.180","1.190","1.150","4.13M","-0.85%"
"Apr 03, 2019","1.180","1.190","1.220","1.170","5.46M","-0.84%"
"Apr 02, 2019","1.190","1.170","1.220","1.170","14.62M","2.59%"
"Apr 01, 2019","1.160","1.170","1.190","1.150","4.05M","0.00%"
"Mar 29, 2019","1.160","1.140","1.190","1.140","5.01M","1.75%"
"Mar 28, 2019","1.140","1.170","1.170","1.120","5.06M","-2.56%"
"Mar 27, 2019","1.170","1.200","1.230","1.170","12.65M","0.00%"
"Mar 26, 2019","1.170","1.060","1.190","1.030","33.71M","13.59%"
"Mar 25, 2019","1.030","1.010","1.070","0.995","9.08M","-0.96%"
"Mar 22, 2019","1.040","1.100","1.100","1.020","9.02M","-4.59%"
"Mar 21, 2019","1.090","1.130","1.150","1.080","4.68M","-2.68%"
"Mar 20, 2019","1.120","1.080","1.150","1.070","10.19M","2.75%"
"Mar 19, 2019","1.090","1.230","1.230","1.080","14.48M","-11.38%"
"Mar 18, 2019","1.230","1.270","1.290","1.220","6.93M","-3.15%"
"Mar 15, 2019","1.270","1.300","1.330","1.240","9.86M","-1.55%"
"Mar 14, 2019","1.290","1.260","1.440","1.200","67.71M","7.50%"
"Mar 13, 2019","1.200","0.905","1.200","0.900","68.10M","33.33%"
"Mar 12, 2019","0.900","0.900","0.915","0.890","4.61M","0.56%"
"Mar 11, 2019","0.895","0.950","0.965","0.890","5.68M","-5.29%"
"Mar 08, 2019","0.945","0.945","0.975","0.945","9.60M","0.00%"
"Mar 07, 2019","0.945","0.960","0.965","0.930","4.00M","-0.53%"
"Mar 06, 2019","0.950","0.935","0.970","0.935","5.58M","1.60%"
"Mar 05, 2019","0.935","0.970","1.010","0.925","8.54M","-3.61%"
"Mar 04, 2019","0.970","0.960","1.020","0.950","18.22M","3.19%"
"Mar 01, 2019","0.940","0.880","0.960","0.830","10.59M","6.82%"
"Feb 28, 2019","0.880","0.945","0.950","0.860","6.66M","-6.38%"
"Feb 27, 2019","0.940","0.980","1.040","0.930","16.64M","4.44%"
