"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","1.570","1.580","1.580","1.560","474.50K","-1.26%"
"Apr 25, 2019","1.590","1.600","1.600","1.580","620.70K","-1.24%"
"Apr 24, 2019","1.610","1.590","1.610","1.580","692.40K","1.90%"
"Apr 23, 2019","1.580","1.570","1.580","1.560","533.90K","0.64%"
"Apr 22, 2019","1.570","1.580","1.580","1.560","318.20K","-1.26%"
"Apr 19, 2019","1.590","1.560","1.590","1.550","485.20K","1.92%"
"Apr 18, 2019","1.560","1.540","1.560","1.540","574.10K","0.65%"
"Apr 17, 2019","1.550","1.550","1.570","1.540","586.10K","-0.64%"
"Apr 16, 2019","1.560","1.570","1.570","1.550","1.21M","-1.27%"
"Apr 15, 2019","1.580","1.600","1.600","1.580","264.60K","0.64%"
"Apr 12, 2019","1.570","1.580","1.600","1.570","458.70K","-1.26%"
"Apr 11, 2019","1.590","1.590","1.610","1.590","95.80K","0.00%"
"Apr 10, 2019","1.590","1.600","1.600","1.580","468.60K","-1.24%"
"Apr 09, 2019","1.610","1.600","1.620","1.600","224.60K","0.00%"
"Apr 08, 2019","1.610","1.630","1.640","1.600","345.60K","-0.62%"
"Apr 05, 2019","1.620","1.600","1.630","1.600","462.80K","1.89%"
"Apr 04, 2019","1.590","1.570","1.620","1.570","638.70K","1.92%"
"Apr 03, 2019","1.560","1.560","1.570","1.560","236.20K","0.00%"
"Apr 02, 2019","1.560","1.560","1.570","1.550","606.20K","-0.64%"
"Apr 01, 2019","1.570","1.570","1.570","1.560","281.40K","0.64%"
"Mar 29, 2019","1.560","1.570","1.570","1.560","332.10K","-0.64%"
"Mar 28, 2019","1.570","1.580","1.580","1.560","357.90K","0.00%"
"Mar 27, 2019","1.570","1.570","1.580","1.560","391.10K","0.00%"
"Mar 26, 2019","1.570","1.570","1.580","1.550","596.70K","-0.63%"
"Mar 25, 2019","1.580","1.570","1.580","1.570","65.70K","-0.63%"
"Mar 22, 2019","1.590","1.590","1.590","1.570","295.90K","0.63%"
"Mar 21, 2019","1.580","1.580","1.600","1.580","69.00K","-0.63%"
"Mar 20, 2019","1.590","1.600","1.600","1.570","542.40K","-0.62%"
"Mar 19, 2019","1.600","1.600","1.620","1.600","125.30K","0.00%"
"Mar 18, 2019","1.600","1.600","1.620","1.600","193.10K","-1.23%"
"Mar 15, 2019","1.620","1.600","1.620","1.580","218.30K","1.25%"
"Mar 14, 2019","1.600","1.590","1.600","1.580","117.60K","0.63%"
"Mar 13, 2019","1.590","1.600","1.600","1.580","414.80K","-1.24%"
"Mar 12, 2019","1.610","1.610","1.640","1.600","451.60K","0.00%"
"Mar 11, 2019","1.610","1.660","1.660","1.610","595.30K","-3.01%"
"Mar 08, 2019","1.660","1.650","1.660","1.650","371.60K","0.61%"
"Mar 07, 2019","1.650","1.650","1.660","1.630","209.10K","0.00%"
"Mar 06, 2019","1.650","1.620","1.660","1.610","534.50K","0.61%"
"Mar 05, 2019","1.640","1.660","1.660","1.630","564.10K","-1.20%"
"Mar 04, 2019","1.660","1.620","1.670","1.620","413.70K","1.84%"
"Mar 01, 2019","1.630","1.610","1.630","1.610","197.40K","0.62%"
"Feb 28, 2019","1.620","1.620","1.640","1.610","1.36M","0.62%"
"Feb 27, 2019","1.610","1.590","1.620","1.590","203.40K","1.26%"
"Feb 26, 2019","1.590","1.590","1.610","1.590","421.50K","0.00%"
"Feb 25, 2019","1.590","1.600","1.600","1.560","309.60K","-0.62%"
"Feb 22, 2019","1.600","1.620","1.620","1.570","421.80K","-1.84%"
"Feb 21, 2019","1.630","1.610","1.640","1.610","792.60K","0.00%"
"Feb 20, 2019","1.630","1.590","1.630","1.590","1.14M","1.87%"
"Feb 19, 2019","1.600","1.580","1.600","1.570","569.80K","1.27%"
"Feb 18, 2019","1.580","1.600","1.610","1.560","1.12M","-3.07%"
"Feb 15, 2019","1.630","1.650","1.650","1.620","458.30K","-1.81%"
"Feb 14, 2019","1.660","1.680","1.680","1.650","568.70K","-1.19%"
"Feb 13, 2019","1.680","1.630","1.680","1.630","473.30K","1.82%"
"Feb 12, 2019","1.650","1.640","1.650","1.630","166.90K","1.23%"
"Feb 11, 2019","1.630","1.620","1.650","1.620","261.80K","0.62%"
"Feb 08, 2019","1.620","1.620","1.640","1.620","107.30K","-1.22%"
"Feb 07, 2019","1.640","1.620","1.650","1.620","164.90K","1.23%"
"Feb 04, 2019","1.620","1.610","1.630","1.610","115.50K","-0.61%"
"Jan 31, 2019","1.630","1.610","1.640","1.600","497.30K","1.87%"
"Jan 30, 2019","1.600","1.580","1.600","1.570","358.20K","1.27%"
"Jan 29, 2019","1.580","1.560","1.580","1.560","199.10K","0.00%"
"Jan 28, 2019","1.580","1.590","1.590","1.550","165.10K","0.00%"
"Jan 25, 2019","1.580","1.540","1.600","1.530","562.00K","2.60%"
"Jan 24, 2019","1.540","1.540","1.550","1.530","187.50K","0.00%"
"Jan 23, 2019","1.540","1.550","1.550","1.520","219.80K","-0.65%"
"Jan 22, 2019","1.550","1.580","1.580","1.540","327.30K","0.00%"
"Jan 18, 2019","1.550","1.540","1.600","1.540","730.20K","2.65%"
"Jan 17, 2019","1.510","1.490","1.530","1.480","741.50K","2.03%"
"Jan 16, 2019","1.480","1.490","1.490","1.460","313.00K","0.00%"
"Jan 15, 2019","1.480","1.470","1.480","1.470","290.10K","0.00%"
"Jan 14, 2019","1.480","1.500","1.500","1.460","288.50K","-1.33%"
"Jan 11, 2019","1.500","1.500","1.500","1.490","274.50K","0.00%"
"Jan 10, 2019","1.500","1.540","1.540","1.500","220.80K","-2.60%"
"Jan 09, 2019","1.540","1.500","1.550","1.490","666.00K","2.67%"
"Jan 08, 2019","1.500","1.490","1.510","1.460","244.90K","0.00%"
"Jan 07, 2019","1.500","1.450","1.510","1.450","487.20K","3.45%"
"Jan 04, 2019","1.450","1.420","1.450","1.420","258.90K","-0.68%"
"Jan 03, 2019","1.460","1.490","1.490","1.450","25.10K","-0.68%"
"Jan 02, 2019","1.470","1.490","1.490","1.470","107.50K","-1.34%"
