"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.900","0.865","0.900","0.865","22.10K","0.00%"
"Apr 25, 2019","0.900","0.900","0.900","0.900","20.30K","4.05%"
"Apr 24, 2019","0.865","0.865","0.865","0.865","3.00K","0.00%"
"Apr 23, 2019","0.865","0.865","0.865","0.865","15.00K","-2.26%"
"Apr 22, 2019","0.885","0.880","0.895","0.865","6.00K","-1.12%"
"Apr 18, 2019","0.895","0.860","0.895","0.860","20.10K","2.87%"
"Apr 17, 2019","0.870","0.870","0.895","0.870","30.10K","-2.25%"
"Apr 16, 2019","0.890","0.860","0.890","0.860","4.80K","3.49%"
"Apr 15, 2019","0.860","0.870","0.890","0.860","16.80K","-4.44%"
"Apr 11, 2019","0.900","0.860","0.900","0.860","8.10K","0.00%"
"Apr 10, 2019","0.900","0.860","0.900","0.860","10.70K","0.00%"
"Apr 09, 2019","0.900","0.860","0.900","0.860","0.50K","0.00%"
"Apr 08, 2019","0.900","0.900","0.900","0.900","2.00K","0.00%"
"Apr 04, 2019","0.900","0.900","0.900","0.900","0.20K","4.65%"
"Apr 02, 2019","0.860","0.900","0.900","0.860","0.50K","0.00%"
"Apr 01, 2019","0.860","0.855","0.860","0.855","23.30K","-4.44%"
"Mar 29, 2019","0.900","0.900","0.900","0.900","0.30K","5.88%"
"Mar 28, 2019","0.850","0.850","0.850","0.850","0.40K","-5.56%"
"Mar 22, 2019","0.900","0.845","0.900","0.845","2.30K","5.26%"
"Mar 21, 2019","0.855","0.860","0.890","0.855","6.30K","-0.58%"
"Mar 19, 2019","0.860","0.860","0.860","0.860","9.70K","-4.44%"
"Mar 18, 2019","0.900","0.900","0.900","0.900","11.00K","0.00%"
"Mar 15, 2019","0.900","0.900","0.900","0.900","0.30K","5.88%"
"Mar 14, 2019","0.850","0.860","0.860","0.850","14.30K","0.00%"
"Mar 13, 2019","0.850","0.900","0.900","0.850","16.00K","-5.56%"
"Mar 12, 2019","0.900","0.900","0.900","0.900","1.00K","6.51%"
"Mar 11, 2019","0.845","0.845","0.845","0.845","10.00K","-6.11%"
"Mar 08, 2019","0.900","0.840","0.900","0.840","4.90K","5.88%"
"Mar 06, 2019","0.850","0.840","0.850","0.840","8.00K","1.19%"
"Mar 05, 2019","0.840","0.840","0.850","0.835","18.50K","0.00%"
"Mar 04, 2019","0.840","0.830","0.840","0.830","165.20K","1.82%"
"Mar 01, 2019","0.825","0.835","0.835","0.820","40.70K","-0.60%"
"Feb 28, 2019","0.830","0.820","0.830","0.820","43.20K","1.22%"
"Feb 27, 2019","0.820","0.820","0.820","0.820","5.00K","0.00%"
"Feb 26, 2019","0.820","0.820","0.820","0.820","9.00K","-1.20%"
"Feb 25, 2019","0.830","0.830","0.830","0.830","17.00K","1.22%"
"Feb 22, 2019","0.820","0.820","0.820","0.820","1.00K","-0.61%"
"Feb 20, 2019","0.825","0.825","0.825","0.825","0.50K","-1.79%"
"Feb 19, 2019","0.840","0.830","0.840","0.830","108.20K","-0.59%"
"Feb 18, 2019","0.845","0.820","0.845","0.820","68.10K","3.05%"
"Feb 15, 2019","0.820","0.810","0.820","0.810","61.90K","1.23%"
"Feb 14, 2019","0.810","0.845","0.845","0.810","7.20K","1.25%"
"Feb 13, 2019","0.800","0.800","0.800","0.800","17.20K","-3.61%"
"Feb 11, 2019","0.830","0.800","0.830","0.800","5.10K","0.00%"
"Feb 07, 2019","0.830","0.830","0.830","0.830","0.50K","3.75%"
"Jan 31, 2019","0.800","0.800","0.800","0.800","150.00K","0.00%"
"Jan 29, 2019","0.800","0.800","0.800","0.800","23.00K","-4.19%"
"Jan 25, 2019","0.835","0.845","0.845","0.835","120.20K","5.70%"
"Jan 24, 2019","0.790","0.790","0.790","0.790","3.00K","-2.47%"
"Jan 17, 2019","0.810","0.820","0.820","0.770","2.10K","6.58%"
"Jan 16, 2019","0.760","0.800","0.800","0.760","17.00K","-5.00%"
"Jan 11, 2019","0.800","0.780","0.800","0.780","12.10K","5.26%"
"Jan 10, 2019","0.760","0.760","0.760","0.760","1.60K","0.00%"
"Jan 08, 2019","0.760","0.760","0.760","0.760","20.00K","0.00%"
"Jan 07, 2019","0.760","0.760","0.760","0.760","50.00K","-2.56%"
"Jan 03, 2019","0.780","0.780","0.780","0.780","0.60K","5.41%"
"Jan 02, 2019","0.740","0.740","0.740","0.740","55.00K","0.00%"
