"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 15, 2019","0.505","0.505","0.505","0.505","1.95M","0.00%"
"Jan 14, 2019","0.505","0.505","0.505","0.505","577.50K","0.00%"
"Jan 11, 2019","0.505","0.505","0.505","0.505","9.59M","0.00%"
"Jan 10, 2019","0.505","0.505","0.505","0.505","6.58M","0.00%"
"Jan 09, 2019","0.505","0.505","0.510","0.505","1.10M","0.00%"
"Jan 08, 2019","0.505","0.505","0.510","0.505","287.20K","0.00%"
"Jan 07, 2019","0.505","0.505","0.510","0.505","264.00K","0.00%"
"Jan 04, 2019","0.505","0.505","0.510","0.505","21.50M","0.00%"
"Jan 03, 2019","0.505","0.500","0.505","0.500","596.00K","0.00%"
"Jan 02, 2019","0.505","0.500","0.505","0.500","911.80K","1.00%"
