"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.610","0.620","0.620","0.610","35.40K","-3.17%"
"Apr 25, 2019","0.630","0.630","0.640","0.625","112.60K","0.80%"
"Apr 24, 2019","0.625","0.600","0.650","0.600","1.03M","5.04%"
"Apr 23, 2019","0.595","0.600","0.600","0.595","60.00K","0.00%"
"Apr 22, 2019","0.595","0.600","0.600","0.595","35.00K","-0.83%"
"Apr 19, 2019","0.600","0.620","0.620","0.600","83.50K","0.00%"
"Apr 18, 2019","0.600","0.590","0.605","0.585","113.10K","1.69%"
"Apr 17, 2019","0.590","0.590","0.595","0.590","80.20K","0.00%"
"Apr 16, 2019","0.590","0.590","0.600","0.585","85.40K","0.00%"
"Apr 15, 2019","0.590","0.635","0.640","0.590","95.80K","-1.67%"
"Apr 12, 2019","0.600","0.600","0.600","0.600","88.00K","0.00%"
"Apr 11, 2019","0.600","0.605","0.625","0.590","203.50K","-0.83%"
"Apr 10, 2019","0.605","0.610","0.615","0.605","56.60K","-2.42%"
"Apr 09, 2019","0.620","0.630","0.645","0.605","333.00K","-1.59%"
"Apr 08, 2019","0.630","0.640","0.640","0.630","55.40K","-1.56%"
"Apr 05, 2019","0.640","0.640","0.640","0.635","43.20K","0.00%"
"Apr 04, 2019","0.640","0.645","0.655","0.640","203.50K","-0.78%"
"Apr 03, 2019","0.645","0.645","0.645","0.635","1.41M","0.00%"
"Apr 02, 2019","0.645","0.650","0.650","0.630","337.80K","-0.77%"
"Apr 01, 2019","0.650","0.655","0.665","0.650","282.90K","0.00%"
"Mar 29, 2019","0.650","0.660","0.660","0.650","50.00K","-1.52%"
"Mar 28, 2019","0.660","0.660","0.660","0.645","438.40K","1.54%"
"Mar 27, 2019","0.650","0.655","0.665","0.635","185.90K","-2.26%"
"Mar 26, 2019","0.665","0.640","0.665","0.635","233.80K","3.91%"
"Mar 25, 2019","0.640","0.640","0.650","0.635","184.00K","-1.54%"
"Mar 22, 2019","0.650","0.660","0.660","0.650","80.10K","-1.52%"
"Mar 21, 2019","0.660","0.665","0.695","0.655","1.74M","0.00%"
"Mar 20, 2019","0.660","0.635","0.660","0.635","429.60K","2.33%"
"Mar 19, 2019","0.645","0.655","0.660","0.640","1.28M","0.00%"
"Mar 18, 2019","0.645","0.630","0.650","0.625","1.24M","2.38%"
"Mar 15, 2019","0.630","0.620","0.630","0.610","209.60K","3.28%"
"Mar 14, 2019","0.610","0.610","0.620","0.605","301.30K","-3.17%"
"Mar 13, 2019","0.630","0.635","0.640","0.625","1.53M","1.61%"
"Mar 12, 2019","0.620","0.600","0.630","0.600","1.43M","4.20%"
"Mar 11, 2019","0.595","0.570","0.610","0.565","1.45M","5.31%"
"Mar 08, 2019","0.565","0.555","0.565","0.545","202.10K","1.80%"
"Mar 07, 2019","0.555","0.550","0.560","0.550","418.70K","-1.77%"
"Mar 06, 2019","0.565","0.555","0.575","0.550","346.00K","3.67%"
"Mar 05, 2019","0.545","0.550","0.550","0.545","85.60K","-0.91%"
"Mar 04, 2019","0.550","0.555","0.580","0.550","537.70K","0.00%"
"Mar 01, 2019","0.550","0.575","0.575","0.540","1.47M","-9.09%"
"Feb 28, 2019","0.605","0.620","0.620","0.600","340.30K","-4.72%"
"Feb 27, 2019","0.635","0.630","0.635","0.615","141.10K","0.00%"
"Feb 26, 2019","0.635","0.650","0.650","0.635","235.20K","-3.05%"
"Feb 25, 2019","0.655","0.670","0.670","0.655","446.00K","-0.76%"
"Feb 22, 2019","0.660","0.635","0.675","0.635","1.58M","3.13%"
"Feb 21, 2019","0.640","0.640","0.650","0.630","1.92M","3.23%"
"Feb 20, 2019","0.620","0.610","0.640","0.610","438.40K","1.64%"
"Feb 19, 2019","0.610","0.615","0.620","0.610","313.10K","-1.61%"
"Feb 18, 2019","0.620","0.620","0.620","0.610","67.20K","0.00%"
"Feb 15, 2019","0.620","0.620","0.625","0.610","140.10K","-0.80%"
"Feb 14, 2019","0.625","0.635","0.670","0.625","728.70K","-0.79%"
"Feb 13, 2019","0.630","0.610","0.645","0.610","188.10K","3.28%"
"Feb 12, 2019","0.610","0.580","0.620","0.580","197.10K","5.17%"
"Feb 11, 2019","0.580","0.590","0.590","0.575","313.90K","-1.69%"
"Feb 08, 2019","0.590","0.600","0.600","0.575","32.40K","3.51%"
"Feb 07, 2019","0.570","0.570","0.570","0.570","415.90K","1.79%"
"Feb 04, 2019","0.560","0.565","0.565","0.560","115.40K","-0.88%"
"Jan 31, 2019","0.565","0.625","0.625","0.565","617.30K","-9.60%"
"Jan 30, 2019","0.625","0.650","0.650","0.625","190.20K","-5.30%"
"Jan 29, 2019","0.660","0.660","0.665","0.655","60.40K","-0.75%"
"Jan 28, 2019","0.665","0.680","0.680","0.660","232.00K","-1.48%"
"Jan 25, 2019","0.675","0.670","0.675","0.665","54.00K","0.75%"
"Jan 24, 2019","0.670","0.670","0.685","0.670","116.00K","-0.74%"
"Jan 23, 2019","0.675","0.675","0.680","0.675","17.00K","-0.74%"
"Jan 22, 2019","0.680","0.680","0.700","0.680","232.70K","0.74%"
"Jan 18, 2019","0.675","0.665","0.675","0.650","97.10K","1.50%"
"Jan 17, 2019","0.665","0.675","0.675","0.665","15.00K","-2.21%"
"Jan 16, 2019","0.680","0.680","0.680","0.670","65.70K","0.00%"
"Jan 15, 2019","0.680","0.690","0.690","0.675","338.00K","0.00%"
"Jan 14, 2019","0.680","0.680","0.680","0.680","10.50K","-0.73%"
"Jan 11, 2019","0.685","0.690","0.720","0.685","153.30K","-0.72%"
"Jan 10, 2019","0.690","0.690","0.690","0.680","167.50K","0.00%"
"Jan 09, 2019","0.690","0.700","0.700","0.680","177.00K","-4.17%"
"Jan 08, 2019","0.720","0.700","0.720","0.680","60.20K","-4.00%"
"Jan 07, 2019","0.750","0.700","0.750","0.700","6.30K","4.17%"
