"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.350","0.355","0.355","0.345","951.00K","0.00%"
"Apr 25, 2019","0.350","0.350","0.365","0.340","3.09M","0.00%"
"Apr 24, 2019","0.350","0.360","0.365","0.345","2.45M","-2.78%"
"Apr 23, 2019","0.360","0.340","0.365","0.335","1.65M","5.88%"
"Apr 22, 2019","0.340","0.370","0.375","0.335","3.82M","-5.56%"
"Apr 19, 2019","0.360","0.345","0.385","0.340","10.53M","5.88%"
"Apr 18, 2019","0.340","0.325","0.340","0.315","3.75M","4.62%"
"Apr 17, 2019","0.325","0.325","0.335","0.310","7.61M","1.56%"
"Apr 16, 2019","0.320","0.285","0.320","0.285","4.41M","10.34%"
"Apr 15, 2019","0.290","0.300","0.300","0.285","559.70K","-1.69%"
"Apr 12, 2019","0.295","0.295","0.295","0.290","373.80K","1.72%"
"Apr 11, 2019","0.290","0.300","0.305","0.290","798.50K","-3.33%"
"Apr 10, 2019","0.300","0.305","0.305","0.295","824.00K","-1.64%"
"Apr 09, 2019","0.305","0.310","0.310","0.305","403.90K","-1.61%"
"Apr 08, 2019","0.310","0.305","0.315","0.305","1.12M","1.64%"
"Apr 05, 2019","0.305","0.310","0.310","0.300","844.20K","-1.61%"
"Apr 04, 2019","0.310","0.315","0.320","0.305","694.50K","-1.59%"
"Apr 03, 2019","0.315","0.300","0.320","0.300","2.68M","3.28%"
"Apr 02, 2019","0.305","0.310","0.310","0.305","1.15M","-1.61%"
"Apr 01, 2019","0.310","0.320","0.330","0.305","5.68M","3.33%"
"Mar 29, 2019","0.300","0.285","0.305","0.285","3.64M","7.14%"
"Mar 28, 2019","0.280","0.275","0.280","0.270","801.40K","0.00%"
"Mar 27, 2019","0.280","0.285","0.285","0.280","594.80K","0.00%"
"Mar 26, 2019","0.280","0.300","0.300","0.280","3.38M","-5.08%"
"Mar 25, 2019","0.295","0.300","0.300","0.290","899.20K","0.00%"
"Mar 22, 2019","0.295","0.295","0.305","0.295","1.09M","1.72%"
"Mar 21, 2019","0.290","0.295","0.295","0.280","1.70M","-1.69%"
"Mar 20, 2019","0.295","0.305","0.335","0.290","12.61M","13.46%"
"Mar 19, 2019","0.260","0.275","0.275","0.255","1.81M","-7.14%"
"Mar 18, 2019","0.280","0.290","0.290","0.275","992.20K","-3.45%"
"Mar 15, 2019","0.290","0.305","0.315","0.280","2.28M","-4.92%"
"Mar 14, 2019","0.305","0.275","0.320","0.275","5.25M","15.09%"
"Mar 13, 2019","0.265","0.245","0.270","0.245","2.76M","10.42%"
"Mar 12, 2019","0.240","0.235","0.240","0.230","756.30K","4.35%"
"Mar 11, 2019","0.230","0.230","0.235","0.230","512.50K","0.00%"
"Mar 08, 2019","0.230","0.225","0.240","0.225","1.12M","2.22%"
"Mar 07, 2019","0.225","0.215","0.235","0.215","1.85M","4.65%"
"Mar 06, 2019","0.215","0.210","0.215","0.210","356.90K","2.38%"
"Mar 05, 2019","0.210","0.210","0.210","0.205","280.70K","-2.33%"
"Mar 04, 2019","0.215","0.205","0.215","0.205","222.70K","0.00%"
"Mar 01, 2019","0.215","0.200","0.215","0.200","20.00K","7.50%"
"Feb 28, 2019","0.200","0.200","0.200","0.200","207.90K","-2.44%"
"Feb 27, 2019","0.205","0.210","0.215","0.205","228.50K","-2.38%"
"Feb 26, 2019","0.210","0.210","0.215","0.210","436.10K","-2.33%"
"Feb 25, 2019","0.215","0.210","0.220","0.205","236.90K","2.38%"
"Feb 22, 2019","0.210","0.215","0.220","0.210","80.50K","-2.33%"
"Feb 21, 2019","0.215","0.220","0.220","0.215","159.40K","-2.27%"
"Feb 20, 2019","0.220","0.210","0.225","0.210","1.02M","4.76%"
"Feb 19, 2019","0.210","0.200","0.215","0.195","991.10K","5.00%"
"Feb 18, 2019","0.200","0.200","0.200","0.200","55.00K","0.00%"
"Feb 15, 2019","0.200","0.200","0.200","0.200","153.70K","2.56%"
"Feb 14, 2019","0.195","0.195","0.195","0.195","197.00K","-2.50%"
"Feb 13, 2019","0.200","0.200","0.200","0.200","78.00K","0.00%"
"Feb 12, 2019","0.200","0.195","0.205","0.195","92.10K","2.56%"
"Feb 11, 2019","0.195","0.205","0.205","0.195","229.00K","-2.50%"
"Feb 08, 2019","0.200","0.190","0.200","0.190","108.00K","2.56%"
