"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2019","0.235","0.235","0.235","0.235","50.00K","-2.08%"
"Apr 12, 2019","0.240","0.240","0.240","0.240","30.00K","-2.04%"
"Apr 04, 2019","0.245","0.240","0.245","0.240","8.80K","0.00%"
"Apr 03, 2019","0.245","0.240","0.245","0.240","6.00K","4.26%"
"Apr 02, 2019","0.235","0.235","0.235","0.235","1.00K","0.00%"
"Mar 25, 2019","0.235","0.235","0.235","0.235","20.00K","0.00%"
"Mar 21, 2019","0.235","0.235","0.235","0.235","11.00K","0.00%"
"Mar 20, 2019","0.235","0.235","0.235","0.235","10.00K","0.00%"
"Mar 18, 2019","0.235","0.235","0.235","0.235","3.00K","0.00%"
"Mar 15, 2019","0.235","0.235","0.235","0.235","0.20K","-6.00%"
"Mar 14, 2019","0.250","0.235","0.250","0.230","14.00K","6.38%"
"Mar 13, 2019","0.235","0.230","0.245","0.230","48.90K","-2.08%"
"Mar 12, 2019","0.240","0.240","0.240","0.230","6.00K","0.00%"
"Mar 11, 2019","0.240","0.230","0.240","0.230","13.70K","0.00%"
"Mar 08, 2019","0.240","0.240","0.240","0.230","2.70K","0.00%"
"Mar 07, 2019","0.240","0.240","0.240","0.235","53.80K","2.13%"
"Mar 06, 2019","0.235","0.250","0.250","0.230","29.40K","-6.00%"
"Mar 04, 2019","0.250","0.275","0.275","0.250","223.00K","-10.71%"
"Mar 01, 2019","0.280","0.250","0.285","0.250","402.00K","9.80%"
"Feb 28, 2019","0.255","0.240","0.255","0.240","8.00K","6.25%"
"Feb 27, 2019","0.240","0.240","0.240","0.240","30.00K","-7.69%"
"Feb 25, 2019","0.260","0.250","0.260","0.250","65.00K","-7.14%"
"Feb 21, 2019","0.280","0.250","0.280","0.250","6.90K","-3.45%"
"Feb 12, 2019","0.290","0.260","0.290","0.260","30.00K","3.57%"
"Feb 04, 2019","0.280","0.250","0.280","0.250","2.00K","3.70%"
"Jan 22, 2019","0.270","0.250","0.270","0.250","10.00K","0.00%"
"Jan 17, 2019","0.270","0.270","0.270","0.270","2.00K","5.88%"
"Jan 16, 2019","0.255","0.255","0.255","0.255","15.00K","-5.56%"
