"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.450","0.470","0.475","0.445","6.27M","-4.26%"
"Apr 25, 2019","0.470","0.470","0.480","0.465","3.55M","0.00%"
"Apr 24, 2019","0.470","0.475","0.490","0.465","10.64M","-2.08%"
"Apr 23, 2019","0.480","0.415","0.480","0.415","21.03M","15.66%"
"Apr 22, 2019","0.415","0.395","0.420","0.395","12.89M","3.75%"
"Apr 19, 2019","0.400","0.395","0.400","0.390","3.71M","1.27%"
"Apr 18, 2019","0.395","0.385","0.400","0.385","6.45M","2.60%"
"Apr 17, 2019","0.385","0.375","0.395","0.370","12.34M","2.67%"
"Apr 16, 2019","0.375","0.360","0.375","0.360","12.24M","4.17%"
"Apr 15, 2019","0.360","0.345","0.365","0.345","4.11M","2.86%"
"Apr 12, 2019","0.350","0.350","0.355","0.345","2.36M","0.00%"
"Apr 11, 2019","0.350","0.350","0.350","0.345","3.16M","0.00%"
"Apr 10, 2019","0.350","0.345","0.355","0.345","3.28M","2.94%"
"Apr 09, 2019","0.340","0.345","0.355","0.340","3.15M","-1.45%"
"Apr 08, 2019","0.345","0.350","0.355","0.340","5.58M","-1.43%"
"Apr 05, 2019","0.350","0.345","0.355","0.345","3.32M","0.00%"
"Apr 04, 2019","0.350","0.370","0.370","0.350","4.53M","-6.67%"
"Apr 03, 2019","0.375","0.375","0.380","0.360","17.18M","1.35%"
"Apr 02, 2019","0.370","0.335","0.370","0.335","11.04M","12.12%"
"Apr 01, 2019","0.330","0.315","0.330","0.315","4.21M","4.76%"
"Mar 29, 2019","0.315","0.310","0.315","0.300","2.69M","1.61%"
"Mar 28, 2019","0.310","0.310","0.315","0.310","2.24M","-1.59%"
"Mar 27, 2019","0.315","0.315","0.315","0.305","2.71M","-1.56%"
"Mar 26, 2019","0.320","0.330","0.330","0.310","5.22M","-3.03%"
"Mar 25, 2019","0.330","0.335","0.335","0.330","626.20K","-2.94%"
"Mar 22, 2019","0.340","0.330","0.350","0.330","881.30K","3.03%"
"Mar 21, 2019","0.330","0.330","0.335","0.330","794.30K","0.00%"
"Mar 20, 2019","0.330","0.335","0.335","0.330","251.30K","-1.49%"
"Mar 19, 2019","0.335","0.340","0.345","0.335","1.23M","-2.90%"
"Mar 18, 2019","0.345","0.355","0.360","0.345","1.48M","0.00%"
"Mar 15, 2019","0.345","0.335","0.360","0.330","2.35M","4.55%"
"Mar 14, 2019","0.330","0.335","0.340","0.330","283.10K","0.00%"
"Mar 13, 2019","0.330","0.335","0.335","0.330","362.70K","-1.49%"
"Mar 12, 2019","0.335","0.335","0.340","0.330","144.90K","0.00%"
"Mar 11, 2019","0.335","0.335","0.345","0.335","485.90K","1.52%"
"Mar 08, 2019","0.330","0.330","0.335","0.330","544.30K","0.00%"
